variant,crop,fold,horizon_weeks,test_year,n_features,n_trees,RMSE,MAE,MAPE,R2,N,fit_sec
M0,tomato,1,1,2022,26,63,759.4,491.5,23.01,0.6581,28815,5.7
M0,tomato,1,4,2022,26,63,1090.9,734.5,35.64,0.2985,28671,4.6
M0,tomato,1,13,2022,26,85,1171.7,753.4,35.48,0.2162,28397,1.5
M0,tomato,1,26,2022,26,19,1046.0,746.7,51.86,0.2714,28250,1.2
M0,tomato,2,1,2023,26,39,1552.5,852.9,31.23,0.5416,29252,1.2
M0,tomato,2,4,2023,26,25,2147.8,1255.3,50.58,0.1077,29046,1.1
M0,tomato,2,13,2023,26,20,2273.0,1349.4,53.94,-0.0232,28683,0.9
M0,tomato,2,26,2023,26,999,2216.8,1333.6,43.97,-0.0177,28375,7.6
M0,tomato,3,1,2024,26,53,932.9,657.8,24.77,0.6065,34408,3.0
M0,tomato,3,4,2024,26,21,1227.9,884.0,33.3,0.3281,34270,1.1
M0,tomato,3,13,2024,26,19,1429.8,1004.9,40.65,0.1497,34012,1.0
M0,tomato,3,26,2024,26,24,1266.4,898.0,44.05,0.2701,33684,1.0
M0,tomato,4,1,2025,26,62,701.0,466.1,20.65,0.7231,37281,1.6
M0,tomato,4,4,2025,26,44,887.1,624.4,31.17,0.565,34764,1.4
M0,tomato,4,13,2025,26,62,1163.4,857.9,38.71,0.2344,27729,1.5
M0,tomato,4,26,2025,26,11,1511.2,1119.6,32.46,-0.428,18121,1.1
M0,onion,1,1,2022,26,35,411.1,296.3,17.92,0.8338,13749,0.8
M0,onion,1,4,2022,26,20,617.1,463.4,30.71,0.6165,13697,0.6
M0,onion,1,13,2022,26,29,665.4,519.8,40.38,0.5299,13605,0.6
M0,onion,1,26,2022,26,123,734.5,589.2,42.75,0.489,13575,1.2
M0,onion,2,1,2023,26,125,571.8,359.6,16.29,0.8344,14061,1.8
M0,onion,2,4,2023,26,236,789.0,547.0,24.68,0.6817,13985,2.2
M0,onion,2,13,2023,26,194,1021.5,727.6,30.72,0.4376,13813,1.8
M0,onion,2,26,2023,26,223,1231.8,920.4,34.08,0.0699,13619,1.9
M0,onion,3,1,2024,26,68,613.5,466.2,17.19,0.823,14521,1.0
M0,onion,3,4,2024,26,110,897.2,728.3,26.51,0.6254,14464,1.3
M0,onion,3,13,2024,26,68,1125.9,930.9,32.06,0.3821,14295,1.0
M0,onion,3,26,2024,26,23,1329.0,1059.8,38.45,0.2338,14182,0.7
M0,onion,4,1,2025,26,88,452.6,353.3,19.84,0.8177,37303,1.2
M0,onion,4,4,2025,26,75,750.9,629.2,37.21,0.4513,34952,1.5
M0,onion,4,13,2025,26,37,1025.8,905.3,62.74,-0.2054,28138,4.5
M0,onion,4,26,2025,26,11,953.9,844.6,59.21,-0.0671,18519,3.2
M0,potato,1,1,2022,26,44,282.5,210.8,13.31,0.726,4212,3.8
M0,potato,1,4,2022,26,28,379.2,304.1,20.32,0.5219,4205,3.2
M0,potato,1,13,2022,26,12,589.3,473.2,30.59,0.0655,4178,2.6
