variant,crop,fold,horizon_weeks,test_year,n_features,n_trees,RMSE,MAE,MAPE,R2,N,fit_sec
M0,tomato,1,1,2022,26,62,765.2,494.6,23.21,0.6624,25660,1.2
M0,tomato,1,4,2022,26,64,1100.1,739.3,35.63,0.3054,25519,1.1
M0,tomato,1,13,2022,26,93,1180.4,753.9,35.01,0.2252,25248,1.3
M0,tomato,1,26,2022,26,14,1077.2,764.2,52.56,0.2448,25101,0.8
M0,tomato,2,1,2023,26,35,1599.3,873.5,31.4,0.5181,25815,1.0
M0,tomato,2,4,2023,26,23,2163.6,1253.8,49.4,0.1046,25626,0.9
M0,tomato,2,13,2023,26,23,2262.7,1354.4,54.75,-0.0019,25317,0.9
M0,tomato,2,26,2023,26,826,2248.7,1376.8,45.17,-0.0322,25032,6.1
M0,tomato,3,1,2024,26,44,866.9,605.6,23.34,0.6624,26148,1.3
M0,tomato,3,4,2024,26,21,1212.6,865.9,33.41,0.3501,26055,1.0
M0,tomato,3,13,2024,26,14,1478.3,1041.8,42.03,0.14,25852,0.9
M0,tomato,3,26,2024,26,26,1300.1,926.0,44.54,0.3022,25671,1.0
M0,tomato,4,1,2025,26,69,673.5,452.3,21.68,0.7481,24842,1.5
M0,tomato,4,4,2025,26,34,872.2,610.9,32.17,0.5846,23238,1.3
M0,tomato,4,13,2025,26,121,1234.0,928.2,43.23,0.1445,18608,1.9
M0,tomato,4,26,2025,26,22,1266.0,921.4,29.69,-0.001,12210,1.1
M0,onion,1,1,2022,26,33,422.5,300.6,17.91,0.8294,12438,0.7
M0,onion,1,4,2022,26,22,604.9,455.3,30.02,0.6423,12389,0.6
M0,onion,1,13,2022,26,30,675.9,529.6,40.78,0.5305,12308,0.7
M0,onion,1,26,2022,26,117,753.6,607.4,43.83,0.4849,12306,1.2
M0,onion,2,1,2023,26,115,576.9,361.1,16.07,0.8385,12609,1.3
M0,onion,2,4,2023,26,170,799.3,553.5,24.52,0.6869,12553,1.7
M0,onion,2,13,2023,26,295,1039.1,738.9,30.66,0.4418,12407,2.2
M0,onion,2,26,2023,26,285,1261.9,940.2,34.41,0.0629,12212,2.2
M0,onion,3,1,2024,26,101,593.5,448.5,16.77,0.833,12100,1.2
M0,onion,3,4,2024,26,57,938.5,766.2,26.38,0.588,12051,0.9
M0,onion,3,13,2024,26,67,1124.7,936.3,31.48,0.3807,11917,1.0
M0,onion,3,26,2024,26,20,1389.5,1112.2,38.54,0.1614,11823,0.7
M0,onion,4,1,2025,26,89,467.9,358.8,21.36,0.8245,11742,1.3
M0,onion,4,4,2025,26,73,737.6,619.3,39.67,0.5221,10981,1.1
M0,onion,4,13,2025,26,35,1040.9,932.5,68.45,-0.0479,8791,0.8
M0,onion,4,26,2025,26,11,1054.4,933.5,71.73,-0.1324,5773,0.6
M0,potato,1,1,2022,26,56,272.7,203.5,13.13,0.7446,4212,0.6
M0,potato,1,4,2022,26,27,394.7,322.1,21.56,0.4818,4205,0.5
M0,potato,1,13,2022,26,18,536.4,435.0,30.08,0.2257,4178,0.4
M0,potato,1,26,2022,26,115,487.8,382.6,29.56,0.2837,4171,0.9
M0,potato,2,1,2023,26,36,164.8,125.0,11.23,0.8115,4247,0.5
M0,potato,2,4,2023,26,24,236.1,181.3,16.38,0.5985,4245,0.4
M0,potato,2,13,2023,26,8,327.0,251.6,19.8,-0.0078,4246,0.4
M0,potato,2,26,2023,26,428,457.4,314.5,20.14,0.0741,4249,2.4
M0,potato,3,1,2024,26,70,262.0,184.2,9.78,0.836,4324,0.7
M0,potato,3,4,2024,26,139,428.9,311.3,16.23,0.543,4318,1.1
M0,potato,3,13,2024,26,11,891.9,760.0,35.07,-0.8306,4308,0.5
M0,potato,3,26,2024,26,83,642.1,509.5,27.05,0.1287,4301,0.8
M0,potato,4,1,2025,26,91,172.8,127.0,11.11,0.6422,4114,0.8
M0,potato,4,4,2025,26,103,319.2,258.6,22.76,-0.3333,3856,0.9
M0,potato,4,13,2025,26,336,609.0,533.6,44.87,-4.1513,3128,2.0
M0,potato,4,26,2025,26,1,264.0,180.8,14.97,0.0244,2072,0.4
M6,tomato,1,1,2022,85,100,774.9,506.8,23.97,0.6538,25660,2.4
M6,tomato,1,4,2022,85,150,1115.8,748.1,34.02,0.2854,25519,3.0
M6,tomato,1,13,2022,85,52,1212.1,794.0,36.61,0.183,25248,1.9
M6,tomato,1,26,2022,85,15,1050.5,740.6,50.52,0.2818,25101,1.4
M6,tomato,2,1,2023,85,32,1692.9,936.7,35.02,0.46,25815,1.9
M6,tomato,2,4,2023,85,22,2171.8,1268.3,50.65,0.0978,25626,1.8
M6,tomato,2,13,2023,85,31,2229.5,1273.1,48.35,0.0272,25317,1.8
M6,tomato,2,26,2023,85,738,2195.2,1262.9,39.14,0.0164,25032,9.6
M6,tomato,3,1,2024,85,44,931.5,676.9,27.2,0.6102,26148,2.5
M6,tomato,3,4,2024,85,10,1468.0,1060.4,40.25,0.0475,26055,1.9
M6,tomato,3,13,2024,85,26,1386.9,961.0,37.9,0.2431,25852,2.2
M6,tomato,3,26,2024,85,99,1380.3,1036.2,48.32,0.2134,25671,3.3
M6,tomato,4,1,2025,85,70,693.6,457.4,21.57,0.7328,24842,3.5
M6,tomato,4,4,2025,85,66,927.6,671.3,34.43,0.5301,23238,3.3
M6,tomato,4,13,2025,85,300,1001.4,774.7,38.31,0.4366,18608,6.3
M6,tomato,4,26,2025,85,22,1303.5,963.0,32.15,-0.0611,12210,2.3
M6,onion,1,1,2022,85,63,432.4,329.1,20.48,0.8214,12438,1.6
M6,onion,1,4,2022,85,40,549.0,431.7,30.48,0.7053,12389,1.3
M6,onion,1,13,2022,85,215,945.9,778.8,55.38,0.0806,12308,3.0
M6,onion,1,26,2022,85,123,605.4,427.7,27.78,0.6676,12306,2.2
M6,onion,2,1,2023,85,90,606.6,371.1,16.04,0.8215,12609,2.2
M6,onion,2,4,2023,85,332,859.8,578.2,24.56,0.6376,12553,4.5
M6,onion,2,13,2023,85,132,996.5,686.9,27.78,0.4867,12407,2.5
M6,onion,2,26,2023,85,336,1273.2,946.2,34.53,0.046,12212,4.6
M6,onion,3,1,2024,85,109,596.8,448.5,16.8,0.8312,12100,2.5
M6,onion,3,4,2024,85,100,839.1,682.3,24.09,0.6706,12051,2.3
M6,onion,3,13,2024,85,66,1315.7,1050.0,30.51,0.1525,11917,2.0
M6,onion,3,26,2024,85,16,1649.2,1271.6,36.18,-0.1814,11823,1.3
M6,onion,4,1,2025,85,100,414.9,297.5,17.26,0.862,11742,2.5
M6,onion,4,4,2025,85,98,517.6,386.3,22.21,0.7647,10981,2.5
M6,onion,4,13,2025,85,44,962.1,854.4,66.36,0.1048,8791,1.7
M6,onion,4,26,2025,85,9,940.9,803.9,60.24,0.0983,5773,1.3
M6,potato,1,1,2022,85,264,313.1,246.8,14.98,0.6633,4212,2.5
M6,potato,1,4,2022,85,78,415.4,349.0,22.72,0.4261,4205,1.1
M6,potato,1,13,2022,85,9,653.8,577.2,46.07,-0.1504,4178,0.6
M6,potato,1,26,2022,85,182,554.3,468.8,39.4,0.075,4171,2.0
M6,potato,2,1,2023,85,57,156.8,118.3,11.25,0.8295,4247,1.1
M6,potato,2,4,2023,85,24,239.9,179.7,18.1,0.5855,4245,0.8
M6,potato,2,13,2023,85,3,425.9,347.2,26.07,-0.7089,4246,0.6
M6,potato,2,26,2023,85,15,589.6,440.5,26.76,-0.5386,4249,0.7
M6,potato,3,1,2024,85,70,332.4,258.7,12.69,0.7361,4324,1.4
M6,potato,3,4,2024,85,123,342.0,262.0,13.85,0.7095,4318,1.8
