crop,fold,horizon_weeks,n_train,train_start,test_start,test_end,RMSE,MAE,MAPE,R2,N
tomato,0,1,153478,2003-01-13,2017-01-01,2017-12-31,800.9,527.4,24.92,0.7229,19489
tomato,0,4,151388,2003-01-13,2017-01-01,2017-12-31,1241.0,825.1,38.85,0.3216,19403
tomato,0,13,147663,2003-01-13,2017-01-01,2017-12-31,1549.0,1045.7,45.4,-0.0577,19220
tomato,0,26,145914,2003-01-13,2017-01-01,2017-12-31,1533.5,1082.1,52.99,-0.0082,19072
tomato,1,1,172967,2003-01-13,2018-01-01,2018-12-31,382.6,243.7,22.73,0.7138,20770
tomato,1,4,170791,2003-01-13,2018-01-01,2018-12-31,748.7,542.5,47.65,-0.0514,20682
tomato,1,13,166883,2003-01-13,2018-01-01,2018-12-31,670.2,479.8,41.97,0.1688,20511
tomato,1,26,164986,2003-01-13,2018-01-01,2018-12-31,1152.7,907.3,63.77,-0.7309,20476
tomato,2,1,193737,2003-01-13,2019-01-01,2019-12-31,625.5,465.4,24.83,0.6167,21003
tomato,2,4,191473,2003-01-13,2019-01-01,2019-12-31,687.7,516.4,27.74,0.5281,20909
tomato,2,13,187394,2003-01-13,2019-01-01,2019-12-31,813.3,579.6,28.16,0.3676,20658
tomato,2,26,185462,2003-01-13,2019-01-01,2019-12-31,725.1,522.0,30.38,0.4702,20069
tomato,3,1,214740,2003-01-13,2020-01-01,2020-12-31,596.8,408.3,22.19,0.7696,20252
tomato,3,4,212382,2003-01-13,2020-01-01,2020-12-31,874.2,616.8,31.58,0.5108,19975
tomato,3,13,208052,2003-01-13,2020-01-01,2020-12-31,1125.4,827.1,40.97,0.1935,19508
tomato,3,26,205531,2003-01-13,2020-01-01,2020-12-31,1078.9,774.5,38.64,0.2943,19494
tomato,4,1,234992,2003-01-13,2021-01-01,2021-12-31,710.7,435.9,22.98,0.7506,20426
tomato,4,4,232357,2003-01-13,2021-01-01,2021-12-31,1025.2,634.1,31.67,0.4847,20254
tomato,4,13,227560,2003-01-13,2021-01-01,2021-12-31,1210.4,804.7,39.19,0.2561,19908
tomato,4,26,225025,2003-01-13,2021-01-01,2021-12-31,1456.7,1042.8,43.12,0.0876,19777
tomato,5,1,255418,2003-01-13,2022-01-01,2022-12-31,792.6,546.5,28.46,0.6087,21688
tomato,5,4,252611,2003-01-13,2022-01-01,2022-12-31,1162.6,811.7,44.08,0.1623,21541
tomato,5,13,247468,2003-01-13,2022-01-01,2022-12-31,1377.3,1003.8,56.69,-0.1337,21236
tomato,5,26,244802,2003-01-13,2022-01-01,2022-12-31,1334.5,1061.2,82.08,-0.223,21109
tomato,6,1,277106,2003-01-13,2023-01-01,2023-12-31,1573.8,850.4,28.65,0.5265,22055
tomato,6,4,274152,2003-01-13,2023-01-01,2023-12-31,2118.8,1190.7,41.55,0.1291,21824
tomato,6,13,268704,2003-01-13,2023-01-01,2023-12-31,2176.1,1206.8,38.61,0.0505,21426
tomato,6,26,265911,2003-01-13,2023-01-01,2023-12-31,1970.1,1190.2,40.85,0.1912,21117
tomato,7,1,299161,2003-01-13,2024-01-01,2024-12-31,986.2,677.6,24.75,0.5448,26697
tomato,7,4,295976,2003-01-13,2024-01-01,2024-12-31,1260.6,886.5,32.41,0.2685,26593
tomato,7,13,290130,2003-01-13,2024-01-01,2024-12-31,1257.2,916.2,43.22,0.3134,26383
tomato,7,26,287028,2003-01-13,2024-01-01,2024-12-31,1158.2,857.1,43.55,0.344,26153
tomato,8,1,325858,2003-01-13,2025-01-01,2025-12-31,760.0,490.7,20.02,0.6775,30682
tomato,8,4,322569,2003-01-13,2025-01-01,2025-12-31,991.6,701.2,29.8,0.455,30226
tomato,8,13,316513,2003-01-13,2025-01-01,2025-12-31,1058.8,750.5,30.24,0.3472,29146
tomato,8,26,313181,2003-01-13,2025-01-01,2025-12-31,1123.8,830.7,34.95,0.2929,28401
onion,0,1,92428,2003-01-13,2017-01-01,2017-12-31,733.4,463.9,19.43,0.7394,10466
onion,0,4,91040,2003-01-13,2017-01-01,2017-12-31,1081.7,744.3,28.91,0.4603,10439
onion,0,13,88711,2003-01-13,2017-01-01,2017-12-31,1322.2,980.8,37.72,0.1482,10400
onion,0,26,87516,2003-01-13,2017-01-01,2017-12-31,1309.9,961.7,38.93,0.0122,10405
onion,1,1,102894,2003-01-13,2018-01-01,2018-12-31,414.2,296.4,20.48,0.8074,10911
onion,1,4,101479,2003-01-13,2018-01-01,2018-12-31,669.3,519.5,42.16,0.3433,10876
onion,1,13,99111,2003-01-13,2018-01-01,2018-12-31,761.6,649.8,63.76,0.0162,10788
onion,1,26,97921,2003-01-13,2018-01-01,2018-12-31,774.1,600.0,55.33,0.0758,10750
onion,2,1,113805,2003-01-13,2019-01-01,2019-12-31,992.3,518.5,18.08,0.7182,10635
onion,2,4,112355,2003-01-13,2019-01-01,2019-12-31,1388.4,815.3,26.09,0.4775,10544
onion,2,13,109899,2003-01-13,2019-01-01,2019-12-31,1670.0,1145.6,35.85,0.2036,10380
onion,2,26,108671,2003-01-13,2019-01-01,2019-12-31,2291.1,1608.1,46.35,-0.4789,9992
onion,3,1,124440,2003-01-13,2020-01-01,2020-12-31,881.3,573.0,22.12,0.7451,9907
onion,3,4,122899,2003-01-13,2020-01-01,2020-12-31,1085.0,729.8,30.92,0.5873,9751
onion,3,13,120279,2003-01-13,2020-01-01,2020-12-31,1411.9,963.6,38.51,0.3407,9494
onion,3,26,118663,2003-01-13,2020-01-01,2020-12-31,1556.1,1104.7,36.14,0.1083,9485
onion,4,1,134347,2003-01-13,2021-01-01,2021-12-31,645.9,458.3,19.81,0.7344,10063
onion,4,4,132650,2003-01-13,2021-01-01,2021-12-31,730.7,540.0,24.59,0.653,9987
onion,4,13,129773,2003-01-13,2021-01-01,2021-12-31,594.7,459.7,22.89,0.7015,9843
onion,4,26,128148,2003-01-13,2021-01-01,2021-12-31,626.6,495.2,28.49,0.6564,9763
onion,5,1,144410,2003-01-13,2022-01-01,2022-12-31,359.9,253.9,14.54,0.8789,11024
onion,5,4,142637,2003-01-13,2022-01-01,2022-12-31,447.7,315.7,18.53,0.8092,10966
onion,5,13,139616,2003-01-13,2022-01-01,2022-12-31,720.8,549.1,34.69,0.4885,10834
onion,5,26,137911,2003-01-13,2022-01-01,2022-12-31,819.5,620.9,40.13,0.4349,10776
onion,6,1,155434,2003-01-13,2023-01-01,2023-12-31,629.6,382.9,15.99,0.8174,11221
onion,6,4,153603,2003-01-13,2023-01-01,2023-12-31,890.2,586.4,23.8,0.6308,11122
onion,6,13,150450,2003-01-13,2023-01-01,2023-12-31,1129.3,757.7,27.89,0.373,10932
onion,6,26,148687,2003-01-13,2023-01-01,2023-12-31,1223.3,912.0,33.45,0.1654,10703
onion,7,1,166655,2003-01-13,2024-01-01,2024-12-31,532.2,393.9,14.69,0.8707,11103
onion,7,4,164725,2003-01-13,2024-01-01,2024-12-31,793.0,590.3,20.23,0.7178,11037
onion,7,13,161382,2003-01-13,2024-01-01,2024-12-31,1014.1,816.5,25.96,0.5188,10888
onion,7,26,159390,2003-01-13,2024-01-01,2024-12-31,1147.7,933.5,35.53,0.4457,10810
onion,8,1,177758,2003-01-13,2025-01-01,2025-12-31,396.0,296.2,15.24,0.8593,34675
onion,8,4,175762,2003-01-13,2025-01-01,2025-12-31,649.5,510.4,27.26,0.5808,34391
onion,8,13,172270,2003-01-13,2025-01-01,2025-12-31,888.0,704.1,43.79,0.0409,33786
onion,8,26,170200,2003-01-13,2025-01-01,2025-12-31,904.3,688.1,42.68,-0.0368,33596
potato,0,1,25538,2003-01-13,2017-01-01,2017-12-31,126.3,92.6,16.7,0.6579,3675
potato,0,4,24989,2003-01-13,2017-01-01,2017-12-31,162.9,118.6,21.55,0.4084,3663
potato,0,13,23981,2003-01-13,2017-01-01,2017-12-31,234.4,193.9,36.26,-0.4836,3629
potato,0,26,23537,2003-01-13,2017-01-01,2017-12-31,319.7,281.3,45.22,0.0415,3618
potato,1,1,29213,2003-01-13,2018-01-01,2018-12-31,147.1,106.0,11.26,0.8637,3780
potato,1,4,28652,2003-01-13,2018-01-01,2018-12-31,217.0,162.3,16.34,0.6945,3774
potato,1,13,27610,2003-01-13,2018-01-01,2018-12-31,444.0,359.0,30.9,-0.1747,3773
potato,1,26,27155,2003-01-13,2018-01-01,2018-12-31,235.0,173.9,19.29,0.6447,3774
potato,2,1,32993,2003-01-13,2019-01-01,2019-12-31,289.8,180.7,16.15,0.6263,3741
potato,2,4,32426,2003-01-13,2019-01-01,2019-12-31,396.9,255.1,21.08,0.3304,3736
potato,2,13,31383,2003-01-13,2019-01-01,2019-12-31,482.8,369.1,29.37,-0.2054,3679
potato,2,26,30929,2003-01-13,2019-01-01,2019-12-31,559.8,428.4,28.67,-0.5008,3526
potato,3,1,36734,2003-01-13,2020-01-01,2020-12-31,502.6,399.5,18.77,0.4699,3301
potato,3,4,36162,2003-01-13,2020-01-01,2020-12-31,554.0,469.0,26.31,0.4356,3237
