crop,fold,horizon_weeks,n_train,test_year,RMSE,MAE,MAPE,R2,N
tomato,1,1,17508,2018,440.4,291.8,25.99,0.6246,19204
tomato,2,1,36712,2019,733.3,528.3,28.11,0.4794,19559
tomato,3,1,56271,2020,667.3,454.1,23.37,0.7165,19160
tomato,4,1,75431,2021,811.3,482.3,22.81,0.681,19357
tomato,5,1,94788,2022,831.7,586.6,29.61,0.5763,20663
tomato,6,1,115451,2023,1855.2,971.8,29.48,0.3376,20848
tomato,7,1,136299,2024,1008.9,702.7,24.61,0.5231,25626
tomato,8,1,161925,2025,897.0,596.4,22.85,0.5463,29082
tomato,1,4,17445,2018,918.8,686.8,61.57,-0.5638,19137
tomato,2,4,36582,2019,1290.6,854.9,44.63,-0.644,19491
tomato,3,4,56073,2020,941.6,646.3,30.74,0.4411,18933
tomato,4,4,75006,2021,1108.0,712.5,35.02,0.4104,19221
tomato,5,4,94227,2022,1796.1,1231.0,63.61,-0.9656,20560
tomato,6,4,114787,2023,2335.5,1445.6,57.23,-0.0648,20694
tomato,7,4,135481,2024,1255.4,893.1,33.59,0.2738,25550
tomato,8,4,161031,2025,991.4,702.9,31.2,0.4582,27127
tomato,1,13,17300,2018,2092.3,1435.7,113.98,-7.0181,19012
tomato,2,13,36312,2019,1802.8,1248.7,68.72,-2.0737,19312
tomato,3,13,55624,2020,1039.1,769.3,41.13,0.3229,18528
tomato,4,13,74152,2021,1604.0,1096.2,61.82,-0.2867,18954
tomato,5,13,93106,2022,2004.9,1414.5,75.67,-1.3742,20358
tomato,6,13,113464,2023,2192.1,1378.7,54.02,0.0352,20423
tomato,7,13,133887,2024,1326.0,1017.9,54.3,0.2334,25374
tomato,8,13,159261,2025,1404.8,1074.8,44.82,-0.1086,21618
tomato,1,26,17194,2018,3572.4,2613.5,188.16,-15.3136,18970
tomato,2,26,36164,2019,1318.3,1087.9,78.47,-0.7367,18856
tomato,3,26,55020,2020,1049.4,766.4,46.53,0.342,18506
tomato,4,26,73526,2021,1630.5,1223.0,53.85,-0.1287,18916
tomato,5,26,92442,2022,2444.4,1791.7,133.57,-3.0663,20250
tomato,6,26,112692,2023,2362.9,1486.1,48.64,-0.1698,20206
tomato,7,26,132898,2024,1606.5,1208.8,70.54,-0.2697,25167
tomato,8,26,158065,2025,1598.2,1328.3,43.47,-0.56,14086
onion,1,1,9312,2018,607.4,467.8,32.95,0.5919,9881
onion,2,1,19193,2019,1032.0,574.3,21.25,0.7017,9759
onion,3,1,28952,2020,1079.3,704.2,28.03,0.6206,9390
onion,4,1,38342,2021,848.7,613.2,26.47,0.5452,9415
onion,5,1,47757,2022,409.4,292.3,17.02,0.8436,10153
onion,6,1,57910,2023,644.7,407.8,16.84,0.8089,10389
onion,7,1,68299,2024,668.1,489.6,17.14,0.7981,10512
onion,8,1,78811,2025,517.6,389.9,21.17,0.7607,33740
onion,1,4,9297,2018,1383.8,1111.3,87.08,-1.7652,9858
onion,2,4,19155,2019,1340.8,853.7,31.02,0.5225,9702
onion,3,4,28857,2020,1774.0,1196.0,50.21,-0.0975,9265
onion,4,4,38122,2021,981.1,745.7,32.62,0.3791,9347
onion,5,4,47469,2022,771.8,515.2,29.51,0.4336,10119
onion,6,4,57588,2023,995.2,661.0,26.37,0.5387,10337
onion,7,4,67925,2024,1061.5,835.2,29.35,0.4985,10467
onion,8,4,78392,2025,725.9,535.1,28.1,0.4824,31630
onion,1,13,9274,2018,2054.7,1696.2,146.16,-6.0097,9801
onion,2,13,19075,2019,1790.9,1221.3,41.07,0.098,9610
onion,3,13,28685,2020,1477.4,1108.9,49.81,0.2804,9064
onion,4,13,37749,2021,1665.7,1232.0,54.85,-1.332,9215
onion,5,13,46964,2022,1346.0,934.0,55.54,-0.7747,10066
onion,6,13,57030,2023,1236.2,880.1,33.47,0.2466,10212
onion,7,13,67242,2024,1380.3,1123.2,37.27,0.1153,10338
onion,8,13,77580,2025,1164.3,915.8,55.79,-0.5799,25493
onion,1,26,9260,2018,1933.8,1498.1,132.4,-4.7261,9800
onion,2,26,19060,2019,1895.5,1318.8,40.01,0.0021,9336
onion,3,26,28396,2020,1453.9,946.6,32.37,0.2249,9061
onion,4,26,37457,2021,1872.5,1321.7,67.7,-2.0654,9166
onion,5,26,46623,2022,3147.5,1898.5,111.86,-7.281,10051
onion,6,26,56674,2023,1397.6,1073.2,39.47,-0.0921,10057
onion,7,26,66731,2024,1900.1,1562.2,60.28,-0.5094,10271
onion,8,26,77002,2025,2023.7,1390.1,85.24,-3.8729,16816
potato,1,1,3572,2018,200.8,160.1,16.28,0.7254,3739
potato,2,1,7311,2019,316.9,204.8,19.03,0.507,3689
potato,3,1,11000,2020,475.7,379.2,18.74,0.5242,3270
potato,4,1,14270,2021,343.0,289.7,30.65,-0.1298,3500
potato,5,1,17770,2022,259.7,197.6,13.48,0.7633,3687
potato,6,1,21457,2023,217.0,172.3,14.72,0.674,3677
potato,7,1,25134,2024,344.3,256.5,13.27,0.7006,3741
potato,8,1,28875,2025,183.8,137.8,11.85,0.6001,3553
potato,1,4,3563,2018,241.0,181.0,18.26,0.5913,3736
potato,2,4,7299,2019,415.7,277.5,24.33,0.201,3684
potato,3,4,10983,2020,572.6,478.3,28.53,0.396,3209
potato,4,4,14192,2021,424.8,341.3,36.32,-0.7497,3479
potato,5,4,17671,2022,396.0,308.5,20.98,0.4698,3686
potato,6,4,21357,2023,253.7,199.4,17.34,0.532,3675
potato,7,4,25032,2024,408.5,325.2,17.23,0.5595,3735
potato,8,4,28767,2025,333.4,263.9,22.28,-0.4374,3328
potato,1,13,3538,2018,562.0,477.7,42.48,-1.0056,3740
potato,2,13,7278,2019,592.5,482.8,42.79,-1.0038,3627
potato,3,13,10905,2020,991.3,886.8,69.5,-0.365,3120
potato,4,13,14025,2021,723.9,564.0,55.39,-4.35,3468
potato,5,13,17493,2022,956.4,748.8,60.35,-1.4606,3677
potato,6,13,21170,2023,513.9,431.4,33.17,-1.6067,3676
potato,7,13,24846,2024,770.2,648.0,32.25,-0.4222,3725
potato,8,13,28571,2025,538.9,399.3,32.85,-3.0346,2699
potato,1,26,3536,2018,360.6,268.2,25.72,0.0787,3741
potato,2,26,7277,2019,616.6,476.7,32.49,-0.9884,3474
potato,3,26,10751,2020,1537.9,1262.8,130.27,-1.8615,3145
potato,4,26,13896,2021,781.8,589.9,52.57,-2.2523,3510
potato,5,26,17406,2022,639.2,525.9,45.68,-0.227,3674
potato,6,26,21080,2023,588.4,435.0,26.99,-0.5636,3679
potato,7,26,24759,2024,650.8,494.0,27.77,0.104,3718
potato,8,26,28477,2025,466.3,385.1,33.48,-1.9888,1786
