crop,market,week_start,modal_price_weighted
tomato,Meham APMC,2024-08-19,2989.74358974359
tomato,Vedasanthur(Uzhavar Sandhai ),2024-08-19,2735.483870967742
tomato,Palakkad Market,2024-08-19,2519.0476190476197
tomato,Prayagraj APMC,2024-08-19,3032.6068376068374
tomato,Mohindergarh APMC,2024-08-19,2643.526170798898
tomato,Bahraich APMC,2024-08-19,2889.6039603960394
tomato,Venkateswarnagar APMC,2024-08-19,1061.8181818181818
tomato,Morbi APMC,2024-08-19,2999.9999999999995
tomato,Mohanur(Uzhavar Sandhai ),2024-08-19,3069.96699669967
tomato,Pundibari APMC,2024-08-19,
tomato,Kattappana Market,2024-08-19,4343.045112781954
tomato,Padra APMC,2024-08-19,2139.442231075697
tomato,Mulakalacheruvu APMC,2024-08-19,2474.929207348844
tomato,Kariyapatti(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Mehndipatnam(Rythu Bazar) APMC,2024-08-19,1701.2552301255232
tomato,Raman APMC,2024-08-19,3280.2272727272725
tomato,Rajnandgaon APMC,2024-08-19,1479.076923076923
tomato,Munnar Market,2024-08-19,2500.0
tomato,Pampady Market,2024-08-19,3375.0
tomato,Akluj APMC,2024-08-19,1172.0496894409937
tomato,Kayamganj APMC,2024-08-19,2669.4202898550725
tomato,Karsiyang(Matigara) APMC,2024-08-19,4400.0
tomato,Ujhani APMC,2024-08-19,3424.410256410257
tomato,Vankaner(Sub yard) APMC,2024-08-19,4270.108695652174
tomato,Mustafabad APMC,2024-08-19,3691.891891891892
tomato,Ajmer(F&V) APMC,2024-08-19,3012.269938650307
tomato,Mumbai APMC,2024-08-19,2538.7980257427653
tomato,Teliamura APMC,2024-08-19,5300.0
tomato,PMY Paonta Sahib,2024-08-19,3700.0
tomato,Pala Market,2024-08-19,3900.0
tomato,Kanpur(Grain) APMC,2024-08-19,2556.331877729257
tomato,Raibareilly APMC,2024-08-19,2961.150442477876
tomato,Mehmoodabad APMC,2024-08-19,3058.1111111111118
tomato,Bahadajholla APMC,2024-08-19,2500.0
tomato,Alangudi(Uzhavar Sandhai ),2024-08-19,3000.0
tomato,Kaveripattinam(Uzhavar Sandhai ),2024-08-19,3000.0
tomato,PMY Chamba,2024-08-19,3407.894736842105
tomato,Karur(Uzhavar Sandhai ),2024-08-19,2675.665399239544
tomato,Chengam(Uzhavar Sandhai ),2024-08-19,2434.5549738219897
tomato,Palanganatham(Uzhavar Sandhai ),2024-08-19,2486.549707602339
tomato,Birmaharajpur APMC,2024-08-19,3000.0
tomato,Mulbagal APMC,2024-08-19,1073.917301414581
tomato,Amrawati(Frui & Veg. Market) APMC,2024-08-19,1100.0
tomato,Vaniyampadi(Uzhavar Sandhai ),2024-08-19,2429.169349645847
tomato,Meerut APMC,2024-08-19,2601.333333333333
