variant,crop,horizon_weeks,RMSE,MAE,MAPE,R2
B1_Naive,onion,1,321.1,191.9,9.11,0.9268
B1_Naive,onion,4,609.3,417.3,19.9,0.7309
B1_Naive,onion,13,1036.3,792.0,38.99,0.185
B1_Naive,onion,26,1205.2,959.2,45.66,-0.079
B1_Naive,potato,1,117.0,68.8,5.87,0.9076
B1_Naive,potato,4,252.8,175.8,14.95,0.574
B1_Naive,potato,13,483.0,376.1,33.83,-0.3443
B1_Naive,potato,26,636.6,545.0,48.24,-0.8027
B1_Naive,tomato,1,626.9,372.2,15.44,0.8285
B1_Naive,tomato,4,1353.5,905.2,39.86,0.2152
B1_Naive,tomato,13,1964.8,1415.3,72.26,-0.6161
B1_Naive,tomato,26,2030.7,1529.3,83.65,-0.9558
M0,onion,1,469.9,335.7,16.23,0.8416
M0,onion,4,711.7,552.6,27.59,0.6145
M0,onion,13,890.6,697.6,35.19,0.3681
M0,onion,26,1060.4,857.3,39.77,0.1108
M0,potato,1,205.7,153.8,12.47,0.7278
M0,potato,4,325.5,255.6,21.55,0.2044
M0,potato,13,557.5,467.2,38.21,-1.4297
M0,potato,26,487.2,387.0,33.43,-0.4174
M0,tomato,1,927.1,589.5,24.75,0.6369
M0,tomato,4,1259.6,842.3,37.53,0.322
M0,tomato,13,1433.3,964.8,42.28,0.1353
M0,tomato,26,1445.4,1012.1,47.29,-0.0942
M1,onion,1,465.4,331.8,16.17,0.8444
M1,onion,4,686.6,527.1,26.07,0.6467
M1,onion,13,896.7,702.0,35.56,0.3546
M1,onion,26,1033.0,826.2,38.43,0.1646
M1,potato,1,204.6,153.3,12.54,0.7252
M1,potato,4,329.9,260.6,21.95,0.1801
M1,potato,13,550.2,463.3,38.82,-1.4712
M1,potato,26,485.9,388.5,33.84,-0.4299
M1,tomato,1,924.2,589.8,24.79,0.6373
M1,tomato,4,1259.8,841.6,37.63,0.3229
M1,tomato,13,1428.0,961.4,41.85,0.1409
M1,tomato,26,1422.6,990.7,46.18,-0.0506
M2,onion,1,479.7,337.1,15.97,0.8338
M2,onion,4,679.7,506.7,24.35,0.6651
M2,onion,13,931.9,711.6,34.39,0.3358
M2,onion,26,1085.3,849.8,37.5,0.0681
M2,potato,1,215.4,163.2,13.13,0.693
M2,potato,4,336.1,271.4,21.83,0.2375
M2,potato,13,668.7,576.3,45.11,-2.0592
M2,potato,26,555.6,456.0,39.53,-0.6441
M2,tomato,1,937.5,610.4,26.24,0.6261
M2,tomato,4,1309.1,895.8,41.21,0.2588
M2,tomato,13,1395.9,933.8,41.4,0.1921
M2,tomato,26,1509.1,1080.1,51.48,-0.2689
M3,onion,1,488.2,343.3,16.06,0.8269
M3,onion,4,666.0,492.2,23.41,0.6729
M3,onion,13,917.7,707.6,34.1,0.3521
M3,onion,26,1054.3,829.0,35.79,0.1247
M3,potato,1,195.5,145.2,11.79,0.7606
M3,potato,4,304.2,240.6,20.33,0.3453
M3,potato,13,688.6,601.7,49.67,-3.0116
M3,potato,26,648.6,550.5,49.36,-1.5001
M3,tomato,1,924.6,600.9,25.51,0.6368
M3,tomato,4,1312.5,889.7,38.58,0.257
M3,tomato,13,1449.7,970.1,42.36,0.1221
M3,tomato,26,1541.8,1111.2,52.19,-0.4179
M4,onion,1,501.2,352.2,16.62,0.8148
M4,onion,4,675.6,498.7,23.52,0.665
M4,onion,13,927.3,721.1,35.52,0.3333
M4,onion,26,1043.0,815.4,34.7,0.1445
M4,potato,1,197.2,147.0,12.09,0.7492
M4,potato,4,305.0,241.0,20.29,0.3339
M4,potato,13,666.6,581.0,47.51,-2.5424
M4,potato,26,629.2,524.2,46.54,-1.1264
M4,tomato,1,932.0,602.4,25.28,0.6311
M4,tomato,4,1343.4,910.6,39.12,0.2163
M4,tomato,13,1371.7,914.6,40.68,0.2114
M4,tomato,26,1503.6,1071.8,50.57,-0.2798
M5,onion,1,497.5,350.1,16.68,0.8182
M5,onion,4,664.7,494.7,23.32,0.6785
M5,onion,13,876.3,672.8,32.47,0.4127
M5,onion,26,1032.2,798.2,34.49,0.1836
M5,potato,1,201.9,149.9,12.4,0.7375
M5,potato,4,308.5,248.6,20.67,0.3613
M5,potato,13,648.9,559.4,44.57,-1.8518
M5,potato,26,577.2,478.4,42.34,-0.7909
M5,tomato,1,938.7,608.9,25.82,0.6268
M5,tomato,4,1333.9,905.6,38.63,0.2299
M5,tomato,13,1390.5,930.3,40.52,0.1824
M5,tomato,26,1390.4,975.3,47.14,-0.0155
M6,onion,1,493.9,347.3,16.5,0.8214
M6,onion,4,669.3,494.3,23.42,0.6692
M6,onion,13,894.7,688.2,33.15,0.3853
M6,onion,26,1019.3,786.9,34.04,0.2013
M6,potato,1,201.6,151.4,12.47,0.74
M6,potato,4,298.9,238.6,20.2,0.3717
M6,potato,13,675.4,582.3,46.42,-2.278
M6,potato,26,567.6,467.4,41.02,-0.7286
M6,tomato,1,936.8,608.2,25.81,0.6272
M6,tomato,4,1315.9,893.7,38.8,0.254
M6,tomato,13,1380.2,923.2,40.57,0.1917
M6,tomato,26,1425.4,1007.7,49.13,-0.1404
