crop,fold,horizon_weeks,n_train,train_start,test_start,test_end,RMSE,MAE,MAPE,R2,N
tomato,1,1,172967,2003-01-13,2018-01-01,2018-12-31,374.8,236.8,21.85,0.7252,20770
tomato,1,4,170791,2003-01-13,2018-01-01,2018-12-31,627.9,448.5,40.31,0.2607,20682
tomato,1,13,166883,2003-01-13,2018-01-01,2018-12-31,669.3,468.6,41.04,0.1708,20511
tomato,1,26,164986,2003-01-13,2018-01-01,2018-12-31,1110.5,874.3,60.34,-0.6066,20476
tomato,2,1,193737,2003-01-13,2019-01-01,2019-12-31,616.1,455.5,24.22,0.6282,21003
tomato,2,4,191473,2003-01-13,2019-01-01,2019-12-31,687.7,522.3,28.65,0.5281,20909
tomato,2,13,187394,2003-01-13,2019-01-01,2019-12-31,817.9,584.1,28.6,0.3605,20658
tomato,2,26,185462,2003-01-13,2019-01-01,2019-12-31,706.7,509.2,29.94,0.4967,20069
tomato,3,1,214740,2003-01-13,2020-01-01,2020-12-31,598.7,410.8,22.44,0.7681,20252
tomato,3,4,212382,2003-01-13,2020-01-01,2020-12-31,876.8,605.3,30.67,0.5078,19975
tomato,3,13,208052,2003-01-13,2020-01-01,2020-12-31,1132.8,826.0,40.05,0.1828,19508
tomato,3,26,205531,2003-01-13,2020-01-01,2020-12-31,1105.8,786.9,38.77,0.2587,19494
tomato,4,1,234992,2003-01-13,2021-01-01,2021-12-31,726.1,439.9,22.53,0.7397,20426
tomato,4,4,232357,2003-01-13,2021-01-01,2021-12-31,1055.8,644.7,30.7,0.4536,20254
tomato,4,13,227560,2003-01-13,2021-01-01,2021-12-31,1170.5,785.2,38.49,0.3044,19908
tomato,4,26,225025,2003-01-13,2021-01-01,2021-12-31,1467.8,1037.3,41.46,0.0736,19777
tomato,5,1,255418,2003-01-13,2022-01-01,2022-12-31,795.7,552.1,28.68,0.6056,21688
tomato,5,4,252611,2003-01-13,2022-01-01,2022-12-31,1132.0,809.3,44.64,0.2059,21541
tomato,5,13,247468,2003-01-13,2022-01-01,2022-12-31,1422.5,1083.5,62.32,-0.2094,21236
tomato,5,26,244802,2003-01-13,2022-01-01,2022-12-31,1394.6,1130.0,87.4,-0.3356,21109
tomato,6,1,277106,2003-01-13,2023-01-01,2023-12-31,1584.0,851.4,28.51,0.5204,22055
tomato,6,4,274152,2003-01-13,2023-01-01,2023-12-31,2123.6,1203.1,43.18,0.1251,21824
tomato,6,13,268704,2003-01-13,2023-01-01,2023-12-31,2191.1,1236.9,41.23,0.0373,21426
tomato,6,26,265911,2003-01-13,2023-01-01,2023-12-31,1989.8,1198.5,39.34,0.175,21117
tomato,7,1,299161,2003-01-13,2024-01-01,2024-12-31,964.8,656.3,23.39,0.5643,26697
tomato,7,4,295976,2003-01-13,2024-01-01,2024-12-31,1321.3,925.9,33.6,0.1963,26593
tomato,7,13,290130,2003-01-13,2024-01-01,2024-12-31,1322.4,944.4,41.55,0.2403,26383
tomato,7,26,287028,2003-01-13,2024-01-01,2024-12-31,1145.2,872.1,46.7,0.3585,26153
