crop,horizon_weeks,RMSE,MAE,MAPE,R2,model
onion,1,573.9,402.8,19.02,0.8064,LightGBM
onion,4,802.5,599.6,27.83,0.6235,LightGBM
onion,13,1029.1,771.0,31.81,0.3651,LightGBM
onion,26,1351.0,1077.2,36.06,-0.2899,LightGBM
potato,1,236.7,176.1,11.68,0.7972,LightGBM
potato,4,421.6,342.8,20.85,0.3687,LightGBM
potato,13,669.8,588.7,33.7,-0.9948,LightGBM
potato,26,732.6,630.9,35.51,-1.4126,LightGBM
tomato,1,1157.3,718.4,30.43,0.5475,LightGBM
tomato,4,1591.2,1019.7,43.74,0.1357,LightGBM
tomato,13,1714.4,1113.4,42.92,-0.0389,LightGBM
tomato,26,1733.5,1180.6,47.62,-0.1795,LightGBM
onion,1,535.1,337.4,15.22,0.8343,B1_Naive
onion,4,796.0,553.8,25.29,0.6293,B1_Naive
onion,13,1235.3,950.6,42.73,0.0777,B1_Naive
onion,26,1540.6,1243.2,45.04,-0.5995,B1_Naive
onion,1,1273.5,944.2,44.49,0.0014,B2_Seasonal
onion,4,1391.9,1047.9,49.44,-0.1916,B2_Seasonal
onion,13,1645.8,1279.8,58.6,-0.7147,B2_Seasonal
onion,26,1792.3,1454.7,56.83,-1.2408,B2_Seasonal
onion,1,614.0,412.3,18.87,0.7823,B3_MA4
onion,4,842.0,606.1,28.17,0.5866,B3_MA4
onion,13,1252.8,980.9,43.67,0.0548,B3_MA4
onion,26,1504.0,1205.4,43.2,-0.5324,B3_MA4
onion,1,1366.7,992.2,40.98,-0.0978,B4_ARIMA
potato,1,185.1,123.4,9.25,0.8729,B1_Naive
potato,4,303.7,224.1,16.58,0.6537,B1_Naive
potato,13,561.7,438.7,32.27,-0.2877,B1_Naive
potato,26,791.6,682.8,46.88,-1.5351,B1_Naive
potato,1,750.2,658.4,42.49,-1.0319,B2_Seasonal
potato,4,772.2,678.5,42.92,-1.1582,B2_Seasonal
potato,13,858.7,750.1,45.43,-2.1824,B2_Seasonal
potato,26,919.0,784.1,43.78,-2.912,B2_Seasonal
potato,1,229.6,167.0,12.49,0.8055,B3_MA4
potato,4,338.8,255.9,19.01,0.5712,B3_MA4
potato,13,585.6,460.6,34.03,-0.3919,B3_MA4
potato,26,793.4,692.7,47.09,-1.5655,B3_MA4
potato,1,831.9,718.4,50.89,-2.0753,B4_ARIMA
tomato,1,1102.0,662.0,27.28,0.5825,B1_Naive
tomato,4,1806.6,1177.6,51.36,-0.1041,B1_Naive
tomato,13,2076.8,1412.0,63.79,-0.4552,B1_Naive
tomato,26,2331.4,1695.5,76.63,-1.0101,B1_Naive
tomato,1,1963.8,1324.8,59.43,-0.4639,B2_Seasonal
tomato,4,2015.4,1381.7,62.28,-0.6338,B2_Seasonal
tomato,13,2198.8,1553.2,68.95,-0.7796,B2_Seasonal
tomato,26,2165.1,1624.1,67.86,-0.9268,B2_Seasonal
tomato,1,1374.3,883.6,38.04,0.3559,B3_MA4
tomato,4,1891.3,1268.4,58.23,-0.2134,B3_MA4
tomato,13,1994.2,1370.6,60.69,-0.3428,B3_MA4
tomato,26,2241.8,1644.6,74.57,-0.8613,B3_MA4
tomato,1,2751.5,2022.7,112.73,-2.7019,B4_ARIMA
