episode,crop,horizon_weeks,core_start,core_end,n_weeks,M6_MAE,M6_MAPE,Naive_MAE,Naive_MAPE,M6_beats_naive_in_crisis
TOMATO_2023,tomato,1,2023-06-01,2023-09-15,15,1958.8,39.6,811.1,20.3,False
TOMATO_2023,tomato,4,2023-06-01,2023-09-15,15,2519.0,52.5,2786.5,82.8,True
TOMATO_2023,tomato,13,2023-06-01,2023-09-15,15,440.2,24.5,2762.6,157.0,True
TOMATO_2023,tomato,26,2023-06-01,2023-09-15,15,321.2,15.5,2888.8,149.5,True
ONION_2023_24,onion,1,2023-08-01,2024-02-01,26,453.4,14.6,205.0,6.7,False
ONION_2023_24,onion,4,2023-08-01,2024-02-01,26,764.3,24.9,680.5,23.5,False
ONION_2023_24,onion,13,2023-08-01,2024-02-01,26,573.4,19.2,1207.8,51.3,True
ONION_2023_24,onion,26,2023-08-01,2024-02-01,26,710.5,27.9,1071.9,48.2,True
POTATO_SPIKE_2024,potato,1,2024-03-01,2024-06-01,13,171.0,9.6,67.6,4.1,False
POTATO_SPIKE_2024,potato,4,2024-03-01,2024-06-01,13,375.2,19.6,266.6,14.1,False
POTATO_SPIKE_2024,potato,13,2024-03-01,2024-06-01,13,1175.4,51.1,621.8,27.3,False
POTATO_SPIKE_2024,potato,26,2024-03-01,2024-06-01,13,1141.4,49.1,651.6,28.5,False
POTATO_CRASH_2025,potato,1,2024-12-01,2025-03-01,13,186.3,11.7,126.2,8.6,False
POTATO_CRASH_2025,potato,4,2024-12-01,2025-03-01,13,150.2,13.5,440.5,35.4,True
POTATO_CRASH_2025,potato,13,2024-12-01,2025-03-01,13,274.3,22.5,631.4,58.0,True
POTATO_CRASH_2025,potato,26,2024-12-01,2025-03-01,13,177.3,14.2,522.2,41.5,True
