crop,horizon_weeks,baseline,richer,comparison,is_headline,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,M0,M6,M0 vs M6,True,-0.1526,0.8788,-3462.869388,242,baseline,False
tomato,1,M0,M4,M0 vs M4,False,-1.0032,0.3168,-12497.629462,242,baseline,False
tomato,1,M0,M1,M0 vs M1,False,2.3098,0.0217,40322.220523,242,richer,True
tomato,1,M1,M2,M1 vs M2,False,-1.3058,0.1929,-24161.630398,242,baseline,False
tomato,1,M2,M3,M2 vs M3,False,-0.9847,0.3258,-10952.926933,242,baseline,False
tomato,1,M3,M4,M3 vs M4,False,-1.2695,0.2055,-17705.292653,242,baseline,False
tomato,1,M4,M5,M4 vs M5,False,0.8683,0.3861,8560.593962,242,richer,False
tomato,1,M5,M6,M5 vs M6,False,0.0378,0.9699,474.166112,242,richer,False
tomato,4,M0,M6,M0 vs M6,True,0.1954,0.8453,18450.020646,239,richer,False
tomato,4,M0,M4,M0 vs M4,False,-0.5657,0.5721,-43220.547528,239,baseline,False
tomato,4,M0,M1,M0 vs M1,False,0.8003,0.4243,11510.725793,239,richer,False
tomato,4,M1,M2,M1 vs M2,False,-0.1751,0.8611,-7823.889777,239,baseline,False
tomato,4,M2,M3,M2 vs M3,False,-0.528,0.598,-51362.18409,239,baseline,False
tomato,4,M3,M4,M3 vs M4,False,0.1132,0.9099,4454.800545,239,richer,False
tomato,4,M4,M5,M4 vs M5,False,-0.9019,0.368,-26969.593507,239,baseline,False
tomato,4,M5,M6,M5 vs M6,False,2.482,0.0138,88640.161681,239,richer,True
tomato,13,M0,M6,M0 vs M6,True,0.1829,0.8551,19568.799692,230,richer,False
tomato,13,M0,M4,M0 vs M4,False,0.5788,0.5633,52506.578087,230,richer,False
tomato,13,M0,M1,M0 vs M1,False,0.4351,0.6639,16654.77423,230,richer,False
tomato,13,M1,M2,M1 vs M2,False,0.1263,0.8996,12783.295265,230,richer,False
tomato,13,M2,M3,M2 vs M3,False,-0.5048,0.6142,-35620.119759,230,baseline,False
tomato,13,M3,M4,M3 vs M4,False,0.8433,0.3999,58688.628351,230,richer,False
tomato,13,M4,M5,M4 vs M5,False,-0.8337,0.4053,-25043.552635,230,baseline,False
tomato,13,M5,M6,M5 vs M6,False,-0.0984,0.9217,-7894.22576,230,baseline,False
