variant,crop,horizon_weeks,n_total,n_ties,n_scored,n_correct,directional_accuracy_pct,p_value_vs_50pct,significant_at_05
M0,onion,1,105234,0,105234,59070,56.1,0.0,True
M6,onion,1,105234,0,105234,57114,54.3,2.3639130340222028e-169,True
M0,onion,4,100092,0,100092,69438,69.4,0.0,True
M6,onion,4,100092,0,100092,69315,69.3,0.0,True
M0,onion,13,86122,0,86122,60288,70.0,0.0,True
M6,onion,13,86122,0,86122,61769,71.7,0.0,True
M0,onion,26,70041,0,70041,41232,58.9,0.0,True
M6,onion,26,70041,0,70041,42197,60.2,0.0,True
M0,potato,1,19628,0,19628,10666,54.3,4.880812214385222e-34,True
M6,potato,1,19628,0,19628,11016,56.1,4.1931739267390465e-66,True
M0,potato,4,19277,0,19277,13099,68.0,0.0,True
M6,potato,4,19277,0,19277,12956,67.2,0.0,True
M0,potato,13,18339,0,18339,12806,69.8,0.0,True
M6,potato,13,18339,0,18339,10873,59.3,2.1751618278150207e-140,True
M0,potato,26,17323,0,17323,13443,77.6,0.0,True
M6,potato,26,17323,0,17323,10941,63.2,7.038300682125295e-266,True
M0,tomato,1,155011,0,155011,91847,59.3,0.0,True
M6,tomato,1,155011,0,155011,89673,57.8,0.0,True
M0,tomato,4,149551,0,149551,115560,77.3,0.0,True
M6,tomato,4,149551,0,149551,112871,75.5,0.0,True
M0,tomato,13,135653,0,135653,111819,82.4,0.0,True
M6,tomato,13,135653,0,135653,112546,83.0,0.0,True
M0,tomato,26,121746,0,121746,81541,67.0,0.0,True
M6,tomato,26,121746,0,121746,84405,69.3,0.0,True
