crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,2.0,Mahboob Manison APMC,2.7974,0.0056,82241.109724,211,M8,True
tomato,1,9.0,Shadnagar APMC,-1.6601,0.0982,-28504.561228,242,M6,False
tomato,1,19.0,Warangal APMC,1.7434,0.0827,24997.497105,217,M8,False
tomato,1,43.0,Chandigarh (Grain/F&V) APMC,1.8544,0.0649,46837.277302,240,M8,False
tomato,1,54.0,Bharuch APMC,-0.9271,0.3557,-13246.603891,123,M6,False
tomato,1,57.0,Nadiad APMC,-0.0277,0.978,-432.672061,153,M6,False
tomato,1,62.0,Morbi APMC,2.2515,0.0253,52988.972495,242,M8,True
tomato,1,64.0,Surat APMC,1.6142,0.1078,35648.370087,242,M8,False
tomato,1,66.0,Ahmedabad APMC,2.8238,0.0051,88827.524909,242,M8,True
tomato,1,69.0,PMY Kangra,1.0372,0.3007,29370.326771,242,M8,False
tomato,1,70.0,PMY Kullu,3.0946,0.0022,57907.580208,242,M8,True
tomato,1,71.0,PMY Paonta Sahib,1.7098,0.0886,42835.658987,242,M8,False
tomato,1,72.0,PMY Kather Solan,1.2628,0.2081,20693.528732,212,M8,False
tomato,1,75.0,Fatehabad APMC,-1.6901,0.0925,-38214.644439,215,M6,False
tomato,1,79.0,Narwana APMC,1.6122,0.1082,33678.426973,242,M8,False
tomato,1,80.0,Safidon APMC,3.16,0.0018,48850.473325,242,M8,True
tomato,1,85.0,Ladwa APMC,0.7804,0.4359,13653.625469,242,M8,False
tomato,1,86.0,Pehowa APMC,0.0961,0.9235,898.476201,242,M8,False
tomato,1,87.0,Thanesar APMC,1.101,0.272,29024.330688,241,M8,False
tomato,1,89.0,Shahabad APMC,1.339,0.1818,23270.8179,242,M8,False
tomato,1,92.0,kalanwali APMC,0.749,0.4547,19181.533761,207,M8,False
tomato,1,97.0,Parimpore Srinagar (F&V),-2.8859,0.0043,-97108.603699,242,M6,True
tomato,1,98.0,Udhampur (F&V),1.8639,0.0635,45790.027203,242,M8,False
tomato,1,100.0,"Binny Mill (F&V), Bengaluru APMC",2.2808,0.0234,57214.690317,242,M8,True
tomato,1,106.0,Davangere APMC,2.5807,0.0105,42437.828238,242,M8,True
tomato,1,112.0,Kolar APMC,1.6513,0.1,26186.141887,242,M8,False
tomato,1,115.0,Mysuru APMC,2.3396,0.0201,40795.172425,242,M8,True
tomato,1,125.0,Ernakulam Market,0.7653,0.4449,18480.455769,241,M8,False
tomato,1,126.0,Aluva Market,1.2266,0.2212,37620.291478,242,M8,False
tomato,1,128.0,Thalasserry Market,0.9301,0.3543,33318.743303,111,M8,False
tomato,1,131.0,Kollam Market,2.6186,0.0094,137950.974985,242,M8,True
tomato,1,132.0,Kottayam Market,1.6191,0.1067,53094.698168,242,M8,False
tomato,1,134.0,Manjeri Market,2.6601,0.0083,57306.049373,242,M8,True
tomato,1,135.0,Palakkad Market,1.3029,0.1939,34726.087469,242,M8,False
tomato,1,136.0,Koduvayoor Market,1.0274,0.3053,28047.551445,242,M8,False
tomato,1,139.0,Thrissur Market,1.3463,0.1795,33862.931623,242,M8,False
tomato,1,140.0,Kodungalloor Market,0.9219,0.3576,28819.719865,230,M8,False
