crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,1,2.0,Mahboob Manison APMC,0.2592,0.7958,21360.906376,209,M6,False
tomato,1,9.0,Shadnagar APMC,0.7572,0.4497,73576.343224,240,M6,False
tomato,1,19.0,Warangal APMC,0.9668,0.3347,62767.417592,215,M6,False
tomato,1,43.0,Chandigarh (Grain/F&V) APMC,-0.2346,0.8148,-15490.146735,238,M0,False
tomato,1,54.0,Bharuch APMC,-0.8176,0.4152,-33758.808255,121,M0,False
tomato,1,57.0,Nadiad APMC,-0.6101,0.5427,-28397.131101,151,M0,False
tomato,1,62.0,Morbi APMC,-1.2856,0.1998,-51872.49855,240,M0,False
tomato,1,64.0,Surat APMC,-0.3043,0.7612,-10014.734308,240,M0,False
tomato,1,66.0,Ahmedabad APMC,-1.6299,0.1044,-68633.4441,240,M0,False
tomato,1,69.0,PMY Kangra,-0.3481,0.7281,-17662.445979,240,M0,False
tomato,1,70.0,PMY Kullu,-1.3315,0.1843,-45297.043342,240,M0,False
tomato,1,71.0,PMY Paonta Sahib,-0.1389,0.8897,-6439.928117,240,M0,False
tomato,1,72.0,PMY Kather Solan,-1.4752,0.1417,-43824.105823,210,M0,False
tomato,1,75.0,Fatehabad APMC,-1.1943,0.2337,-41930.529793,213,M0,False
tomato,1,79.0,Narwana APMC,-1.8088,0.0717,-62485.23984,240,M0,False
tomato,1,80.0,Safidon APMC,-0.6639,0.5074,-20119.160135,239,M0,False
tomato,1,85.0,Ladwa APMC,-1.5677,0.1183,-65343.752045,240,M0,False
tomato,1,86.0,Pehowa APMC,-1.9687,0.0501,-48395.152688,240,M0,False
tomato,1,87.0,Thanesar APMC,-0.0258,0.9795,-1026.80823,239,M0,False
tomato,1,89.0,Shahabad APMC,-1.4358,0.1524,-48198.734928,240,M0,False
tomato,1,92.0,kalanwali APMC,-0.9725,0.3319,-43710.661768,204,M0,False
tomato,1,97.0,Parimpore Srinagar (F&V),-1.7835,0.0758,-78713.129314,240,M0,False
tomato,1,98.0,Udhampur (F&V),0.8065,0.4207,34565.326176,240,M6,False
tomato,1,100.0,"Binny Mill (F&V), Bengaluru APMC",-0.7289,0.4668,-41256.762109,240,M0,False
tomato,1,106.0,Davangere APMC,0.1063,0.9154,5216.47466,240,M6,False
tomato,1,112.0,Kolar APMC,-0.0757,0.9397,-4109.275131,240,M0,False
tomato,1,115.0,Mysuru APMC,-0.0905,0.928,-5552.070379,240,M0,False
tomato,1,125.0,Ernakulam Market,-0.341,0.7334,-20259.392013,239,M0,False
tomato,1,126.0,Aluva Market,0.6473,0.518,49486.645151,240,M6,False
tomato,1,128.0,Thalasserry Market,-2.4443,0.0161,-220936.428424,109,M0,True
tomato,1,131.0,Kollam Market,3.7383,0.0002,525712.965339,240,M6,True
tomato,1,132.0,Kottayam Market,1.1593,0.2475,91186.072327,239,M6,False
tomato,1,134.0,Manjeri Market,-0.826,0.4096,-49254.469849,240,M0,False
tomato,1,135.0,Palakkad Market,0.8982,0.37,70630.549008,240,M6,False
tomato,1,136.0,Koduvayoor Market,0.083,0.9339,4520.693143,240,M6,False
tomato,1,139.0,Thrissur Market,-0.7562,0.4503,-33961.398378,240,M0,False
tomato,1,140.0,Kodungalloor Market,0.5353,0.593,47238.086494,228,M6,False
tomato,1,145.0,Ahilyanagar APMC,0.196,0.8448,7899.625338,240,M6,False
tomato,1,151.0,Jalgaon APMC,-0.9835,0.3263,-45961.715743,240,M0,False
tomato,1,152.0,Kolhapur APMC,0.6215,0.5348,23908.894979,240,M6,False
