crop,feature,reference,pearson_r,n
tomato,trigger1,year_trend,-0.056,55767
tomato,trigger1,wpi_fruits_vegetables,-0.076,55767
tomato,trigger1,wpi_vegetables_total,-0.07,55767
tomato,trigger1,wpi_potato,0.007,55767
tomato,trigger1,wpi_onion,0.083,55767
tomato,trigger1,wpi_tomato,-0.12,55767
tomato,trigger1,diesel_4city_rs_litre,0.015,55767
tomato,trigger1,crude_oil_usd_bbl,0.025,55767
tomato,trigger1,agri_wages_rs_day,-0.055,55767
tomato,trigger1,price_lag_52,-0.078,48847
tomato,trigger1_missing,year_trend,-0.371,303953
tomato,trigger1_missing,wpi_fruits_vegetables,-0.489,303953
tomato,trigger1_missing,wpi_vegetables_total,-0.431,303953
tomato,trigger1_missing,wpi_potato,-0.262,303953
tomato,trigger1_missing,wpi_onion,-0.038,303953
tomato,trigger1_missing,wpi_tomato,-0.392,303953
tomato,trigger1_missing,diesel_4city_rs_litre,-0.366,303953
tomato,trigger1_missing,crude_oil_usd_bbl,-0.323,303953
tomato,trigger1_missing,agri_wages_rs_day,-0.387,303953
tomato,trigger1_missing,price_lag_52,-0.302,249501
tomato,cdi,year_trend,-0.121,166476
tomato,cdi,wpi_fruits_vegetables,-0.047,166476
tomato,cdi,wpi_vegetables_total,-0.006,166476
tomato,cdi,wpi_potato,-0.057,166476
tomato,cdi,wpi_onion,-0.067,166476
tomato,cdi,wpi_tomato,0.021,166476
tomato,cdi,diesel_4city_rs_litre,-0.03,166476
tomato,cdi,crude_oil_usd_bbl,-0.044,166476
tomato,cdi,agri_wages_rs_day,-0.089,166476
tomato,cdi,price_lag_52,-0.042,146667
tomato,cdi_missing,year_trend,-0.785,303953
tomato,cdi_missing,wpi_fruits_vegetables,-0.643,303953
tomato,cdi_missing,wpi_vegetables_total,-0.465,303953
tomato,cdi_missing,wpi_potato,-0.194,303953
tomato,cdi_missing,wpi_onion,-0.051,303953
tomato,cdi_missing,wpi_tomato,-0.307,303953
tomato,cdi_missing,diesel_4city_rs_litre,-0.821,303953
tomato,cdi_missing,crude_oil_usd_bbl,-0.602,303953
tomato,cdi_missing,agri_wages_rs_day,-0.705,303953
tomato,cdi_missing,price_lag_52,-0.193,249501
tomato,fert_urea_mrp_missing,year_trend,-0.166,303953
tomato,fert_urea_mrp_missing,wpi_fruits_vegetables,-0.138,303953
tomato,fert_urea_mrp_missing,wpi_vegetables_total,-0.15,303953
tomato,fert_urea_mrp_missing,wpi_potato,-0.394,303953
tomato,fert_urea_mrp_missing,wpi_onion,-0.143,303953
tomato,fert_urea_mrp_missing,wpi_tomato,-0.032,303953
tomato,fert_urea_mrp_missing,diesel_4city_rs_litre,-0.314,303953
tomato,fert_urea_mrp_missing,crude_oil_usd_bbl,-0.144,303953
tomato,fert_urea_mrp_missing,agri_wages_rs_day,0.006,303953
tomato,fert_urea_mrp_missing,price_lag_52,0.041,249501
tomato,fert_dap_mrp,year_trend,0.289,259426
tomato,fert_dap_mrp,wpi_fruits_vegetables,0.142,259426
tomato,fert_dap_mrp,wpi_vegetables_total,0.029,259426
tomato,fert_dap_mrp,wpi_potato,-0.046,259426
tomato,fert_dap_mrp,wpi_onion,-0.218,259426
tomato,fert_dap_mrp,wpi_tomato,0.034,259426
tomato,fert_dap_mrp,diesel_4city_rs_litre,0.161,259426
tomato,fert_dap_mrp,crude_oil_usd_bbl,0.222,259426
tomato,fert_dap_mrp,agri_wages_rs_day,0.29,259426
tomato,fert_dap_mrp,price_lag_52,-0.006,230883
tomato,fert_dap_mrp_missing,year_trend,-0.166,303953
tomato,fert_dap_mrp_missing,wpi_fruits_vegetables,-0.138,303953
tomato,fert_dap_mrp_missing,wpi_vegetables_total,-0.15,303953
tomato,fert_dap_mrp_missing,wpi_potato,-0.394,303953
tomato,fert_dap_mrp_missing,wpi_onion,-0.143,303953
tomato,fert_dap_mrp_missing,wpi_tomato,-0.032,303953
tomato,fert_dap_mrp_missing,diesel_4city_rs_litre,-0.314,303953
tomato,fert_dap_mrp_missing,crude_oil_usd_bbl,-0.144,303953
tomato,fert_dap_mrp_missing,agri_wages_rs_day,0.006,303953
tomato,fert_dap_mrp_missing,price_lag_52,0.041,249501
tomato,fert_mop_mrp,year_trend,0.883,259426
tomato,fert_mop_mrp,wpi_fruits_vegetables,0.641,259426
tomato,fert_mop_mrp,wpi_vegetables_total,0.435,259426
tomato,fert_mop_mrp,wpi_potato,0.064,259426
tomato,fert_mop_mrp,wpi_onion,-0.032,259426
tomato,fert_mop_mrp,wpi_tomato,0.296,259426
tomato,fert_mop_mrp,diesel_4city_rs_litre,0.825,259426
tomato,fert_mop_mrp,crude_oil_usd_bbl,0.654,259426
tomato,fert_mop_mrp,agri_wages_rs_day,0.823,259426
tomato,fert_mop_mrp,price_lag_52,0.156,230883
tomato,fert_mop_mrp_missing,year_trend,-0.166,303953
tomato,fert_mop_mrp_missing,wpi_fruits_vegetables,-0.138,303953
tomato,fert_mop_mrp_missing,wpi_vegetables_total,-0.15,303953
tomato,fert_mop_mrp_missing,wpi_potato,-0.394,303953
tomato,fert_mop_mrp_missing,wpi_onion,-0.143,303953
tomato,fert_mop_mrp_missing,wpi_tomato,-0.032,303953
tomato,fert_mop_mrp_missing,diesel_4city_rs_litre,-0.314,303953
tomato,fert_mop_mrp_missing,crude_oil_usd_bbl,-0.144,303953
tomato,fert_mop_mrp_missing,agri_wages_rs_day,0.006,303953
tomato,fert_mop_mrp_missing,price_lag_52,0.041,249501
onion,trigger1,year_trend,0.013,36259
onion,trigger1,wpi_fruits_vegetables,-0.11,36259
onion,trigger1,wpi_vegetables_total,-0.097,36259
onion,trigger1,wpi_potato,-0.136,36259
onion,trigger1,wpi_onion,-0.013,36259
onion,trigger1,wpi_tomato,-0.082,36259
onion,trigger1,diesel_4city_rs_litre,0.077,36259
onion,trigger1,crude_oil_usd_bbl,0.037,36259
onion,trigger1,agri_wages_rs_day,0.017,36259
onion,trigger1,price_lag_52,-0.06,25823
onion,trigger1_missing,year_trend,-0.338,176813
onion,trigger1_missing,wpi_fruits_vegetables,-0.437,176813
onion,trigger1_missing,wpi_vegetables_total,-0.374,176813
onion,trigger1_missing,wpi_potato,-0.187,176813
onion,trigger1_missing,wpi_onion,0.035,176813
onion,trigger1_missing,wpi_tomato,-0.343,176813
onion,trigger1_missing,diesel_4city_rs_litre,-0.356,176813
onion,trigger1_missing,crude_oil_usd_bbl,-0.287,176813
onion,trigger1_missing,agri_wages_rs_day,-0.37,176813
onion,trigger1_missing,price_lag_52,-0.088,130095
onion,cdi,year_trend,-0.142,108022
onion,cdi,wpi_fruits_vegetables,-0.029,108022
onion,cdi,wpi_vegetables_total,0.025,108022
onion,cdi,wpi_potato,0.029,108022
onion,cdi,wpi_onion,-0.049,108022
onion,cdi,wpi_tomato,0.028,108022
onion,cdi,diesel_4city_rs_litre,-0.06,108022
onion,cdi,crude_oil_usd_bbl,-0.07,108022
onion,cdi,agri_wages_rs_day,-0.116,108022
onion,cdi,price_lag_52,0.02,79563
onion,cdi_missing,year_trend,-0.767,176813
onion,cdi_missing,wpi_fruits_vegetables,-0.64,176813
onion,cdi_missing,wpi_vegetables_total,-0.427,176813
onion,cdi_missing,wpi_potato,-0.144,176813
onion,cdi_missing,wpi_onion,-0.002,176813
onion,cdi_missing,wpi_tomato,-0.261,176813
onion,cdi_missing,diesel_4city_rs_litre,-0.803,176813
onion,cdi_missing,crude_oil_usd_bbl,-0.535,176813
onion,cdi_missing,agri_wages_rs_day,-0.685,176813
onion,cdi_missing,price_lag_52,-0.187,130095
onion,fert_urea_mrp_missing,year_trend,-0.058,176813
onion,fert_urea_mrp_missing,wpi_fruits_vegetables,-0.074,176813
onion,fert_urea_mrp_missing,wpi_vegetables_total,-0.108,176813
onion,fert_urea_mrp_missing,wpi_potato,-0.387,176813
onion,fert_urea_mrp_missing,wpi_onion,-0.157,176813
onion,fert_urea_mrp_missing,wpi_tomato,0.003,176813
onion,fert_urea_mrp_missing,diesel_4city_rs_litre,-0.207,176813
onion,fert_urea_mrp_missing,crude_oil_usd_bbl,-0.077,176813
onion,fert_urea_mrp_missing,agri_wages_rs_day,0.1,176813
onion,fert_urea_mrp_missing,price_lag_52,0.102,130095
onion,fert_dap_mrp,year_trend,0.331,146430
onion,fert_dap_mrp,wpi_fruits_vegetables,0.166,146430
onion,fert_dap_mrp,wpi_vegetables_total,0.026,146430
onion,fert_dap_mrp,wpi_potato,-0.061,146430
onion,fert_dap_mrp,wpi_onion,-0.232,146430
onion,fert_dap_mrp,wpi_tomato,0.017,146430
onion,fert_dap_mrp,diesel_4city_rs_litre,0.197,146430
onion,fert_dap_mrp,crude_oil_usd_bbl,0.219,146430
