crop,driver,direction,lag_weeks,F_stat,p_value,transform,p_value_fdr,significant_fdr05
tomato,arrivals,driver_causes_price,1,0.002,0.9666,level,0.9767,False
tomato,arrivals,driver_causes_price,4,6.056,0.0001,level,0.00045000000000000004,True
tomato,arrivals,driver_causes_price,13,3.752,0.0,level,0.0,True
tomato,arrivals,price_causes_driver,1,4.239,0.04,level,0.08307692307692309,False
tomato,arrivals,price_causes_driver,4,1.964,0.0988,level,0.17784,False
tomato,arrivals,price_causes_driver,13,2.341,0.005,level,0.014210526315789474,True
tomato,climate_tmax,driver_causes_price,1,23.243,0.0,level,0.0,True
tomato,climate_tmax,driver_causes_price,4,8.348,0.0,level,0.0,True
tomato,climate_tmax,driver_causes_price,13,4.716,0.0,level,0.0,True
tomato,climate_tmax,price_causes_driver,1,29.517,0.0,level,0.0,True
tomato,climate_tmax,price_causes_driver,4,5.786,0.0001,level,0.00045000000000000004,True
tomato,climate_tmax,price_causes_driver,13,2.28,0.0064,level,0.01728,True
tomato,climate_rain,driver_causes_price,1,22.724,0.0,level,0.0,True
tomato,climate_rain,driver_causes_price,4,2.76,0.0273,level,0.06409565217391304,False
tomato,climate_rain,driver_causes_price,13,1.102,0.3545,level,0.5469428571428572,False
tomato,climate_rain,price_causes_driver,1,8.867,0.003,level,0.010125,True
tomato,climate_rain,price_causes_driver,4,2.392,0.0499,level,0.09623571428571429,False
tomato,climate_rain,price_causes_driver,13,2.181,0.0095,level,0.024428571428571428,True
tomato,satellite_ndvi_anom,driver_causes_price,1,7.958,0.005,level,0.014210526315789474,True
tomato,satellite_ndvi_anom,driver_causes_price,4,0.692,0.5981,level,0.7222799999999999,False
tomato,satellite_ndvi_anom,driver_causes_price,13,0.513,0.9169,level,0.9708352941176471,False
tomato,satellite_ndvi_anom,price_causes_driver,1,8.027,0.0048,level,0.014210526315789474,True
tomato,satellite_ndvi_anom,price_causes_driver,4,2.634,0.0338,level,0.07604999999999999,False
tomato,satellite_ndvi_anom,price_causes_driver,13,1.013,0.4377,level,0.6060461538461538,False
tomato,macro_usdinr,driver_causes_price,1,0.116,0.7334,diff,0.8426297872340426,False
tomato,macro_usdinr,driver_causes_price,4,0.133,0.9703,diff,0.9767,False
tomato,macro_usdinr,driver_causes_price,13,0.377,0.9767,diff,0.9767,False
tomato,macro_usdinr,price_causes_driver,1,0.96,0.3277,diff,0.5204647058823529,False
tomato,macro_usdinr,price_causes_driver,4,1.267,0.2819,diff,0.46129090909090903,False
tomato,macro_usdinr,price_causes_driver,13,1.263,0.2319,diff,0.39133125,False
tomato,macro_repo_rate,driver_causes_price,1,0.035,0.8521,diff,0.9390489795918366,False
tomato,macro_repo_rate,driver_causes_price,4,0.829,0.5073,diff,0.6640714285714285,False
tomato,macro_repo_rate,driver_causes_price,13,0.516,0.9151,diff,0.9708352941176471,False
tomato,macro_repo_rate,price_causes_driver,1,0.145,0.7033,diff,0.8256130434782609,False
tomato,macro_repo_rate,price_causes_driver,4,0.835,0.5033,diff,0.6640714285714285,False
tomato,macro_repo_rate,price_causes_driver,13,1.021,0.4291,diff,0.6060461538461538,False
tomato,macro_diesel,driver_causes_price,1,0.422,0.5165,diff,0.6640714285714285,False
tomato,macro_diesel,driver_causes_price,4,1.059,0.3765,diff,0.5541567567567567,False
tomato,macro_diesel,driver_causes_price,13,2.027,0.0174,diff,0.04270909090909091,True
tomato,macro_diesel,price_causes_driver,1,4.005,0.0459,diff,0.0918,False
tomato,macro_diesel,price_causes_driver,4,1.542,0.1887,diff,0.3287032258064516,False
tomato,macro_diesel,price_causes_driver,13,1.588,0.085,diff,0.15827586206896552,False
tomato,macro_wpi_own_crop,driver_causes_price,1,0.773,0.3797,level,0.5541567567567567,False
tomato,macro_wpi_own_crop,driver_causes_price,4,2.529,0.0399,level,0.08307692307692309,False
tomato,macro_wpi_own_crop,driver_causes_price,13,2.635,0.0015,level,0.005785714285714286,True
tomato,macro_wpi_own_crop,price_causes_driver,1,69.438,0.0,level,0.0,True
tomato,macro_wpi_own_crop,price_causes_driver,4,53.217,0.0,level,0.0,True
tomato,macro_wpi_own_crop,price_causes_driver,13,16.726,0.0,level,0.0,True
tomato,policy_intervention,driver_causes_price,1,0.278,0.5984,level,0.7222799999999999,False
tomato,policy_intervention,driver_causes_price,4,0.476,0.7533,level,0.8474625,False
tomato,policy_intervention,driver_causes_price,13,0.854,0.6019,level,0.7222799999999999,False
tomato,policy_intervention,price_causes_driver,1,9.56,0.0021,level,0.007559999999999999,True
tomato,policy_intervention,price_causes_driver,4,7.36,0.0,level,0.0,True
tomato,policy_intervention,price_causes_driver,13,2.713,0.0011,level,0.00456923076923077,True
onion,arrivals,driver_causes_price,1,1.005,0.3165,diff,0.670235294117647,False
onion,arrivals,driver_causes_price,4,0.375,0.8265,diff,0.9298125,False
onion,arrivals,driver_causes_price,13,0.901,0.5524,diff,0.8193306122448979,False
onion,arrivals,price_causes_driver,1,0.067,0.796,diff,0.9266285714285714,False
onion,arrivals,price_causes_driver,4,2.111,0.0783,diff,0.26845714285714284,False
onion,arrivals,price_causes_driver,13,1.307,0.2044,diff,0.4747354838709677,False
onion,climate_tmax,driver_causes_price,1,11.421,0.0008,level,0.007200000000000001,True
onion,climate_tmax,driver_causes_price,4,2.282,0.0596,level,0.22736842105263155,False
onion,climate_tmax,driver_causes_price,13,0.748,0.7154,level,0.9266285714285714,False
onion,climate_tmax,price_causes_driver,1,0.649,0.4207,level,0.7212,False
onion,climate_tmax,price_causes_driver,4,2.48,0.0432,level,0.20736,False
onion,climate_tmax,price_causes_driver,13,1.359,0.1757,level,0.4518,False
onion,climate_rain,driver_causes_price,1,31.241,0.0,level,0.0,True
onion,climate_rain,driver_causes_price,4,7.605,0.0,level,0.0,True
onion,climate_rain,driver_causes_price,13,3.752,0.0,level,0.0,True
onion,climate_rain,price_causes_driver,1,2.23,0.136,level,0.39168000000000003,False
onion,climate_rain,price_causes_driver,4,4.167,0.0025,level,0.02,True
onion,climate_rain,price_causes_driver,13,1.596,0.0826,level,0.27032727272727275,False
onion,satellite_ndvi_anom,driver_causes_price,1,1.904,0.1684,level,0.4517333333333333,False
onion,satellite_ndvi_anom,driver_causes_price,4,2.137,0.0754,level,0.26845714285714284,False
onion,satellite_ndvi_anom,driver_causes_price,13,1.242,0.2469,level,0.555525,False
onion,satellite_ndvi_anom,price_causes_driver,1,2.314,0.129,level,0.387,False
onion,satellite_ndvi_anom,price_causes_driver,4,0.683,0.6041,level,0.8364461538461538,False
onion,satellite_ndvi_anom,price_causes_driver,13,1.856,0.0337,level,0.17331428571428573,False
onion,macro_usdinr,driver_causes_price,1,0.482,0.4881,diff,0.7713391304347826,False
onion,macro_usdinr,driver_causes_price,4,0.948,0.4361,diff,0.7273636363636363,False
onion,macro_usdinr,driver_causes_price,13,0.83,0.6279,diff,0.8529962264150943,False
onion,macro_usdinr,price_causes_driver,1,0.094,0.7588,diff,0.9266285714285714,False
onion,macro_usdinr,price_causes_driver,4,2.286,0.0592,diff,0.22736842105263155,False
onion,macro_usdinr,price_causes_driver,13,1.057,0.3949,diff,0.717190243902439,False
onion,macro_repo_rate,driver_causes_price,1,0.059,0.8088,diff,0.9266285714285714,False
onion,macro_repo_rate,driver_causes_price,4,1.003,0.4058,diff,0.717190243902439,False
onion,macro_repo_rate,driver_causes_price,13,0.531,0.9058,diff,0.9852,False
onion,macro_repo_rate,price_causes_driver,1,0.685,0.4084,diff,0.717190243902439,False
onion,macro_repo_rate,price_causes_driver,4,0.461,0.7647,diff,0.9266285714285714,False
onion,macro_repo_rate,price_causes_driver,13,1.058,0.3939,diff,0.717190243902439,False
onion,macro_diesel,driver_causes_price,1,0.344,0.5576,diff,0.8193306122448979,False
onion,macro_diesel,driver_causes_price,4,0.691,0.5986,diff,0.8364461538461538,False
onion,macro_diesel,driver_causes_price,13,0.772,0.6901,diff,0.9201333333333334,False
onion,macro_diesel,price_causes_driver,1,0.057,0.8108,diff,0.9266285714285714,False
onion,macro_diesel,price_causes_driver,4,0.691,0.5983,diff,0.8364461538461538,False
onion,macro_diesel,price_causes_driver,13,1.461,0.1284,diff,0.387,False
onion,macro_wpi_own_crop,driver_causes_price,1,0.586,0.4445,level,0.7273636363636363,False
onion,macro_wpi_own_crop,driver_causes_price,4,7.902,0.0,level,0.0,True
onion,macro_wpi_own_crop,driver_causes_price,13,2.468,0.003,level,0.0216,True
onion,macro_wpi_own_crop,price_causes_driver,1,69.272,0.0,level,0.0,True
onion,macro_wpi_own_crop,price_causes_driver,4,27.391,0.0,level,0.0,True
onion,macro_wpi_own_crop,price_causes_driver,13,7.076,0.0,level,0.0,True
onion,policy_export_duty,driver_causes_price,1,0.102,0.75,diff,0.9266285714285714,False
onion,policy_export_duty,driver_causes_price,4,0.101,0.982,diff,0.9852,False
