crop,market_from,market_to,lag_weeks,F_stat,p_value,p_value_fdr,significant_fdr05
tomato,Kolar APMC,Pimpalgaon Baswant APMC,1,16.077,0.0001,0.0002105263157894737,True
tomato,Kolar APMC,Pimpalgaon Baswant APMC,4,7.018,0.0,0.0,True
tomato,Kolar APMC,APMC Azadpur,1,45.349,0.0,0.0,True
tomato,Kolar APMC,APMC Azadpur,4,10.255,0.0,0.0,True
tomato,Kolar APMC,Chintamani APMC,1,5.549,0.0189,0.027000000000000003,True
tomato,Kolar APMC,Chintamani APMC,4,10.382,0.0,0.0,True
tomato,Kolar APMC,Junnar(Narayangaon) APMC,1,53.333,0.0,0.0,True
tomato,Kolar APMC,Junnar(Narayangaon) APMC,4,15.906,0.0,0.0,True
tomato,Pimpalgaon Baswant APMC,Kolar APMC,1,0.628,0.4286,0.4633513513513513,False
tomato,Pimpalgaon Baswant APMC,Kolar APMC,4,0.844,0.4977,0.5154,False
tomato,Pimpalgaon Baswant APMC,APMC Azadpur,1,52.226,0.0,0.0,True
tomato,Pimpalgaon Baswant APMC,APMC Azadpur,4,14.726,0.0,0.0,True
tomato,Pimpalgaon Baswant APMC,Chintamani APMC,1,0.424,0.5154,0.5154,False
tomato,Pimpalgaon Baswant APMC,Chintamani APMC,4,3.756,0.0052,0.008,True
tomato,Pimpalgaon Baswant APMC,Junnar(Narayangaon) APMC,1,12.128,0.0005,0.0009523809523809524,True
tomato,Pimpalgaon Baswant APMC,Junnar(Narayangaon) APMC,4,7.696,0.0,0.0,True
tomato,APMC Azadpur,Kolar APMC,1,12.047,0.0006,0.0010909090909090907,True
tomato,APMC Azadpur,Kolar APMC,4,1.239,0.2936,0.3558787878787879,False
tomato,APMC Azadpur,Pimpalgaon Baswant APMC,1,0.66,0.4169,0.4632222222222222,False
tomato,APMC Azadpur,Pimpalgaon Baswant APMC,4,0.826,0.5094,0.5154,False
tomato,APMC Azadpur,Chintamani APMC,1,9.739,0.0019,0.0033043478260869567,True
tomato,APMC Azadpur,Chintamani APMC,4,1.389,0.2368,0.296,False
tomato,APMC Azadpur,Junnar(Narayangaon) APMC,1,0.784,0.3763,0.4427058823529412,False
tomato,APMC Azadpur,Junnar(Narayangaon) APMC,4,4.113,0.0028,0.004666666666666667,True
tomato,Chintamani APMC,Kolar APMC,1,8.186,0.0044,0.00704,True
tomato,Chintamani APMC,Kolar APMC,4,3.314,0.0108,0.016,True
tomato,Chintamani APMC,Pimpalgaon Baswant APMC,1,16.099,0.0001,0.0002105263157894737,True
tomato,Chintamani APMC,Pimpalgaon Baswant APMC,4,5.116,0.0005,0.0009523809523809524,True
tomato,Chintamani APMC,APMC Azadpur,1,62.521,0.0,0.0,True
tomato,Chintamani APMC,APMC Azadpur,4,12.321,0.0,0.0,True
tomato,Chintamani APMC,Junnar(Narayangaon) APMC,1,43.404,0.0,0.0,True
tomato,Chintamani APMC,Junnar(Narayangaon) APMC,4,13.262,0.0,0.0,True
tomato,Junnar(Narayangaon) APMC,Kolar APMC,1,3.324,0.0689,0.09186666666666667,False
tomato,Junnar(Narayangaon) APMC,Kolar APMC,4,1.469,0.2106,0.271741935483871,False
tomato,Junnar(Narayangaon) APMC,Pimpalgaon Baswant APMC,1,22.787,0.0,0.0,True
tomato,Junnar(Narayangaon) APMC,Pimpalgaon Baswant APMC,4,9.679,0.0,0.0,True
tomato,Junnar(Narayangaon) APMC,APMC Azadpur,1,44.095,0.0,0.0,True
tomato,Junnar(Narayangaon) APMC,APMC Azadpur,4,12.081,0.0,0.0,True
tomato,Junnar(Narayangaon) APMC,Chintamani APMC,1,0.703,0.4022,0.4596571428571429,False
tomato,Junnar(Narayangaon) APMC,Chintamani APMC,4,2.694,0.0304,0.041931034482758624,True
onion,Bangalore APMC,Mahuva(Station Road) APMC,1,2.561,0.1103,0.14706666666666665,False
onion,Bangalore APMC,Mahuva(Station Road) APMC,4,2.478,0.0437,0.07015384615384615,False
onion,Bangalore APMC,Solapur APMC,1,1.42,0.2341,0.28375757575757576,False
onion,Bangalore APMC,Solapur APMC,4,1.592,0.1753,0.21912500000000001,False
onion,Bangalore APMC,Pimpalgaon APMC,1,4.044,0.0449,0.07015384615384615,False
onion,Bangalore APMC,Pimpalgaon APMC,4,0.798,0.5271,0.5790270270270269,False
onion,Bangalore APMC,Indore(F&V) APMC,1,13.298,0.0003,0.0007499999999999999,True
onion,Bangalore APMC,Indore(F&V) APMC,4,5.195,0.0005,0.0011111111111111111,True
onion,Mahuva(Station Road) APMC,Bangalore APMC,1,11.382,0.0008,0.0016842105263157896,True
onion,Mahuva(Station Road) APMC,Bangalore APMC,4,9.44,0.0,0.0,True
onion,Mahuva(Station Road) APMC,Solapur APMC,1,3.856,0.0502,0.07437037037037036,False
onion,Mahuva(Station Road) APMC,Solapur APMC,4,3.471,0.0083,0.01509090909090909,True
onion,Mahuva(Station Road) APMC,Pimpalgaon APMC,1,0.384,0.5356,0.5790270270270269,False
onion,Mahuva(Station Road) APMC,Pimpalgaon APMC,4,0.13,0.9713,0.9713,False
onion,Mahuva(Station Road) APMC,Indore(F&V) APMC,1,4.711,0.0307,0.053391304347826095,False
onion,Mahuva(Station Road) APMC,Indore(F&V) APMC,4,1.62,0.1688,0.21780645161290324,False
onion,Solapur APMC,Bangalore APMC,1,15.167,0.0001,0.00028571428571428574,True
onion,Solapur APMC,Bangalore APMC,4,7.97,0.0,0.0,True
onion,Solapur APMC,Mahuva(Station Road) APMC,1,9.876,0.0018,0.0034285714285714284,True
onion,Solapur APMC,Mahuva(Station Road) APMC,4,7.667,0.0,0.0,True
onion,Solapur APMC,Pimpalgaon APMC,1,0.035,0.851,0.8728205128205129,False
onion,Solapur APMC,Pimpalgaon APMC,4,1.064,0.374,0.44,False
onion,Solapur APMC,Indore(F&V) APMC,1,12.874,0.0004,0.0009411764705882353,True
onion,Solapur APMC,Indore(F&V) APMC,4,5.449,0.0003,0.0007499999999999999,True
onion,Pimpalgaon APMC,Bangalore APMC,1,53.779,0.0,0.0,True
onion,Pimpalgaon APMC,Bangalore APMC,4,18.914,0.0,0.0,True
onion,Pimpalgaon APMC,Mahuva(Station Road) APMC,1,24.519,0.0,0.0,True
onion,Pimpalgaon APMC,Mahuva(Station Road) APMC,4,14.263,0.0,0.0,True
onion,Pimpalgaon APMC,Solapur APMC,1,36.229,0.0,0.0,True
onion,Pimpalgaon APMC,Solapur APMC,4,10.393,0.0,0.0,True
onion,Pimpalgaon APMC,Indore(F&V) APMC,1,26.298,0.0,0.0,True
onion,Pimpalgaon APMC,Indore(F&V) APMC,4,8.558,0.0,0.0,True
onion,Indore(F&V) APMC,Bangalore APMC,1,14.768,0.0001,0.00028571428571428574,True
onion,Indore(F&V) APMC,Bangalore APMC,4,6.529,0.0,0.0,True
onion,Indore(F&V) APMC,Mahuva(Station Road) APMC,1,2.576,0.1094,0.14706666666666665,False
onion,Indore(F&V) APMC,Mahuva(Station Road) APMC,4,4.41,0.0017,0.0034,True
onion,Indore(F&V) APMC,Solapur APMC,1,0.614,0.4337,0.49565714285714285,False
onion,Indore(F&V) APMC,Solapur APMC,4,1.902,0.1096,0.14706666666666665,False
onion,Indore(F&V) APMC,Pimpalgaon APMC,1,4.024,0.0456,0.07015384615384615,False
onion,Indore(F&V) APMC,Pimpalgaon APMC,4,0.591,0.669,0.7042105263157895,False
potato,Burdwan APMC,Guskara APMC,1,20.733,0.0,0.0,True
potato,Burdwan APMC,Guskara APMC,4,4.508,0.0014,0.002074074074074074,True
potato,Burdwan APMC,Jangipur APMC,1,49.568,0.0,0.0,True
potato,Burdwan APMC,Jangipur APMC,4,17.724,0.0,0.0,True
potato,Burdwan APMC,Siliguri APMC,1,34.766,0.0,0.0,True
potato,Burdwan APMC,Siliguri APMC,4,13.518,0.0,0.0,True
potato,Burdwan APMC,Barasat APMC,1,3.928,0.0481,0.06012499999999999,False
potato,Burdwan APMC,Barasat APMC,4,2.914,0.0211,0.027225806451612905,True
potato,Guskara APMC,Burdwan APMC,1,0.03,0.8616,0.8616,False
potato,Guskara APMC,Burdwan APMC,4,3.839,0.0044,0.005866666666666667,True
potato,Guskara APMC,Jangipur APMC,1,28.013,0.0,0.0,True
potato,Guskara APMC,Jangipur APMC,4,12.093,0.0,0.0,True
potato,Guskara APMC,Siliguri APMC,1,27.946,0.0,0.0,True
potato,Guskara APMC,Siliguri APMC,4,14.114,0.0,0.0,True
potato,Guskara APMC,Barasat APMC,1,0.303,0.5822,0.612842105263158,False
potato,Guskara APMC,Barasat APMC,4,4.798,0.0008,0.00128,True
potato,Jangipur APMC,Burdwan APMC,1,0.878,0.3493,0.3992,False
potato,Jangipur APMC,Burdwan APMC,4,6.9,0.0,0.0,True
potato,Jangipur APMC,Guskara APMC,1,0.195,0.6586,0.6754871794871795,False
potato,Jangipur APMC,Guskara APMC,4,5.012,0.0006,0.001,True
potato,Jangipur APMC,Siliguri APMC,1,10.072,0.0016,0.002285714285714286,True
potato,Jangipur APMC,Siliguri APMC,4,10.693,0.0,0.0,True
potato,Jangipur APMC,Barasat APMC,1,9.559,0.0021,0.002896551724137931,True
potato,Jangipur APMC,Barasat APMC,4,0.848,0.4955,0.5356756756756756,False
potato,Siliguri APMC,Burdwan APMC,1,3.139,0.0771,0.09345454545454546,False
potato,Siliguri APMC,Burdwan APMC,4,12.59,0.0,0.0,True
potato,Siliguri APMC,Guskara APMC,1,2.257,0.1337,0.15729411764705883,False
potato,Siliguri APMC,Guskara APMC,4,10.047,0.0,0.0,True
potato,Siliguri APMC,Jangipur APMC,1,11.172,0.0009,0.0013846153846153845,True
potato,Siliguri APMC,Jangipur APMC,4,16.877,0.0,0.0,True
potato,Siliguri APMC,Barasat APMC,1,0.632,0.427,0.47444444444444445,False
potato,Siliguri APMC,Barasat APMC,4,10.625,0.0,0.0,True
potato,Barasat APMC,Burdwan APMC,1,14.646,0.0001,0.00017391304347826088,True
potato,Barasat APMC,Burdwan APMC,4,17.222,0.0,0.0,True
potato,Barasat APMC,Guskara APMC,1,17.274,0.0,0.0,True
potato,Barasat APMC,Guskara APMC,4,10.596,0.0,0.0,True
potato,Barasat APMC,Jangipur APMC,1,58.28,0.0,0.0,True
potato,Barasat APMC,Jangipur APMC,4,23.966,0.0,0.0,True
potato,Barasat APMC,Siliguri APMC,1,31.278,0.0,0.0,True
potato,Barasat APMC,Siliguri APMC,4,15.867,0.0,0.0,True
