crop,horizon_weeks,B1_Naive,M0,M1,M2,M3,M4,M5,M6
onion,1,0.0,-77.8206,-77.1938,-69.43109999999999,-70.20249999999999,-78.1099,-75.4581,-75.217
onion,4,0.0,-33.30329999999999,-33.4384,-22.6075,-15.311900000000001,-18.5994,-13.938300000000003,-14.163499999999996
onion,13,0.0,8.171499999999998,9.446100000000001,6.301400000000001,10.077400000000003,10.661100000000001,14.091699999999996,13.138799999999994
onion,26,0.0,19.889199999999995,17.5427,16.472699999999996,20.705799999999996,23.6155,21.503700000000002,22.385999999999996
potato,1,0.0,-118.255,-127.51679999999999,-131.94629999999998,-103.35570000000001,-108.72480000000002,-126.97989999999999,-117.7181
potato,4,0.0,-36.10679999999999,-39.8744,-35.94980000000001,-33.07169999999999,-29.094700000000007,-40.868700000000004,-32.81
potato,13,0.0,-18.773200000000003,-18.773200000000003,-56.96270000000001,-54.9839,-44.249300000000005,-43.927800000000005,-46.648500000000006
potato,26,0.0,41.4699,43.077200000000005,24.3931,4.6877999999999975,6.8641999999999985,20.693099999999998,23.0035
tomato,1,0.0,-57.82609999999999,-57.595900000000015,-62.94120000000001,-61.7391,-63.734,-62.09720000000001,-64.1944
tomato,4,0.0,7.253399999999999,6.2778,1.2619000000000047,2.629899999999996,1.7179000000000055,-0.39240000000000386,1.6118999999999994
tomato,13,0.0,31.604,30.989999999999995,31.686800000000005,29.900000000000006,34.087599999999995,34.542899999999996,33.3908
tomato,26,0.0,41.5573,43.0348,37.085,37.980599999999995,44.15860000000001,43.65090000000001,43.65090000000001
