model,crop,fold,horizon_weeks,epochs,elapsed_s,n_train,n_test,RMSE,MAE,MAPE,R2,N
LSTM,tomato,1,1,6,19.9,8000,41585,1350.3,939.5,54.29,0.0095,41585
LSTM,tomato,1,4,6,18.2,8000,41759,1347.6,952.9,58.1,0.0203,41759
LSTM,tomato,1,13,5,18.6,8000,41816,1391.6,989.8,62.14,-0.0235,41816
LSTM,tomato,1,26,6,18.1,8000,41630,1283.4,927.3,70.11,0.0677,41630
LSTM,tomato,2,1,10,20.0,8000,41027,2266.1,1345.5,61.01,0.0641,41027
LSTM,tomato,2,4,12,21.1,8000,40753,2287.9,1334.9,54.59,0.0423,40753
LSTM,tomato,2,13,15,22.2,8000,40221,2293.4,1381.3,56.76,0.0114,40221
LSTM,tomato,2,26,15,22.2,8000,39961,2161.8,1366.0,72.96,0.0799,39961
LSTM,tomato,3,1,15,23.0,8000,46126,1585.3,1126.0,61.34,0.0264,46126
LSTM,tomato,3,4,15,24.5,8000,46951,1629.1,1159.5,66.38,-0.0266,46951
LSTM,tomato,3,13,6,20.6,8000,49212,1781.6,1296.6,74.34,-0.1542,49212
LSTM,tomato,3,26,6,18.5,8000,52053,1560.8,1102.6,58.38,0.0542,52053
LSTM,tomato,4,1,15,22.9,8000,50147,1177.3,844.7,42.73,0.2518,50147
LSTM,tomato,4,4,6,18.7,8000,49699,1360.8,1042.3,60.68,0.0083,49699
LSTM,tomato,4,13,15,22.3,8000,49154,1174.2,836.1,37.19,0.2163,49154
LSTM,tomato,4,26,11,60.3,8000,49057,1331.7,990.7,43.99,-0.001,49057
LSTM,onion,1,1,15,84.4,8000,23554,725.1,548.7,42.31,0.4562,23554
LSTM,onion,1,4,9,70.1,8000,23690,928.6,727.6,60.1,0.0891,23690
LSTM,onion,1,13,15,83.7,8000,23667,924.2,721.3,61.56,0.0588,23667
LSTM,onion,1,26,15,68.3,8000,23150,881.1,648.9,55.14,0.2631,23150
LSTM,onion,2,1,15,41.8,8000,22645,2142.6,1423.3,56.67,-1.2951,22645
LSTM,onion,2,4,15,20.0,8000,22453,2152.1,1461.4,58.98,-1.3232,22453
LSTM,onion,2,13,15,20.4,8000,22069,1859.8,1328.1,55.39,-0.788,22069
LSTM,onion,2,26,15,21.7,8000,21745,1725.8,1330.7,57.3,-0.7295,21745
LSTM,onion,3,1,6,22.5,8000,22657,3276.8,2942.1,99.08,-4.103,22657
LSTM,onion,3,4,6,67.1,8000,24407,3308.7,2980.3,99.37,-4.2757,24407
LSTM,onion,3,13,6,63.7,8000,29562,3304.9,3012.0,99.62,-4.9158,29562
LSTM,onion,3,26,6,70.1,8000,37058,3045.1,2703.9,98.59,-3.8133,37058
LSTM,onion,4,1,15,78.1,8000,50306,815.3,648.2,40.6,0.3716,50306
LSTM,onion,4,4,15,81.0,8000,49966,840.0,681.7,45.4,0.2706,49966
LSTM,onion,4,13,9,69.0,8000,49642,786.0,633.0,44.67,0.2275,49642
LSTM,onion,4,26,6,63.7,8000,49918,808.5,654.0,48.48,0.1393,49918
LSTM,potato,1,1,7,16.2,8000,4331,650.3,517.7,30.88,-0.4114,4331
LSTM,potato,1,4,7,16.0,8000,4341,638.3,514.7,31.76,-0.315,4341
LSTM,potato,1,13,12,24.5,8000,4344,614.2,495.3,33.44,0.0045,4344
LSTM,potato,1,26,6,13.8,8000,4353,557.8,456.7,39.02,0.0743,4353
LSTM,potato,2,1,15,29.5,8000,4419,302.5,236.1,23.12,0.3956,4419
LSTM,potato,2,4,15,30.1,8000,4420,342.9,276.1,27.52,0.1985,4420
LSTM,potato,2,13,15,30.2,8000,4421,340.1,265.0,23.51,0.0014,4421
LSTM,potato,2,26,7,16.0,8000,4411,470.6,338.8,23.83,0.0632,4411
LSTM,potato,3,1,8,17.8,8000,4506,884.0,745.8,35.22,-0.8045,4506
LSTM,potato,3,4,10,21.4,8000,4509,869.2,743.7,35.44,-0.8168,4509
LSTM,potato,3,13,12,24.8,8000,4522,834.2,703.7,32.93,-0.5568,4522
LSTM,potato,3,26,6,14.1,8000,4532,792.9,647.7,35.6,-0.3092,4532
LSTM,potato,4,1,5,12.6,8000,4417,370.9,299.0,27.56,-0.4169,4417
LSTM,potato,4,4,15,32.4,8000,4409,311.0,234.7,20.75,-0.0422,4409
LSTM,potato,4,13,5,12.8,8000,4397,688.3,641.9,66.83,-3.1519,4397
LSTM,potato,4,26,10,21.0,8000,4380,535.3,464.6,56.76,-1.2525,4380
Transformer,tomato,1,1,13,107.0,8000,41585,1371.6,914.1,45.91,-0.022,41585
Transformer,tomato,1,4,6,79.1,8000,41759,1372.2,963.1,57.22,-0.0159,41759
Transformer,tomato,1,13,13,105.7,8000,41816,1325.7,922.5,55.42,0.0711,41816
Transformer,tomato,1,26,11,101.4,8000,41630,1213.1,788.0,46.46,0.1672,41630
Transformer,tomato,2,1,10,98.4,8000,41027,2337.1,1484.0,78.67,0.0045,41027
Transformer,tomato,2,4,7,86.2,8000,40753,2381.6,1516.1,78.47,-0.0377,40753
Transformer,tomato,2,13,5,74.8,8000,40221,2625.3,1551.9,50.68,-0.2954,40221
Transformer,tomato,2,26,5,73.3,8000,39961,2633.9,1563.0,54.37,-0.3659,39961
Transformer,tomato,3,1,5,78.4,8000,46126,1767.8,1272.8,70.59,-0.2106,46126
Transformer,tomato,3,4,15,117.4,8000,46951,1437.6,1030.8,69.25,0.2006,46951
Transformer,tomato,3,13,9,93.3,8000,49212,1719.1,1242.3,74.73,-0.0746,49212
Transformer,tomato,3,26,10,96.0,8000,52053,1483.0,1078.7,66.56,0.1462,52053
Transformer,tomato,4,1,15,114.4,8000,50147,1106.4,845.9,50.98,0.3392,50147
Transformer,tomato,4,4,14,113.0,8000,49699,1074.5,788.0,41.14,0.3817,49699
Transformer,tomato,4,13,13,101.9,8000,49154,1129.5,903.7,54.24,0.2748,49154
Transformer,tomato,4,26,5,81.4,8000,49057,1536.7,1152.1,47.99,-0.3328,49057
Transformer,onion,1,1,10,88.7,8000,23554,909.2,728.4,58.65,0.1449,23554
Transformer,onion,1,4,14,102.9,8000,23690,1400.6,1191.7,91.83,-1.072,23690
Transformer,onion,1,13,15,107.7,8000,23667,1517.7,1297.8,103.9,-1.5383,23667
Transformer,onion,1,26,5,71.4,8000,23150,1029.5,678.9,49.53,-0.0061,23150
Transformer,onion,2,1,5,68.7,8000,22645,1705.5,1162.6,55.79,-0.4543,22645
Transformer,onion,2,4,5,70.3,8000,22453,1776.8,1236.8,59.46,-0.5837,22453
Transformer,onion,2,13,5,68.8,8000,22069,1734.2,1260.1,56.74,-0.5548,22069
Transformer,onion,2,26,5,20.6,8000,21745,1776.2,1315.6,49.32,-0.832,21745
Transformer,onion,3,1,15,34.5,8000,22657,1445.5,1140.6,37.68,0.0069,22657
Transformer,onion,3,4,15,32.7,8000,24407,1406.8,1050.1,34.25,0.0462,24407
Transformer,onion,3,13,6,21.6,8000,29562,2442.1,2024.2,60.29,-2.2301,29562
Transformer,onion,3,26,11,65.0,8000,37058,1370.9,1030.0,41.57,0.0244,37058
Transformer,onion,4,1,11,89.5,8000,50306,1080.2,898.3,62.6,-0.103,50306
Transformer,onion,4,4,6,21.6,8000,49966,979.9,822.9,58.17,0.0074,49966
Transformer,onion,4,13,6,47.6,8000,49642,902.0,751.4,59.15,-0.0173,49642
Transformer,onion,4,26,7,78.5,8000,49918,863.6,699.7,54.9,0.0179,49918
Transformer,potato,1,1,5,22.2,8000,4331,734.7,588.0,34.31,-0.8014,4331
Transformer,potato,1,4,7,29.3,8000,4341,643.5,521.9,32.64,-0.3367,4341
Transformer,potato,1,13,7,26.1,8000,4344,642.9,532.8,37.87,-0.0908,4344
Transformer,potato,1,26,15,58.2,8000,4353,666.1,548.1,49.79,-0.3201,4353
Transformer,potato,2,1,15,58.6,8000,4419,344.8,281.3,26.25,0.215,4419
Transformer,potato,2,4,9,37.0,8000,4420,437.5,345.5,40.13,-0.3047,4420
Transformer,potato,2,13,5,21.6,8000,4421,348.0,259.7,22.76,-0.0454,4421
Transformer,potato,2,26,5,21.4,8000,4411,515.2,372.8,25.98,-0.1225,4411
Transformer,potato,3,1,7,30.2,8000,4506,879.5,756.3,38.35,-0.786,4506
Transformer,potato,3,4,7,29.9,8000,4509,898.6,771.9,38.1,-0.9415,4509
Transformer,potato,3,13,5,22.3,8000,4522,959.6,821.4,39.82,-1.0604,4522
Transformer,potato,3,26,14,55.2,8000,4532,631.8,570.6,40.4,0.1687,4532
Transformer,potato,4,1,15,58.7,8000,4417,583.7,470.6,42.15,-2.5089,4417
Transformer,potato,4,4,15,51.5,8000,4409,691.4,554.0,48.66,-4.152,4409
Transformer,potato,4,13,15,55.6,8000,4397,661.4,573.0,52.25,-2.8337,4397
Transformer,potato,4,26,5,21.8,8000,4380,437.7,358.2,46.4,-0.506,4380
