model,crop,horizon_weeks,RMSE,MAE,MAPE,R2
LSTM,onion,1,1756.375,1416.575,57.028,-1.183
LSTM,onion,4,1819.05,1505.175,65.025,-1.296
LSTM,onion,13,1788.95,1504.525,63.108,-1.391
LSTM,onion,26,1775.525,1500.65,67.235,-1.199
LSTM,potato,1,564.725,479.975,33.442,-0.875
LSTM,potato,4,511.8,415.625,26.53,-0.165
LSTM,potato,13,570.175,467.075,32.085,-0.449
LSTM,potato,26,527.925,424.225,34.268,-0.116
LSTM,tomato,1,1575.025,1070.8,51.798,0.038
LSTM,tomato,4,1605.775,1096.4,52.128,0.019
LSTM,tomato,13,1628.525,1101.375,50.035,0.008
LSTM,tomato,26,1534.35,1067.925,53.785,0.073
Transformer,onion,1,1662.7,1381.7,67.165,-0.782
Transformer,onion,4,1621.175,1325.8,63.868,-0.708
Transformer,onion,13,1996.125,1709.05,87.097,-1.915
Transformer,onion,26,1305.025,1067.375,59.382,-0.328
Transformer,potato,1,652.4,562.225,40.218,-1.516
Transformer,potato,4,722.275,617.225,45.972,-2.716
Transformer,potato,13,683.525,601.125,46.032,-2.051
Transformer,potato,26,503.425,396.075,31.828,-0.057
Transformer,tomato,1,1522.6,1069.95,55.542,0.122
Transformer,tomato,4,1482.575,1015.675,49.485,0.172
Transformer,tomato,13,1654.975,1104.6,46.598,-0.017
Transformer,tomato,26,1659.05,1105.525,45.335,-0.111
