crop,horizon_weeks,n,mape,wape,diff_pts,accuracy_mape,accuracy_wape
onion,1,103677,15.72,14.59,1.12,84.3,85.4
onion,4,100741,22.69,20.88,1.8,77.3,79.1
onion,13,92616,33.94,29.56,4.39,66.1,70.4
onion,26,82409,38.73,33.15,5.58,61.3,66.9
potato,1,19230,11.91,11.01,0.9,88.1,89.0
potato,4,18939,19.26,17.38,1.88,80.7,82.6
potato,13,18129,43.64,42.9,0.73,56.4,57.1
potato,26,17080,38.84,35.02,3.81,61.2,65.0
tomato,1,153227,25.78,25.07,0.71,74.2,74.9
tomato,4,149711,38.66,36.86,1.8,61.3,63.1
tomato,13,140412,39.86,37.35,2.5,60.1,62.6
tomato,26,129358,44.84,39.2,5.65,55.2,60.8
