crop,market_id,market,horizon_weeks,n,mape,wape,diff_pts
onion,2.0,Mahboob Manison APMC,1,83,14.49,13.93,0.56
onion,2.0,Mahboob Manison APMC,4,80,26.94,25.06,1.88
onion,2.0,Mahboob Manison APMC,13,71,67.2,60.4,6.8
onion,2.0,Mahboob Manison APMC,26,58,113.46,98.76,14.71
onion,11.0,Sadasivpet APMC,1,83,16.33,16.36,-0.03
onion,11.0,Sadasivpet APMC,4,80,26.29,26.23,0.05
onion,11.0,Sadasivpet APMC,13,71,59.96,55.06,4.91
onion,11.0,Sadasivpet APMC,26,58,88.03,76.18,11.85
onion,43.0,Chandigarh(Grain/Fruit) APMC,1,238,17.58,17.38,0.2
onion,43.0,Chandigarh(Grain/Fruit) APMC,4,235,25.06,24.93,0.13
onion,43.0,Chandigarh(Grain/Fruit) APMC,13,226,43.85,39.69,4.17
onion,43.0,Chandigarh(Grain/Fruit) APMC,26,213,47.12,43.98,3.14
onion,54.0,Bharuch APMC,1,121,13.15,14.03,-0.87
onion,54.0,Bharuch APMC,4,115,19.46,20.24,-0.78
onion,54.0,Bharuch APMC,13,106,30.05,30.8,-0.75
onion,54.0,Bharuch APMC,26,93,44.93,40.63,4.3
onion,55.0,Mahuva(Station Road) APMC,1,240,18.57,17.11,1.45
onion,55.0,Mahuva(Station Road) APMC,4,237,25.14,23.55,1.6
onion,55.0,Mahuva(Station Road) APMC,13,228,41.26,37.65,3.61
onion,55.0,Mahuva(Station Road) APMC,26,215,41.1,36.51,4.58
onion,61.0,Gondal APMC,1,225,22.03,18.55,3.47
onion,61.0,Gondal APMC,4,219,32.46,28.34,4.12
onion,61.0,Gondal APMC,13,211,53.65,45.17,8.47
onion,61.0,Gondal APMC,26,202,58.47,47.8,10.67
onion,62.0,Morbi APMC,1,240,19.12,18.95,0.17
onion,62.0,Morbi APMC,4,237,29.68,28.95,0.72
onion,62.0,Morbi APMC,13,228,44.39,41.74,2.66
onion,62.0,Morbi APMC,26,215,45.49,42.29,3.2
onion,64.0,Surat APMC,1,240,16.01,16.18,-0.17
onion,64.0,Surat APMC,4,237,23.15,24.25,-1.1
onion,64.0,Surat APMC,13,228,35.54,37.23,-1.69
onion,64.0,Surat APMC,26,215,36.11,37.64,-1.52
onion,69.0,PMY Kangra,1,240,12.88,13.0,-0.12
onion,69.0,PMY Kangra,4,237,18.63,19.52,-0.89
onion,69.0,PMY Kangra,13,228,27.28,28.81,-1.53
onion,69.0,PMY Kangra,26,215,27.47,31.3,-3.83
onion,70.0,PMY Kullu,1,240,12.57,12.65,-0.08
onion,70.0,PMY Kullu,4,237,18.04,18.2,-0.16
onion,70.0,PMY Kullu,13,228,28.9,28.83,0.07
onion,70.0,PMY Kullu,26,215,29.33,31.78,-2.44
onion,71.0,PMY Paonta Sahib,1,240,13.68,13.63,0.06
