crop,market,out_sig,out_n,in_sig,in_n,out_rate,in_rate,net_score,period
tomato,Kolar APMC,30,32,6,32,0.9375,0.1875,0.75,full_sample
tomato,Chintamani APMC,30,32,12,32,0.9375,0.375,0.5625,full_sample
tomato,Bowenpally APMC,27,32,16,32,0.84375,0.5,0.34375,full_sample
tomato,Gudimalkapur APMC,27,32,16,32,0.84375,0.5,0.34375,full_sample
tomato,Mulbagal APMC,24,32,15,32,0.75,0.46875,0.28125,full_sample
tomato,"Fruit&Vegetable Market,Gazipur APMC",1,28,0,28,0.03571428571428571,0.0,0.03571428571428571,full_sample
tomato,Surat APMC,24,32,23,32,0.75,0.71875,0.03125,full_sample
tomato,Ahmedabad APMC,23,32,22,32,0.71875,0.6875,0.03125,full_sample
tomato,Mulakalacheruvu APMC,15,30,16,30,0.5,0.5333333333333333,-0.033333333333333326,full_sample
tomato,Sangamner APMC,24,32,26,32,0.75,0.8125,-0.0625,full_sample
tomato,Pimpalgaon Baswant APMC,17,32,22,32,0.53125,0.6875,-0.15625,full_sample
tomato,Junnar(Narayangaon) APMC,23,32,28,32,0.71875,0.875,-0.15625,full_sample
tomato,Vadodara(Sayajipura) APMC,20,32,28,32,0.625,0.875,-0.25,full_sample
tomato,Pune APMC,19,32,28,32,0.59375,0.875,-0.28125,full_sample
tomato,Tiphra APMC,16,32,26,32,0.5,0.8125,-0.3125,full_sample
tomato,APMC Shahdara,10,30,27,30,0.3333333333333333,0.9,-0.5666666666666667,full_sample
tomato,APMC Azadpur,12,32,31,32,0.375,0.96875,-0.59375,full_sample
tomato,Chintamani APMC,26,30,4,30,0.8666666666666667,0.13333333333333333,0.7333333333333334,early
tomato,Kolar APMC,22,30,4,30,0.7333333333333333,0.13333333333333333,0.6,early
tomato,Bowenpally APMC,24,30,7,30,0.8,0.23333333333333334,0.5666666666666667,early
tomato,Ahmedabad APMC,21,30,8,30,0.7,0.26666666666666666,0.4333333333333333,early
tomato,Vadodara(Sayajipura) APMC,24,30,14,30,0.8,0.4666666666666667,0.33333333333333337,early
tomato,Mulbagal APMC,16,30,7,30,0.5333333333333333,0.23333333333333334,0.3,early
tomato,Gudimalkapur APMC,22,30,14,30,0.7333333333333333,0.4666666666666667,0.2666666666666666,early
tomato,Surat APMC,19,30,15,30,0.6333333333333333,0.5,0.1333333333333333,early
tomato,Mulakalacheruvu APMC,11,30,16,30,0.36666666666666664,0.5333333333333333,-0.16666666666666669,early
