crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,2,Telangana,1,15.3,85,15.5,16.0,532,15.8,14.8
onion,2,Telangana,4,24.9,82,25.0,25.9,484,25.1,21.3
onion,2,Telangana,13,59.3,73,53.2,48.6,376,44.6,29.8
onion,2,Telangana,26,96.9,60,80.3,70.2,285,61.2,35.4
onion,11,Telangana,1,16.9,85,16.5,16.0,532,15.8,14.8
onion,11,Telangana,4,27.4,82,26.5,25.9,484,25.1,21.3
onion,11,Telangana,13,55.1,73,50.8,48.6,376,44.6,29.8
onion,11,Telangana,26,76.3,60,69.2,70.2,285,61.2,35.4
onion,43,Chandigarh,1,17.4,240,17.3,17.4,240,16.7,14.8
onion,43,Chandigarh,4,26.9,237,26.6,26.9,237,25.2,21.3
onion,43,Chandigarh,13,40.2,228,39.6,40.2,228,37.0,29.8
onion,43,Chandigarh,26,46.0,215,45.3,46.0,215,42.6,35.4
onion,54,Gujarat,1,14.4,123,15.6,18.3,3886,18.2,14.8
onion,54,Gujarat,4,20.2,117,22.2,27.1,3820,27.0,21.3
onion,54,Gujarat,13,29.4,108,32.0,37.6,3657,37.4,29.8
onion,54,Gujarat,26,42.2,95,42.6,43.6,3442,43.4,35.4
onion,55,Gujarat,1,16.8,242,17.0,18.3,3886,18.2,14.8
onion,55,Gujarat,4,25.3,239,25.6,27.1,3820,27.0,21.3
onion,55,Gujarat,13,36.0,230,36.3,37.6,3657,37.4,29.8
onion,55,Gujarat,26,41.2,217,41.6,43.6,3442,43.4,35.4
onion,61,Gujarat,1,18.8,228,18.7,18.3,3886,18.2,14.8
onion,61,Gujarat,4,28.9,222,28.6,27.1,3820,27.0,21.3
onion,61,Gujarat,13,45.0,214,43.5,37.6,3657,37.4,29.8
onion,61,Gujarat,26,49.7,205,48.4,43.6,3442,43.4,35.4
onion,62,Gujarat,1,18.7,242,18.6,18.3,3886,18.2,14.8
onion,62,Gujarat,4,30.1,239,29.6,27.1,3820,27.0,21.3
onion,62,Gujarat,13,41.7,230,40.9,37.6,3657,37.4,29.8
onion,62,Gujarat,26,47.1,217,46.4,43.6,3442,43.4,35.4
onion,64,Gujarat,1,16.4,242,16.7,18.3,3886,18.2,14.8
onion,64,Gujarat,4,24.9,239,25.3,27.1,3820,27.0,21.3
onion,64,Gujarat,13,35.7,230,36.0,37.6,3657,37.4,29.8
onion,64,Gujarat,26,40.9,217,41.4,43.6,3442,43.4,35.4
onion,69,Himachal Pradesh,1,12.9,242,13.0,13.2,4644,13.2,14.8
onion,69,Himachal Pradesh,4,19.8,239,19.8,20.0,4563,20.1,21.3
onion,69,Himachal Pradesh,13,28.9,230,29.1,30.2,4334,30.2,29.8
onion,69,Himachal Pradesh,26,32.9,217,33.2,34.2,4046,34.3,35.4
onion,70,Himachal Pradesh,1,12.9,242,13.0,13.2,4644,13.2,14.8
onion,70,Himachal Pradesh,4,18.4,239,18.7,20.0,4563,20.1,21.3
onion,70,Himachal Pradesh,13,28.9,230,29.1,30.2,4334,30.2,29.8
onion,70,Himachal Pradesh,26,33.8,217,33.9,34.2,4046,34.3,35.4
onion,71,Himachal Pradesh,1,13.5,242,13.5,13.2,4644,13.2,14.8
onion,71,Himachal Pradesh,4,20.5,239,20.4,20.0,4563,20.1,21.3
onion,71,Himachal Pradesh,13,32.4,230,31.9,30.2,4334,30.2,29.8
onion,71,Himachal Pradesh,26,36.6,217,36.2,34.2,4046,34.3,35.4
onion,72,Himachal Pradesh,1,14.2,212,14.0,13.2,4644,13.2,14.8
onion,72,Himachal Pradesh,4,22.3,203,21.9,20.0,4563,20.1,21.3
onion,72,Himachal Pradesh,13,33.9,183,33.1,30.2,4334,30.2,29.8
onion,72,Himachal Pradesh,26,39.4,165,38.1,34.2,4046,34.3,35.4
onion,75,Haryana,1,20.9,216,20.0,16.1,9862,16.1,14.8
onion,75,Haryana,4,27.5,210,26.8,24.1,9699,24.1,21.3
onion,75,Haryana,13,34.4,192,34.3,34.1,9252,34.1,29.8
onion,75,Haryana,26,36.3,169,36.6,37.7,8668,37.7,35.4
onion,79,Haryana,1,17.0,242,16.9,16.1,9862,16.1,14.8
onion,79,Haryana,4,28.1,239,27.4,24.1,9699,24.1,21.3
onion,79,Haryana,13,38.6,230,37.8,34.1,9252,34.1,29.8
onion,79,Haryana,26,39.6,217,39.2,37.7,8668,37.7,35.4
onion,85,Haryana,1,17.0,242,16.8,16.1,9862,16.1,14.8
onion,85,Haryana,4,24.6,239,24.5,24.1,9699,24.1,21.3
onion,85,Haryana,13,34.5,230,34.5,34.1,9252,34.1,29.8
onion,85,Haryana,26,36.4,217,36.6,37.7,8668,37.7,35.4
onion,86,Haryana,1,17.5,242,17.3,16.1,9862,16.1,14.8
onion,86,Haryana,4,22.5,239,22.8,24.1,9699,24.1,21.3
onion,86,Haryana,13,24.1,230,25.9,34.1,9252,34.1,29.8
onion,86,Haryana,26,24.9,217,27.4,37.7,8668,37.7,35.4
onion,87,Haryana,1,15.6,241,15.7,16.1,9862,16.1,14.8
onion,87,Haryana,4,22.8,238,23.0,24.1,9699,24.1,21.3
onion,87,Haryana,13,28.9,229,29.9,34.1,9252,34.1,29.8
onion,87,Haryana,26,33.6,216,34.4,37.7,8668,37.7,35.4
onion,89,Haryana,1,18.0,242,17.7,16.1,9862,16.1,14.8
onion,89,Haryana,4,27.3,239,26.7,24.1,9699,24.1,21.3
onion,89,Haryana,13,38.6,230,37.8,34.1,9252,34.1,29.8
onion,89,Haryana,26,43.3,217,42.2,37.7,8668,37.7,35.4
onion,92,Haryana,1,18.9,193,18.3,16.1,9862,16.1,14.8
onion,92,Haryana,4,25.0,183,24.8,24.1,9699,24.1,21.3
onion,92,Haryana,13,32.5,160,32.9,34.1,9252,34.1,29.8
onion,92,Haryana,26,36.6,157,36.8,37.7,8668,37.7,35.4
onion,97,Jammu and Kashmir,1,14.5,221,14.4,14.3,1058,14.4,14.8
onion,97,Jammu and Kashmir,4,20.5,212,20.6,21.0,1031,21.0,21.3
onion,97,Jammu and Kashmir,13,26.3,196,27.4,31.7,964,31.5,29.8
onion,97,Jammu and Kashmir,26,32.7,197,33.4,35.9,900,35.9,35.4
onion,98,Jammu and Kashmir,1,13.3,242,13.5,14.3,1058,14.4,14.8
onion,98,Jammu and Kashmir,4,19.6,239,19.9,21.0,1031,21.0,21.3
onion,98,Jammu and Kashmir,13,30.8,230,30.9,31.7,964,31.5,29.8
onion,98,Jammu and Kashmir,26,33.9,217,34.3,35.9,900,35.9,35.4
onion,99,Karnataka,1,18.5,207,18.3,17.6,3105,17.5,14.8
onion,99,Karnataka,4,26.7,201,26.4,25.5,3035,25.4,21.3
onion,99,Karnataka,13,36.6,183,35.9,33.7,2842,33.5,29.8
onion,99,Karnataka,26,38.9,157,38.5,37.5,2587,37.5,35.4
onion,101,Karnataka,1,19.3,208,18.9,17.6,3105,17.5,14.8
onion,101,Karnataka,4,26.9,201,26.6,25.5,3035,25.4,21.3
onion,101,Karnataka,13,35.1,184,34.7,33.7,2842,33.5,29.8
onion,101,Karnataka,26,37.8,163,37.7,37.5,2587,37.5,35.4
onion,105,Karnataka,1,20.9,206,20.2,17.6,3105,17.5,14.8
onion,105,Karnataka,4,31.7,200,30.4,25.5,3035,25.4,21.3
onion,105,Karnataka,13,37.4,182,36.5,33.7,2842,33.5,29.8
onion,105,Karnataka,26,32.9,156,34.0,37.5,2587,37.5,35.4
onion,106,Karnataka,1,15.3,242,15.7,17.6,3105,17.5,14.8
onion,106,Karnataka,4,24.0,239,24.3,25.5,3035,25.4,21.3
onion,106,Karnataka,13,34.1,230,34.0,33.7,2842,33.5,29.8
onion,106,Karnataka,26,40.9,217,40.2,37.5,2587,37.5,35.4
onion,108,Karnataka,1,18.9,242,18.6,17.6,3105,17.5,14.8
