variant,crop,horizon_weeks,MASE
B1_Naive,onion,1,1.0
B1_Naive,onion,4,1.0
B1_Naive,onion,13,1.0
B1_Naive,onion,26,1.0
B1_Naive,potato,1,1.0
B1_Naive,potato,4,1.0
B1_Naive,potato,13,1.0
B1_Naive,potato,26,1.0
B1_Naive,tomato,1,1.0
B1_Naive,tomato,4,1.0
B1_Naive,tomato,13,1.0
B1_Naive,tomato,26,1.0
M0,onion,1,1.7201588747069887
M0,onion,4,1.3406286514242292
M0,onion,13,0.9970166748899929
M0,onion,26,0.9651445825796914
M0,potato,1,2.1329134136402317
M0,potato,4,1.4286311013823783
M0,potato,13,1.4238797375815007
M0,potato,26,0.6399687459112532
M0,tomato,1,1.603130959647884
M0,tomato,4,0.9468177864655266
M0,tomato,13,0.7234059990119133
M0,tomato,26,0.5708546028710305
M1,onion,1,1.730762927386663
M1,onion,4,1.311653079365162
M1,onion,13,0.9736574749030411
M1,onion,26,0.9529414673941259
M1,potato,1,2.1819376111515867
M1,potato,4,1.3852550001560542
M1,potato,13,1.4260018479614467
M1,potato,26,0.6279115167921054
M1,tomato,1,1.6147650244769913
M1,tomato,4,0.9396776664631293
M1,tomato,13,0.7205393652631048
M1,tomato,26,0.5761700214005414
M2,onion,1,1.7780812031460989
M2,onion,4,1.2674848780063506
M2,onion,13,1.1366733745492537
M2,onion,26,0.9107674539710262
M2,potato,1,2.6726821458259886
M2,potato,4,1.5382841457460301
M2,potato,13,1.8312243091461522
M2,potato,26,0.7588538237623789
M2,tomato,1,1.6974420381733095
M2,tomato,4,1.0120719344521172
M2,tomato,13,0.7002078593078579
M2,tomato,26,0.6252897010649849
M3,onion,1,1.7065691836713484
M3,onion,4,1.1673219487125601
M3,onion,13,1.0582598783786001
M3,onion,26,0.9474290696674552
M3,potato,1,2.3026605227193744
M3,potato,4,1.3652768779187447
M3,potato,13,1.7472616709836808
M3,potato,26,1.2466326575136806
M3,tomato,1,1.6686032894323237
M3,tomato,4,1.028849611335671
M3,tomato,13,0.727970479779151
M3,tomato,26,0.5854097372100454
M4,onion,1,1.7217719952104735
M4,onion,4,1.1603214888700184
M4,onion,13,1.0486132870478093
M4,onion,26,0.8744182810501857
M4,potato,1,2.4374780361187924
M4,potato,4,1.338771657423962
M4,potato,13,1.7461691364700531
M4,potato,26,1.2510752305720056
M4,tomato,1,1.6798027144577201
M4,tomato,4,1.0361282520653694
M4,tomato,13,0.6882528757017077
M4,tomato,26,0.5764541851144959
M5,onion,1,1.797462988270132
M5,onion,4,1.1681294444043242
M5,onion,13,1.103595666111777
M5,onion,26,0.8772911671719049
M5,potato,1,2.38134167103727
M5,potato,4,1.3173741690310328
M5,potato,13,1.7114727891990538
M5,potato,26,0.8057396378202548
M5,tomato,1,1.6806259196715903
M5,tomato,4,1.0325589573791907
M5,tomato,13,0.6675647572066634
M5,tomato,26,0.5878318717253347
M6,onion,1,1.690270102305475
M6,onion,4,1.137120445588243
M6,onion,13,1.0796276070197628
M6,onion,26,0.8656678846266326
M6,potato,1,2.4168092555958114
M6,potato,4,1.264976567143364
M6,potato,13,1.6845314777676599
M6,potato,26,0.823109857910465
M6,tomato,1,1.6932025852783885
M6,tomato,4,1.025790996758122
M6,tomato,13,0.6732271160042345
M6,tomato,26,0.5742399328584318
