crop,horizon_weeks,elimination_round,eliminated_model,p_value,n_models_before_this_round
tomato,1,1,M5,0.032,8
tomato,1,2,M3,0.032,7
tomato,1,3,M6,0.033,6
tomato,1,4,M4,0.032,5
tomato,1,5,M1,0.028,4
tomato,1,6,M2,0.027,3
tomato,1,7,M0,0.025,2
tomato,1,8,B1_Naive,1.0,1
tomato,4,1,M5,0.443,8
tomato,4,2,M3,0.95,7
tomato,4,3,B1_Naive,0.931,6
tomato,4,4,M6,0.739,5
tomato,4,5,M1,0.684,4
tomato,4,6,M4,0.788,3
tomato,4,7,M2,0.473,2
tomato,4,8,M0,1.0,1
tomato,13,1,B1_Naive,0.054,8
tomato,13,2,M3,0.209,7
tomato,13,3,M2,0.552,6
tomato,13,4,M1,0.442,5
tomato,13,5,M6,0.795,4
tomato,13,6,M0,0.788,3
tomato,13,7,M4,0.858,2
tomato,13,8,M5,1.0,1
tomato,26,1,B1_Naive,0.0,8
tomato,26,2,M3,0.155,7
tomato,26,3,M0,0.173,6
tomato,26,4,M1,0.115,5
tomato,26,5,M2,0.038,4
tomato,26,6,M6,0.238,3
tomato,26,7,M4,0.714,2
tomato,26,8,M5,1.0,1
onion,1,1,M4,0.01,8
onion,1,2,M1,0.009,7
onion,1,3,M5,0.007,6
onion,1,4,M0,0.007,5
onion,1,5,M6,0.004,4
onion,1,6,M3,0.006,3
onion,1,7,M2,0.003,2
onion,1,8,B1_Naive,1.0,1
onion,4,1,M1,0.404,8
onion,4,2,M2,0.432,7
onion,4,3,M0,0.422,6
onion,4,4,M4,0.225,5
onion,4,5,M3,0.43,4
onion,4,6,M6,0.419,3
onion,4,7,M5,0.388,2
onion,4,8,B1_Naive,1.0,1
onion,13,1,B1_Naive,0.234,8
onion,13,2,M2,0.417,7
onion,13,3,M6,0.71,6
onion,13,4,M3,0.71,5
onion,13,5,M5,0.648,4
onion,13,6,M4,0.723,3
onion,13,7,M0,0.048,2
onion,13,8,M1,1.0,1
onion,26,1,B1_Naive,0.004,8
onion,26,2,M5,0.101,7
onion,26,3,M6,0.182,6
onion,26,4,M2,0.35,5
onion,26,5,M3,0.55,4
onion,26,6,M1,0.379,3
onion,26,7,M4,0.711,2
onion,26,8,M0,1.0,1
potato,1,1,M2,0.0,8
potato,1,2,M5,0.0,7
potato,1,3,M1,0.0,6
potato,1,4,M6,0.0,5
potato,1,5,M0,0.0,4
potato,1,6,M4,0.0,3
potato,1,7,M3,0.0,2
potato,1,8,B1_Naive,1.0,1
potato,4,1,M5,0.397,8
potato,4,2,M2,0.336,7
potato,4,3,M1,0.372,6
potato,4,4,M3,0.366,5
potato,4,5,M0,0.386,4
potato,4,6,M6,0.255,3
potato,4,7,M4,0.219,2
potato,4,8,B1_Naive,1.0,1
potato,13,1,M2,0.001,8
potato,13,2,M3,0.001,7
potato,13,3,M6,0.015,6
potato,13,4,M4,0.07,5
potato,13,5,M5,0.191,4
potato,13,6,M0,0.985,3
potato,13,7,M1,0.986,2
potato,13,8,B1_Naive,1.0,1
potato,26,1,M4,0.0,8
potato,26,2,B1_Naive,0.0,7
potato,26,3,M3,0.0,6
potato,26,4,M2,0.0,5
potato,26,5,M5,0.0,4
potato,26,6,M6,0.0,3
potato,26,7,M0,0.466,2
potato,26,8,M1,1.0,1
