crop,horizon_weeks,model,in_mcs_10pct,in_mcs_25pct
tomato,1,B1_Naive,True,True
tomato,1,M0,False,False
tomato,1,M1,False,False
tomato,1,M2,False,False
tomato,1,M3,False,False
tomato,1,M4,False,False
tomato,1,M5,False,False
tomato,1,M6,False,False
tomato,4,B1_Naive,True,True
tomato,4,M0,True,True
tomato,4,M1,True,True
tomato,4,M2,True,True
tomato,4,M3,True,False
tomato,4,M4,True,False
tomato,4,M5,True,True
tomato,4,M6,True,True
tomato,13,B1_Naive,False,False
tomato,13,M0,True,True
tomato,13,M1,True,True
tomato,13,M2,True,True
tomato,13,M3,True,False
tomato,13,M4,True,True
tomato,13,M5,True,True
tomato,13,M6,True,True
tomato,26,B1_Naive,False,False
tomato,26,M0,True,False
tomato,26,M1,True,False
tomato,26,M2,False,False
tomato,26,M3,False,False
tomato,26,M4,True,True
tomato,26,M5,True,True
tomato,26,M6,True,True
onion,1,B1_Naive,True,True
onion,1,M0,False,False
onion,1,M1,False,False
onion,1,M2,False,False
onion,1,M3,False,False
onion,1,M4,False,False
onion,1,M5,False,False
onion,1,M6,False,False
onion,4,B1_Naive,True,True
onion,4,M0,True,True
onion,4,M1,True,True
onion,4,M2,True,True
onion,4,M3,True,True
onion,4,M4,True,True
onion,4,M5,True,True
onion,4,M6,True,True
onion,13,B1_Naive,True,False
onion,13,M0,True,False
onion,13,M1,True,True
onion,13,M2,True,False
onion,13,M3,True,False
onion,13,M4,True,False
onion,13,M5,True,False
onion,13,M6,True,False
onion,26,B1_Naive,False,False
onion,26,M0,True,True
onion,26,M1,True,True
onion,26,M2,True,True
onion,26,M3,True,True
onion,26,M4,True,True
onion,26,M5,True,False
onion,26,M6,False,False
potato,1,B1_Naive,True,True
potato,1,M0,False,False
potato,1,M1,False,False
potato,1,M2,False,False
potato,1,M3,False,False
potato,1,M4,False,False
potato,1,M5,False,False
potato,1,M6,False,False
potato,4,B1_Naive,True,True
potato,4,M0,True,True
potato,4,M1,True,True
potato,4,M2,False,False
potato,4,M3,True,True
potato,4,M4,True,True
potato,4,M5,True,True
potato,4,M6,True,True
potato,13,B1_Naive,True,True
potato,13,M0,True,True
potato,13,M1,True,True
potato,13,M2,False,False
potato,13,M3,False,False
potato,13,M4,True,False
potato,13,M5,True,True
potato,13,M6,False,False
potato,26,B1_Naive,False,False
potato,26,M0,True,True
potato,26,M1,True,True
potato,26,M2,False,False
potato,26,M3,False,False
potato,26,M4,False,False
potato,26,M5,False,False
potato,26,M6,False,False
