crop,feature,reference,pearson_r,n
tomato,oni_anom,year_trend,0.048,303953
tomato,oni_anom,wpi_fruits_vegetables,-0.064,303953
tomato,oni_anom,wpi_vegetables_total,-0.099,303953
tomato,oni_anom,wpi_potato,-0.226,303953
tomato,oni_anom,wpi_onion,-0.054,303953
tomato,oni_anom,wpi_tomato,-0.075,303953
tomato,oni_anom,diesel_4city_rs_litre,-0.063,303953
tomato,oni_anom,crude_oil_usd_bbl,0.126,303953
tomato,oni_anom,agri_wages_rs_day,0.062,303953
tomato,oni_anom,price_lag_52,-0.02,249501
tomato,oni_anom,sin_week,-0.007,303953
tomato,oni_anom,cos_week,-0.172,303953
tomato,oni_lag_3m,year_trend,-0.035,303953
tomato,oni_lag_3m,wpi_fruits_vegetables,0.1,303953
tomato,oni_lag_3m,wpi_vegetables_total,0.152,303953
tomato,oni_lag_3m,wpi_potato,0.099,303953
tomato,oni_lag_3m,wpi_onion,0.142,303953
tomato,oni_lag_3m,wpi_tomato,0.141,303953
tomato,oni_lag_3m,diesel_4city_rs_litre,-0.174,303953
tomato,oni_lag_3m,crude_oil_usd_bbl,-0.131,303953
tomato,oni_lag_3m,agri_wages_rs_day,-0.039,303953
tomato,oni_lag_3m,price_lag_52,-0.01,249501
tomato,oni_lag_3m,sin_week,-0.13,303953
tomato,oni_lag_3m,cos_week,-0.046,303953
tomato,oni_lag_4m,year_trend,-0.019,303953
tomato,oni_lag_4m,wpi_fruits_vegetables,0.158,303953
tomato,oni_lag_4m,wpi_vegetables_total,0.222,303953
tomato,oni_lag_4m,wpi_potato,0.204,303953
tomato,oni_lag_4m,wpi_onion,0.246,303953
tomato,oni_lag_4m,wpi_tomato,0.165,303953
tomato,oni_lag_4m,diesel_4city_rs_litre,-0.175,303953
tomato,oni_lag_4m,crude_oil_usd_bbl,-0.182,303953
tomato,oni_lag_4m,agri_wages_rs_day,-0.038,303953
tomato,oni_lag_4m,price_lag_52,-0.01,249501
tomato,oni_lag_4m,sin_week,-0.118,303953
tomato,oni_lag_4m,cos_week,0.009,303953
onion,oni_anom,year_trend,0.05,176813
onion,oni_anom,wpi_fruits_vegetables,-0.071,176813
onion,oni_anom,wpi_vegetables_total,-0.135,176813
onion,oni_anom,wpi_potato,-0.26,176813
onion,oni_anom,wpi_onion,-0.083,176813
onion,oni_anom,wpi_tomato,-0.109,176813
onion,oni_anom,diesel_4city_rs_litre,-0.017,176813
onion,oni_anom,crude_oil_usd_bbl,0.231,176813
onion,oni_anom,agri_wages_rs_day,0.064,176813
onion,oni_anom,price_lag_52,-0.222,130095
onion,oni_anom,sin_week,-0.044,176813
onion,oni_anom,cos_week,-0.258,176813
onion,oni_lag_3m,year_trend,-0.089,176813
onion,oni_lag_3m,wpi_fruits_vegetables,0.065,176813
onion,oni_lag_3m,wpi_vegetables_total,0.145,176813
onion,oni_lag_3m,wpi_potato,0.101,176813
onion,oni_lag_3m,wpi_onion,0.145,176813
onion,oni_lag_3m,wpi_tomato,0.143,176813
onion,oni_lag_3m,diesel_4city_rs_litre,-0.184,176813
onion,oni_lag_3m,crude_oil_usd_bbl,-0.13,176813
onion,oni_lag_3m,agri_wages_rs_day,-0.09,176813
onion,oni_lag_3m,price_lag_52,-0.168,130095
onion,oni_lag_3m,sin_week,-0.174,176813
onion,oni_lag_3m,cos_week,-0.037,176813
onion,oni_lag_4m,year_trend,-0.085,176813
onion,oni_lag_4m,wpi_fruits_vegetables,0.114,176813
onion,oni_lag_4m,wpi_vegetables_total,0.211,176813
onion,oni_lag_4m,wpi_potato,0.205,176813
onion,oni_lag_4m,wpi_onion,0.253,176813
onion,oni_lag_4m,wpi_tomato,0.167,176813
onion,oni_lag_4m,diesel_4city_rs_litre,-0.2,176813
onion,oni_lag_4m,crude_oil_usd_bbl,-0.201,176813
onion,oni_lag_4m,agri_wages_rs_day,-0.101,176813
onion,oni_lag_4m,price_lag_52,-0.144,130095
onion,oni_lag_4m,sin_week,-0.139,176813
onion,oni_lag_4m,cos_week,0.05,176813
potato,oni_anom,year_trend,0.043,41316
potato,oni_anom,wpi_fruits_vegetables,-0.059,41316
potato,oni_anom,wpi_vegetables_total,-0.083,41316
potato,oni_anom,wpi_potato,-0.213,41316
potato,oni_anom,wpi_onion,-0.042,41316
potato,oni_anom,wpi_tomato,-0.061,41316
potato,oni_anom,diesel_4city_rs_litre,-0.08,41316
potato,oni_anom,crude_oil_usd_bbl,0.079,41316
potato,oni_anom,agri_wages_rs_day,0.057,41316
potato,oni_anom,price_lag_52,-0.14,36198
potato,oni_anom,sin_week,0.003,41316
potato,oni_anom,cos_week,-0.139,41316
potato,oni_lag_3m,year_trend,-0.019,41316
potato,oni_lag_3m,wpi_fruits_vegetables,0.098,41316
potato,oni_lag_3m,wpi_vegetables_total,0.142,41316
potato,oni_lag_3m,wpi_potato,0.076,41316
potato,oni_lag_3m,wpi_onion,0.126,41316
potato,oni_lag_3m,wpi_tomato,0.132,41316
potato,oni_lag_3m,diesel_4city_rs_litre,-0.17,41316
potato,oni_lag_3m,crude_oil_usd_bbl,-0.132,41316
potato,oni_lag_3m,agri_wages_rs_day,-0.02,41316
potato,oni_lag_3m,price_lag_52,-0.127,36198
potato,oni_lag_3m,sin_week,-0.112,41316
potato,oni_lag_3m,cos_week,-0.044,41316
potato,oni_lag_4m,year_trend,-0.0,41316
potato,oni_lag_4m,wpi_fruits_vegetables,0.151,41316
potato,oni_lag_4m,wpi_vegetables_total,0.205,41316
potato,oni_lag_4m,wpi_potato,0.173,41316
potato,oni_lag_4m,wpi_onion,0.226,41316
potato,oni_lag_4m,wpi_tomato,0.152,41316
potato,oni_lag_4m,diesel_4city_rs_litre,-0.169,41316
potato,oni_lag_4m,crude_oil_usd_bbl,-0.175,41316
potato,oni_lag_4m,agri_wages_rs_day,-0.015,41316
potato,oni_lag_4m,price_lag_52,-0.104,36198
potato,oni_lag_4m,sin_week,-0.103,41316
potato,oni_lag_4m,cos_week,0.005,41316
