crop,fold,horizon_weeks,test_year,RMSE,MAE,MAPE,R2,N,fit_sec
tomato,1,1,2022,789.9,509.4,24.25,0.6215,29813,2.1
tomato,1,4,2022,1128.3,747.8,34.87,0.2331,29801,1.6
tomato,1,13,2022,1252.1,804.0,39.13,0.102,29752,1.3
tomato,1,26,2022,1250.3,886.7,65.0,0.2154,29615,2.3
tomato,2,1,2023,1690.7,921.4,36.38,0.4476,28927,1.6
tomato,2,4,2023,2248.3,1286.9,55.82,0.0177,28808,1.4
tomato,2,13,2023,2117.5,1211.8,50.15,0.0884,28396,1.7
tomato,2,26,2023,2048.8,1157.1,38.56,0.0387,27664,5.8
tomato,3,1,2024,991.2,724.4,30.67,0.5734,28195,2.4
tomato,3,4,2024,1397.1,1024.5,40.54,0.1564,26397,1.5
tomato,3,13,2024,1773.6,1324.3,39.48,-0.3072,21078,1.6
tomato,3,26,2024,1901.5,1497.9,39.29,-0.7927,13624,1.5
onion,1,1,2022,460.5,359.2,23.96,0.8026,14759,1.1
onion,1,4,2022,606.6,479.1,34.62,0.651,14753,0.8
onion,1,13,2022,673.3,492.8,35.98,0.5533,14727,2.3
onion,1,26,2022,664.1,464.3,32.65,0.6128,14638,1.0
onion,2,1,2023,650.7,397.9,16.64,0.7923,14716,1.8
onion,2,4,2023,894.8,614.1,25.86,0.6023,14630,2.6
onion,2,13,2023,1177.4,799.3,30.58,0.2765,14332,3.1
onion,2,26,2023,1320.3,977.1,34.5,-0.0114,13854,2.8
onion,3,1,2024,610.6,451.3,16.45,0.8242,13090,1.7
onion,3,4,2024,906.1,705.7,23.01,0.6173,12240,1.8
onion,3,13,2024,1236.6,1020.9,28.88,0.2656,9738,2.6
onion,3,26,2024,2068.7,1790.1,41.03,-1.4712,6223,0.8
potato,1,1,2022,294.6,225.4,14.39,0.7067,4150,1.7
potato,1,4,2022,450.8,371.5,23.17,0.3383,4150,1.6
potato,1,13,2022,615.5,520.5,37.06,-0.0014,4150,0.4
potato,1,26,2022,549.6,447.7,37.2,0.0827,4150,1.4
potato,2,1,2023,151.0,112.0,10.65,0.8463,4188,0.6
potato,2,4,2023,265.4,208.2,18.6,0.5044,4188,0.5
potato,2,13,2023,381.2,308.5,23.1,-0.3327,4188,0.4
potato,2,26,2023,609.6,452.1,27.25,-0.5606,4188,0.4
potato,3,1,2024,264.6,191.0,10.01,0.8386,4263,1.0
potato,3,4,2024,548.7,448.6,20.78,0.2635,4011,1.4
potato,3,13,2024,1012.7,937.2,40.95,-2.6504,3255,0.5
potato,3,26,2024,1038.5,993.0,42.07,-3.7598,2163,1.3
