crop,market,ATT_log_points,ATT_pct
potato,Asansol APMC,-0.3944,-32.6
potato,Bara Bazar (Posta Bazar) APMC,0.2505,28.5
potato,Barasat APMC,-0.6681,-48.7
potato,Bishnupur(Bankura) APMC,-0.128,-12.0
potato,Burdwan APMC,-0.4221,-34.4
potato,Champadanga APMC,0.0003,0.0
potato,Dehradoon APMC,-0.1447,-13.5
potato,Dinhata APMC,0.0685,7.1
potato,English Bazar APMC,-0.4839,-38.4
potato,Gajol APMC,0.3048,35.6
potato,Guskara APMC,0.0597,6.2
potato,Habra APMC,0.2704,31.0
potato,Indus(Bankura Sadar) APMC,-0.2408,-21.4
potato,Islampur APMC,0.75,111.7
potato,Jangipur APMC,0.0677,7.0
potato,Kalipur APMC,-0.1601,-14.8
potato,Kalna APMC,0.4288,53.5
potato,Katwa APMC,0.2522,28.7
potato,Khatra APMC,-0.1123,-10.6
potato,Memari APMC,-0.0144,-1.4
potato,Pandua APMC,-0.7118,-50.9
potato,Pundibari APMC,0.18,19.7
potato,Rishikesh APMC,-1.1562,-68.5
potato,Roorkee APMC,0.3325,39.4
potato,Sainthia APMC,-0.4249,-34.6
potato,Sheoraphuly APMC,1.5808,385.9
potato,Sitarganj APMC,0.0578,6.0
potato,Toofanganj APMC,-0.0402,-3.9
potato,Uluberia APMC,-0.0944,-9.0
potato,Vikasnagar APMC,0.3735,45.3
tomato,Agra APMC,-0.744,-52.5
tomato,Akbarpur APMC,0.74,109.6
tomato,Aligarh APMC,0.2208,24.7
tomato,Amritsar(Amritsar Mewa Mandi) APMC,0.4196,52.1
tomato,"Anand(Veg,Yard,Anand) APMC",0.8636,137.2
tomato,Angamaly Market,-0.0845,-8.1
tomato,Ankleshwar APMC,-0.2006,-18.2
tomato,Asansol APMC,-0.2205,-19.8
tomato,Athirampuzha Market,0.0159,1.6
tomato,Auraiya APMC,-0.1877,-17.1
tomato,Azamgarh APMC,0.4195,52.1
tomato,Badayoun APMC,-0.4182,-34.2
tomato,Bahraich APMC,-0.0637,-6.2
tomato,Ballabhgarh APMC,-0.2717,-23.8
tomato,Banda APMC,-0.1871,-17.1
