episode,unit,role,week_start,weeks_since_ban,dynamic_ATT_pct
2019,onion,treated,2019-05-13,-19.9,9.8
2019,onion,treated,2019-05-20,-18.9,5.69
2019,onion,treated,2019-05-27,-17.9,25.76
2019,onion,treated,2019-06-03,-16.9,0.52
2019,onion,treated,2019-06-10,-15.9,10.72
2019,onion,treated,2019-06-17,-14.9,-0.59
2019,onion,treated,2019-06-24,-13.9,-5.57
2019,onion,treated,2019-07-01,-12.9,-10.87
2019,onion,treated,2019-07-08,-11.9,-13.66
2019,onion,treated,2019-07-15,-10.9,0.91
2019,onion,treated,2019-07-22,-9.9,4.85
2019,onion,treated,2019-07-29,-8.9,-8.14
2019,onion,treated,2019-08-05,-7.9,-6.74
2019,onion,treated,2019-08-12,-6.9,4.63
2019,onion,treated,2019-08-19,-5.9,10.15
2019,onion,treated,2019-08-26,-4.9,-2.6
2019,onion,treated,2019-09-02,-3.9,-8.28
2019,onion,treated,2019-09-09,-2.9,-12.29
2019,onion,treated,2019-09-16,-1.9,-6.17
2019,onion,treated,2019-09-23,-0.9,-15.21
2019,onion,treated,2019-09-30,0.1,-10.61
2019,onion,treated,2019-10-07,1.1,-9.21
2019,onion,treated,2019-10-14,2.1,-1.72
2019,onion,treated,2019-10-21,3.1,-28.48
2019,onion,treated,2019-10-28,4.1,-29.75
2019,onion,treated,2019-11-04,5.1,-31.32
2019,onion,treated,2019-11-11,6.1,-41.13
2019,onion,treated,2019-11-18,7.1,-53.07
2019,onion,treated,2019-11-25,8.1,-61.97
2019,onion,treated,2019-12-02,9.1,-66.01
2019,onion,treated,2019-12-09,10.1,-59.32
2019,onion,treated,2019-12-16,11.1,-50.64
2019,onion,treated,2019-12-23,12.1,-44.88
2019,onion,treated,2019-12-30,13.1,-36.1
2019,onion,treated,2020-01-06,14.1,-25.79
2019,onion,treated,2020-01-13,15.1,-26.09
2019,onion,treated,2020-01-20,16.1,-22.99
2019,onion,treated,2020-01-27,17.1,-18.44
2019,onion,treated,2020-02-03,18.1,-14.74
2019,onion,treated,2020-02-10,19.1,-14.87
2019,onion,treated,2020-02-17,20.1,-17.44
2019,onion,treated,2020-02-24,21.1,4.31
2019,onion,treated,2020-03-02,22.1,-18.4
2019,onion,treated,2020-03-09,23.1,-26.65
2019,onion,treated,2020-03-16,24.1,11.21
2019,onion,treated,2020-03-23,25.1,-4.31
2019,onion,treated,2020-03-30,26.1,-17.88
2019,onion,treated,2020-04-06,27.1,-19.92
2019,onion,treated,2020-04-13,28.1,-31.91
2019,onion,treated,2020-04-20,29.1,-38.08
2019,tomato,placebo,2019-05-13,-19.9,-18.56
2019,tomato,placebo,2019-05-20,-18.9,-20.65
2019,tomato,placebo,2019-05-27,-17.9,-24.41
2019,tomato,placebo,2019-06-03,-16.9,-14.28
2019,tomato,placebo,2019-06-10,-15.9,-9.99
2019,tomato,placebo,2019-06-17,-14.9,-1.16
2019,tomato,placebo,2019-06-24,-13.9,5.63
2019,tomato,placebo,2019-07-01,-12.9,2.0
2019,tomato,placebo,2019-07-08,-11.9,-0.46
2019,tomato,placebo,2019-07-15,-10.9,-7.09
2019,tomato,placebo,2019-07-22,-9.9,-4.14
2019,tomato,placebo,2019-07-29,-8.9,1.14
2019,tomato,placebo,2019-08-05,-7.9,-2.03
2019,tomato,placebo,2019-08-12,-6.9,-0.13
2019,tomato,placebo,2019-08-19,-5.9,-4.76
2019,tomato,placebo,2019-08-26,-4.9,0.82
2019,tomato,placebo,2019-09-02,-3.9,4.71
2019,tomato,placebo,2019-09-09,-2.9,8.66
2019,tomato,placebo,2019-09-16,-1.9,6.02
2019,tomato,placebo,2019-09-23,-0.9,9.05
2019,tomato,placebo,2019-09-30,0.1,-4.79
2019,tomato,placebo,2019-10-07,1.1,-3.02
