role,week_bin,n_episodes,mean_pct,std_pct,min_pct,max_pct
placebo,-20,3,-2.37,5.49,-7.42,3.47
placebo,-19,3,-3.8,4.4,-8.65,-0.05
placebo,-18,3,-5.07,9.53,-13.2,5.41
placebo,-17,3,-2.92,1.42,-4.54,-1.93
placebo,-16,3,-0.99,4.26,-4.77,3.63
placebo,-15,3,-1.06,2.41,-2.67,1.71
placebo,-14,3,3.08,5.84,-3.21,8.33
placebo,-13,3,4.15,8.03,-4.12,11.92
placebo,-12,3,4.3,14.56,-9.06,19.82
placebo,-11,3,0.26,10.76,-6.48,12.67
placebo,-10,3,-1.43,10.38,-7.96,10.54
placebo,-9,3,3.99,12.03,-4.64,17.73
placebo,-8,3,-1.67,12.57,-15.46,9.16
placebo,-7,3,-1.69,8.18,-7.11,7.71
placebo,-6,3,3.06,8.17,-5.82,10.26
placebo,-5,3,3.68,7.3,-3.56,11.04
placebo,-4,3,2.34,15.42,-10.72,19.34
placebo,-3,3,-2.29,7.86,-11.34,2.88
placebo,-2,3,2.42,8.46,-3.38,12.12
placebo,-1,3,-2.11,10.6,-14.11,6.0
placebo,0,3,-0.96,8.73,-7.38,8.98
placebo,1,3,-3.53,7.58,-8.14,5.22
placebo,2,3,2.32,8.56,-5.95,11.14
placebo,3,3,5.85,5.73,-0.59,10.4
placebo,4,3,6.95,10.73,-4.27,17.11
placebo,5,3,7.83,3.85,3.4,10.39
placebo,6,3,5.76,2.24,3.36,7.8
placebo,7,3,6.12,7.51,1.02,14.74
placebo,8,3,16.93,12.36,6.55,30.61
placebo,9,3,15.35,21.77,-4.69,38.51
placebo,10,3,17.59,16.22,2.75,34.91
placebo,11,3,11.43,14.5,2.65,28.17
placebo,12,3,15.58,6.02,9.98,21.95
placebo,13,3,7.1,7.34,-0.58,14.05
placebo,14,3,6.03,5.94,-0.27,11.52
placebo,15,3,6.24,3.76,1.9,8.55
placebo,16,3,3.88,11.38,-2.98,17.02
placebo,17,3,7.65,8.12,-1.25,14.66
placebo,18,3,1.21,6.31,-2.5,8.49
placebo,19,3,0.23,5.51,-3.11,6.6
placebo,20,3,4.06,3.89,0.58,8.27
placebo,21,3,-3.27,8.36,-9.48,6.24
placebo,22,3,1.63,2.74,-0.06,4.79
placebo,23,3,2.26,4.41,-0.56,7.34
placebo,24,3,-3.49,7.41,-11.61,2.93
placebo,25,3,0.75,6.82,-3.42,8.62
placebo,26,3,3.48,5.6,-2.91,7.54
placebo,27,3,-1.38,7.06,-5.96,6.74
placebo,28,3,-2.4,4.93,-5.47,3.28
placebo,29,3,0.23,6.18,-6.83,4.71
placebo,30,1,-9.36,,-9.36,-9.36
treated,-20,3,15.35,35.78,-17.33,53.58
treated,-19,3,39.26,59.86,3.71,108.37
treated,-18,3,31.25,45.03,-10.79,78.77
treated,-17,3,17.22,24.56,0.52,45.42
treated,-16,3,6.43,7.14,-1.81,10.72
treated,-15,3,5.3,7.83,-0.59,14.18
treated,-14,3,3.52,10.3,-5.57,14.71
treated,-13,3,-2.44,9.97,-10.87,8.56
treated,-12,3,-8.01,10.49,-14.47,4.09
treated,-11,3,-0.18,1.27,-1.57,0.91
treated,-10,3,8.63,11.21,-0.21,21.24
treated,-9,3,-2.36,9.69,-8.14,8.83
treated,-8,3,1.33,14.8,-7.67,18.41
treated,-7,3,-0.69,8.63,-10.65,4.63
treated,-6,3,-6.71,16.45,-22.71,10.15
treated,-5,3,-10.01,6.42,-13.94,-2.6
treated,-4,3,-11.13,15.69,-28.05,2.95
treated,-3,3,5.29,15.7,-12.29,17.9
treated,-2,3,-7.0,4.37,-11.73,-3.1
treated,-1,3,-0.66,14.86,-15.21,14.5
treated,0,3,-0.12,12.23,-10.61,13.31
treated,1,3,3.5,14.93,-9.21,19.94
treated,2,3,-2.17,9.45,-11.84,7.05
treated,3,3,-16.22,19.67,-28.48,6.47
treated,4,3,-19.1,25.85,-37.92,10.37
treated,5,3,-15.17,31.75,-35.59,21.41
treated,6,3,-23.71,36.75,-48.52,18.51
treated,7,3,-25.25,32.88,-53.07,11.03
treated,8,3,-31.79,33.03,-61.97,3.49
treated,9,3,-31.98,33.95,-66.01,1.89
treated,10,3,-30.03,25.84,-59.32,-10.47
treated,11,3,-21.96,28.72,-50.64,6.79
treated,12,3,-25.28,25.01,-44.88,2.89
treated,13,3,-12.96,32.48,-36.1,24.17
treated,14,3,-16.66,22.98,-33.67,9.49
treated,15,3,-22.79,15.02,-35.88,-6.39
treated,16,3,-17.98,24.87,-39.96,9.01
treated,17,3,-23.96,12.25,-38.0,-15.45
treated,18,3,-11.69,7.6,-17.3,-3.04
treated,19,3,-9.6,6.0,-14.87,-3.07
treated,20,3,-14.49,13.88,-26.66,0.62
treated,21,3,3.08,26.71,-24.22,29.15
treated,22,3,-14.06,16.96,-28.43,4.65
treated,23,3,-14.83,10.56,-26.65,-6.32
treated,24,3,1.09,9.4,-7.36,11.21
treated,25,3,0.67,9.29,-5.07,11.39
treated,26,3,-9.83,12.89,-17.88,5.04
treated,27,3,4.46,22.79,-19.92,25.23
treated,28,3,-1.52,26.55,-31.91,17.14
treated,29,3,-7.86,28.63,-38.08,18.85
treated,30,1,11.68,,11.68,11.68
