crop,market,ATT_log_points,ATT_pct
potato,Asansol APMC,0.0662,6.8
potato,Balarampur APMC,-0.0169,-1.7
potato,Bara Bazar (Posta Bazar) APMC,-0.0087,-0.9
potato,Barasat APMC,-0.0131,-1.3
potato,Beldanga APMC,-0.0928,-8.9
potato,Bishnupur(Bankura) APMC,0.0009,0.1
potato,Burdwan APMC,0.0046,0.5
potato,Champadanga APMC,0.0072,0.7
potato,Coochbehar APMC,0.0491,5.0
potato,Dehradoon APMC,-0.2337,-20.8
potato,Dinhata APMC,0.0493,5.1
potato,Durgapur APMC,0.0883,9.2
potato,English Bazar APMC,-0.0543,-5.3
potato,Gajol APMC,0.0935,9.8
potato,Gangarampur(Dakshin Dinajpur) APMC,0.0586,6.0
potato,Ghatal APMC,0.09,9.4
potato,Guskara APMC,0.0056,0.6
potato,Habra APMC,-0.0642,-6.2
potato,Haridwar Union APMC,0.0531,5.5
potato,Indus(Bankura Sadar) APMC,0.0055,0.6
potato,Islampur APMC,-0.0306,-3.0
potato,Jangipur APMC,-0.1008,-9.6
potato,Jiaganj APMC,-0.0757,-7.3
potato,Kalipur APMC,0.0269,2.7
potato,Kalna APMC,0.0297,3.0
potato,Kandi APMC,0.0598,6.2
potato,Katwa APMC,0.0033,0.3
potato,Khatra APMC,0.0068,0.7
potato,Mekhliganj APMC,0.0458,4.7
potato,Memari APMC,0.0367,3.7
potato,Nadia APMC,0.024,2.4
potato,Pandua APMC,0.0092,0.9
potato,Pundibari APMC,0.0327,3.3
potato,Purulia APMC,-0.0449,-4.4
potato,Ramkrishanpur(Howrah) APMC,-0.0332,-3.3
potato,Rampurhat APMC,0.0227,2.3
potato,Ranaghat APMC,-0.0596,-5.8
potato,Rishikesh APMC,-0.1568,-14.5
potato,Roorkee APMC,0.0335,3.4
potato,Sainthia APMC,0.0169,1.7
potato,Sheoraphuly APMC,-0.0076,-0.8
potato,Sitarganj APMC,-0.0479,-4.7
potato,Toofanganj APMC,0.0539,5.5
potato,Uluberia APMC,0.0309,3.1
potato,Vikasnagar APMC,-0.3015,-26.0
tomato,APMC Azadpur,0.1455,15.7
tomato,Agra APMC,-0.0108,-1.1
tomato,Akbarpur APMC,0.0408,4.2
tomato,Aligarh APMC,0.0691,7.2
tomato,Aluva Market,-0.0581,-5.6
tomato,Amritsar(Amritsar Mewa Mandi) APMC,0.1465,15.8
tomato,"Anand(Veg,Yard,Anand) APMC",-0.1388,-13.0
tomato,Angamaly Market,0.0042,0.4
tomato,Ankleshwar APMC,-0.0894,-8.6
tomato,Asansol APMC,0.0452,4.6
tomato,Athirampuzha Market,0.0456,4.7
tomato,Attingal Market,-0.0394,-3.9
tomato,Auraiya APMC,0.0672,7.0
tomato,Azamgarh APMC,0.002,0.2
tomato,Badayoun APMC,-0.0527,-5.1
tomato,Bahraich APMC,-0.0227,-2.2
tomato,Balarampur APMC,0.3101,36.4
tomato,Ballabhgarh APMC,-0.0108,-1.1
tomato,Banda APMC,0.039,4.0
tomato,Barabanki APMC,0.0163,1.6
tomato,Barara APMC,-0.0496,-4.8
tomato,Bareilly APMC,-0.1515,-14.1
tomato,Baripada APMC,-0.0409,-4.0
tomato,Barnala APMC,0.0341,3.5
tomato,Barwala APMC,-0.0395,-3.9
tomato,Bassi Pathana APMC,-0.0879,-8.4
tomato,Bharthna APMC,0.0053,0.5
tomato,Bhawanigarh APMC,0.0523,5.4
tomato,"Binny Mill (F&V), Bengaluru APMC",0.0048,0.5
tomato,Bishalgarh APMC,0.0697,7.2
tomato,Buland Shahr APMC,-0.0166,-1.6
tomato,Burdwan APMC,-0.0872,-8.3
tomato,Champaknagar APMC,0.0049,0.5
tomato,Chattrapati Sambhajinagar APMC,-0.0089,-0.9
tomato,Chavakkad Market,-0.0944,-9.0
tomato,Chelakkara Market,0.0298,3.0
tomato,Chengannur Market,0.0824,8.6
tomato,Chickkaballapura APMC,0.0053,0.5
tomato,Chikkamagaluru APMC,-0.0288,-2.8
tomato,Chintamani APMC,-0.0532,-5.2
tomato,Chomu FV APMC,-0.0279,-2.8
tomato,Choubepur APMC,0.0149,1.5
tomato,Dadri APMC,-0.0435,-4.3
tomato,Dahod(Veg. Market) APMC,0.0318,3.2
