episode,unit,role,week_start,weeks_since_ban,dynamic_ATT_pct
2019,onion,treated,2019-05-13,-19.9,-17.81
2019,onion,treated,2019-05-20,-18.9,-12.74
2019,onion,treated,2019-05-27,-17.9,-9.93
2019,onion,treated,2019-06-03,-16.9,-6.53
2019,onion,treated,2019-06-10,-15.9,-3.7
2019,onion,treated,2019-06-17,-14.9,-5.26
2019,onion,treated,2019-06-24,-13.9,-2.88
2019,onion,treated,2019-07-01,-12.9,-1.28
2019,onion,treated,2019-07-08,-11.9,-2.51
2019,onion,treated,2019-07-15,-10.9,-11.93
2019,onion,treated,2019-07-22,-9.9,-18.95
2019,onion,treated,2019-07-29,-8.9,-20.41
2019,onion,treated,2019-08-05,-7.9,-15.73
2019,onion,treated,2019-08-12,-6.9,-3.05
2019,onion,treated,2019-08-19,-5.9,11.84
2019,onion,treated,2019-08-26,-4.9,23.57
2019,onion,treated,2019-09-02,-3.9,36.61
2019,onion,treated,2019-09-09,-2.9,48.71
2019,onion,treated,2019-09-16,-1.9,71.96
2019,onion,treated,2019-09-23,-0.9,93.7
2019,onion,treated,2019-09-30,0.1,68.66
2019,onion,treated,2019-10-07,1.1,45.11
2019,onion,treated,2019-10-14,2.1,29.67
2019,onion,treated,2019-10-21,3.1,36.63
2019,onion,treated,2019-10-28,4.1,47.41
2019,onion,treated,2019-11-04,5.1,67.9
2019,onion,treated,2019-11-11,6.1,80.69
2019,onion,treated,2019-11-18,7.1,114.53
2019,onion,treated,2019-11-25,8.1,149.88
2019,onion,treated,2019-12-02,9.1,154.26
2019,onion,treated,2019-12-09,10.1,123.41
2019,onion,treated,2019-12-16,11.1,105.1
2019,onion,treated,2019-12-23,12.1,103.22
2019,onion,treated,2019-12-30,13.1,157.41
2019,onion,treated,2020-01-06,14.1,114.79
2019,onion,treated,2020-01-13,15.1,108.38
2019,onion,treated,2020-01-20,16.1,121.08
2019,onion,treated,2020-01-27,17.1,85.47
2019,onion,treated,2020-02-03,18.1,60.5
2019,onion,treated,2020-02-10,19.1,45.07
2019,onion,treated,2020-02-17,20.1,43.42
2019,onion,treated,2020-02-24,21.1,39.73
2019,onion,treated,2020-03-02,22.1,38.97
2019,onion,treated,2020-03-09,23.1,37.65
2019,onion,treated,2020-03-16,24.1,30.17
2019,onion,treated,2020-03-23,25.1,15.32
2019,onion,treated,2020-03-30,26.1,18.28
2019,onion,treated,2020-04-06,27.1,-8.4
2019,onion,treated,2020-04-13,28.1,-21.39
2019,onion,treated,2020-04-20,29.1,-24.33
2019,tomato,placebo,2019-05-13,-19.9,77.13
2019,tomato,placebo,2019-05-20,-18.9,72.86
2019,tomato,placebo,2019-05-27,-17.9,73.12
2019,tomato,placebo,2019-06-03,-16.9,60.88
2019,tomato,placebo,2019-06-10,-15.9,53.17
2019,tomato,placebo,2019-06-17,-14.9,42.96
2019,tomato,placebo,2019-06-24,-13.9,31.11
2019,tomato,placebo,2019-07-01,-12.9,22.26
2019,tomato,placebo,2019-07-08,-11.9,38.68
2019,tomato,placebo,2019-07-15,-10.9,61.44
2019,tomato,placebo,2019-07-22,-9.9,72.84
2019,tomato,placebo,2019-07-29,-8.9,68.65
2019,tomato,placebo,2019-08-05,-7.9,59.92
2019,tomato,placebo,2019-08-12,-6.9,32.73
2019,tomato,placebo,2019-08-19,-5.9,23.79
2019,tomato,placebo,2019-08-26,-4.9,-0.06
2019,tomato,placebo,2019-09-02,-3.9,-5.13
2019,tomato,placebo,2019-09-09,-2.9,-18.45
2019,tomato,placebo,2019-09-16,-1.9,-20.77
2019,tomato,placebo,2019-09-23,-0.9,-12.48
2019,tomato,placebo,2019-09-30,0.1,13.97
2019,tomato,placebo,2019-10-07,1.1,26.3
2019,tomato,placebo,2019-10-14,2.1,32.6
2019,tomato,placebo,2019-10-21,3.1,28.41
2019,tomato,placebo,2019-10-28,4.1,16.26
2019,tomato,placebo,2019-11-04,5.1,3.76
2019,tomato,placebo,2019-11-11,6.1,-6.12
2019,tomato,placebo,2019-11-18,7.1,-29.87
2019,tomato,placebo,2019-11-25,8.1,-46.98
2019,tomato,placebo,2019-12-02,9.1,-54.87
2019,tomato,placebo,2019-12-09,10.1,-58.74
2019,tomato,placebo,2019-12-16,11.1,-65.7
2019,tomato,placebo,2019-12-23,12.1,-62.64
2019,tomato,placebo,2019-12-30,13.1,-51.94
2019,tomato,placebo,2020-01-06,14.1,-48.61
2019,tomato,placebo,2020-01-13,15.1,-50.21
2019,tomato,placebo,2020-01-20,16.1,-56.21
2019,tomato,placebo,2020-01-27,17.1,-48.54
2019,tomato,placebo,2020-02-03,18.1,-42.62
2019,tomato,placebo,2020-02-10,19.1,-42.13
2019,tomato,placebo,2020-02-17,20.1,-39.73
2019,tomato,placebo,2020-02-24,21.1,-42.87
2019,tomato,placebo,2020-03-02,22.1,-46.96
2019,tomato,placebo,2020-03-09,23.1,-48.77
2019,tomato,placebo,2020-03-16,24.1,-45.87
2019,tomato,placebo,2020-03-23,25.1,-47.63
2019,tomato,placebo,2020-03-30,26.1,-48.93
2019,tomato,placebo,2020-04-06,27.1,-38.01
2019,tomato,placebo,2020-04-13,28.1,-34.49
2019,tomato,placebo,2020-04-20,29.1,-33.02
2019,potato,placebo,2019-05-13,-19.9,24.08
2019,potato,placebo,2019-05-20,-18.9,22.32
2019,potato,placebo,2019-05-27,-17.9,22.56
2019,potato,placebo,2019-06-03,-16.9,18.8
2019,potato,placebo,2019-06-10,-15.9,18.9
2019,potato,placebo,2019-06-17,-14.9,23.92
2019,potato,placebo,2019-06-24,-13.9,37.92
2019,potato,placebo,2019-07-01,-12.9,32.93
2019,potato,placebo,2019-07-08,-11.9,25.51
2019,potato,placebo,2019-07-15,-10.9,18.07
2019,potato,placebo,2019-07-22,-9.9,14.05
2019,potato,placebo,2019-07-29,-8.9,21.65
2019,potato,placebo,2019-08-05,-7.9,23.55
2019,potato,placebo,2019-08-12,-6.9,24.81
2019,potato,placebo,2019-08-19,-5.9,25.48
2019,potato,placebo,2019-08-26,-4.9,31.57
2019,potato,placebo,2019-09-02,-3.9,29.47
2019,potato,placebo,2019-09-09,-2.9,35.42
2019,potato,placebo,2019-09-16,-1.9,30.36
2019,potato,placebo,2019-09-23,-0.9,11.14
2019,potato,placebo,2019-09-30,0.1,3.0
2019,potato,placebo,2019-10-07,1.1,5.8
2019,potato,placebo,2019-10-14,2.1,14.46
2019,potato,placebo,2019-10-21,3.1,28.23
2019,potato,placebo,2019-10-28,4.1,22.21
2019,potato,placebo,2019-11-04,5.1,22.34
2019,potato,placebo,2019-11-11,6.1,32.1
2019,potato,placebo,2019-11-18,7.1,31.0
2019,potato,placebo,2019-11-25,8.1,26.94
2019,potato,placebo,2019-12-02,9.1,39.63
2019,potato,placebo,2019-12-09,10.1,66.55
2019,potato,placebo,2019-12-16,11.1,119.13
2019,potato,placebo,2019-12-23,12.1,129.0
2019,potato,placebo,2019-12-30,13.1,73.63
2019,potato,placebo,2020-01-06,14.1,65.54
2019,potato,placebo,2020-01-13,15.1,72.77
2019,potato,placebo,2020-01-20,16.1,78.46
2019,potato,placebo,2020-01-27,17.1,86.32
2019,potato,placebo,2020-02-03,18.1,108.62
2019,potato,placebo,2020-02-10,19.1,94.6
2019,potato,placebo,2020-02-17,20.1,113.75
2019,potato,placebo,2020-02-24,21.1,115.29
2019,potato,placebo,2020-03-02,22.1,105.45
2019,potato,placebo,2020-03-09,23.1,101.24
2019,potato,placebo,2020-03-16,24.1,122.45
2019,potato,placebo,2020-03-23,25.1,119.1
2019,potato,placebo,2020-03-30,26.1,81.77
2019,potato,placebo,2020-04-06,27.1,107.9
2019,potato,placebo,2020-04-13,28.1,134.24
2019,potato,placebo,2020-04-20,29.1,159.73
2020,onion,treated,2020-04-27,-20.0,-21.46
2020,onion,treated,2020-05-04,-19.0,-26.1
2020,onion,treated,2020-05-11,-18.0,-21.51
2020,onion,treated,2020-05-18,-17.0,-13.45
2020,onion,treated,2020-05-25,-16.0,-9.9
2020,onion,treated,2020-06-01,-15.0,-4.31
2020,onion,treated,2020-06-08,-14.0,-2.7
2020,onion,treated,2020-06-15,-13.0,-9.58
2020,onion,treated,2020-06-22,-12.0,-23.38
2020,onion,treated,2020-06-29,-11.0,-35.18
2020,onion,treated,2020-07-06,-10.0,-45.6
2020,onion,treated,2020-07-13,-9.0,-52.52
2020,onion,treated,2020-07-20,-8.0,-55.36
2020,onion,treated,2020-07-27,-7.0,-59.05
2020,onion,treated,2020-08-03,-6.0,-59.61
2020,onion,treated,2020-08-10,-5.0,-59.01
2020,onion,treated,2020-08-17,-4.0,-50.6
2020,onion,treated,2020-08-24,-3.0,-51.11
2020,onion,treated,2020-08-31,-2.0,-49.15
2020,onion,treated,2020-09-07,-1.0,-43.66
2020,onion,treated,2020-09-14,0.0,-31.69
2020,onion,treated,2020-09-21,1.0,-20.05
2020,onion,treated,2020-09-28,2.0,-18.98
2020,onion,treated,2020-10-05,3.0,-8.74
2020,onion,treated,2020-10-12,4.0,11.86
2020,onion,treated,2020-10-19,5.0,37.65
2020,onion,treated,2020-10-26,6.0,42.96
2020,onion,treated,2020-11-02,7.0,29.84
2020,onion,treated,2020-11-09,8.0,21.37
2020,onion,treated,2020-11-16,9.0,31.77
2020,onion,treated,2020-11-23,10.0,29.7
2020,onion,treated,2020-11-30,11.0,11.45
2020,onion,treated,2020-12-07,12.0,5.77
2020,onion,treated,2020-12-14,13.0,13.76
2020,onion,treated,2020-12-21,14.0,9.11
2020,onion,treated,2020-12-28,15.0,10.28
2020,onion,treated,2021-01-04,16.0,33.04
2020,onion,treated,2021-01-11,17.0,75.57
2020,onion,treated,2021-01-18,18.0,90.06
2020,onion,treated,2021-01-25,19.0,105.93
2020,onion,treated,2021-02-01,20.0,121.48
2020,onion,treated,2021-02-08,21.0,145.35
2020,onion,treated,2021-02-15,22.0,172.56
2020,onion,treated,2021-02-22,23.0,176.46
2020,onion,treated,2021-03-01,24.0,117.33
2020,onion,treated,2021-03-08,25.0,80.94
2020,onion,treated,2021-03-15,26.0,55.61
2020,onion,treated,2021-03-22,27.0,28.79
2020,onion,treated,2021-03-29,28.0,24.7
2020,onion,treated,2021-04-05,29.0,13.33
2020,onion,treated,2021-04-12,30.0,2.53
2020,tomato,placebo,2020-04-27,-20.0,-38.77
2020,tomato,placebo,2020-05-04,-19.0,-33.25
2020,tomato,placebo,2020-05-11,-18.0,-34.8
2020,tomato,placebo,2020-05-18,-17.0,-39.2
2020,tomato,placebo,2020-05-25,-16.0,-39.17
2020,tomato,placebo,2020-06-01,-15.0,-38.1
2020,tomato,placebo,2020-06-08,-14.0,-33.55
2020,tomato,placebo,2020-06-15,-13.0,-17.82
2020,tomato,placebo,2020-06-22,-12.0,8.21
2020,tomato,placebo,2020-06-29,-11.0,58.81
2020,tomato,placebo,2020-07-06,-10.0,75.76
2020,tomato,placebo,2020-07-13,-9.0,91.39
2020,tomato,placebo,2020-07-20,-8.0,78.08
2020,tomato,placebo,2020-07-27,-7.0,70.78
2020,tomato,placebo,2020-08-03,-6.0,64.21
2020,tomato,placebo,2020-08-10,-5.0,48.87
2020,tomato,placebo,2020-08-17,-4.0,45.18
2020,tomato,placebo,2020-08-24,-3.0,48.32
2020,tomato,placebo,2020-08-31,-2.0,42.47
2020,tomato,placebo,2020-09-07,-1.0,37.33
2020,tomato,placebo,2020-09-14,0.0,32.13
2020,tomato,placebo,2020-09-21,1.0,9.74
2020,tomato,placebo,2020-09-28,2.0,-2.12
2020,tomato,placebo,2020-10-05,3.0,-10.43
2020,tomato,placebo,2020-10-12,4.0,-21.69
2020,tomato,placebo,2020-10-19,5.0,-38.27
2020,tomato,placebo,2020-10-26,6.0,-38.99
2020,tomato,placebo,2020-11-02,7.0,-39.67
2020,tomato,placebo,2020-11-09,8.0,-39.16
2020,tomato,placebo,2020-11-16,9.0,-39.24
2020,tomato,placebo,2020-11-23,10.0,-41.6
2020,tomato,placebo,2020-11-30,11.0,-32.56
2020,tomato,placebo,2020-12-07,12.0,-22.7
2020,tomato,placebo,2020-12-14,13.0,-28.73
2020,tomato,placebo,2020-12-21,14.0,-27.75
2020,tomato,placebo,2020-12-28,15.0,-19.9
2020,tomato,placebo,2021-01-04,16.0,-31.75
2020,tomato,placebo,2021-01-11,17.0,-45.28
2020,tomato,placebo,2021-01-18,18.0,-50.73
2020,tomato,placebo,2021-01-25,19.0,-48.67
2020,tomato,placebo,2021-02-01,20.0,-54.23
2020,tomato,placebo,2021-02-08,21.0,-48.5
2020,tomato,placebo,2021-02-15,22.0,-48.72
2020,tomato,placebo,2021-02-22,23.0,-55.51
2020,tomato,placebo,2021-03-01,24.0,-50.48
2020,tomato,placebo,2021-03-08,25.0,-42.82
2020,tomato,placebo,2021-03-15,26.0,-39.97
2020,tomato,placebo,2021-03-22,27.0,-29.5
2020,tomato,placebo,2021-03-29,28.0,-26.61
2020,tomato,placebo,2021-04-05,29.0,-24.36
2020,tomato,placebo,2021-04-12,30.0,-25.45
2020,potato,placebo,2020-04-27,-20.0,85.4
2020,potato,placebo,2020-05-04,-19.0,94.66
2020,potato,placebo,2020-05-11,-18.0,104.0
2020,potato,placebo,2020-05-18,-17.0,135.02
2020,potato,placebo,2020-05-25,-16.0,139.42
2020,potato,placebo,2020-06-01,-15.0,140.11
2020,potato,placebo,2020-06-08,-14.0,141.7
2020,potato,placebo,2020-06-15,-13.0,124.25
2020,potato,placebo,2020-06-22,-12.0,97.14
2020,potato,placebo,2020-06-29,-11.0,72.74
2020,potato,placebo,2020-07-06,-10.0,74.29
2020,potato,placebo,2020-07-13,-9.0,79.43
2020,potato,placebo,2020-07-20,-8.0,83.31
2020,potato,placebo,2020-07-27,-7.0,82.47
2020,potato,placebo,2020-08-03,-6.0,88.56
2020,potato,placebo,2020-08-10,-5.0,86.79
2020,potato,placebo,2020-08-17,-4.0,80.33
2020,potato,placebo,2020-08-24,-3.0,66.65
2020,potato,placebo,2020-08-31,-2.0,62.21
2020,potato,placebo,2020-09-07,-1.0,65.79
2020,potato,placebo,2020-09-14,0.0,68.91
2020,potato,placebo,2020-09-21,1.0,65.47
2020,potato,placebo,2020-09-28,2.0,67.59
2020,potato,placebo,2020-10-05,3.0,71.69
2020,potato,placebo,2020-10-12,4.0,82.84
2020,potato,placebo,2020-10-19,5.0,59.37
2020,potato,placebo,2020-10-26,6.0,51.24
2020,potato,placebo,2020-11-02,7.0,63.38
2020,potato,placebo,2020-11-09,8.0,78.62
2020,potato,placebo,2020-11-16,9.0,102.9
2020,potato,placebo,2020-11-23,10.0,98.13
2020,potato,placebo,2020-11-30,11.0,93.05
2020,potato,placebo,2020-12-07,12.0,42.13
2020,potato,placebo,2020-12-14,13.0,34.0
2020,potato,placebo,2020-12-21,14.0,30.1
2020,potato,placebo,2020-12-28,15.0,27.97
2020,potato,placebo,2021-01-04,16.0,18.6
2020,potato,placebo,2021-01-11,17.0,-8.75
2020,potato,placebo,2021-01-18,18.0,-13.71
2020,potato,placebo,2021-01-25,19.0,-20.44
2020,potato,placebo,2021-02-01,20.0,-24.8
2020,potato,placebo,2021-02-08,21.0,-30.78
2020,potato,placebo,2021-02-15,22.0,-40.5
2020,potato,placebo,2021-02-22,23.0,-30.01
2020,potato,placebo,2021-03-01,24.0,-21.08
