donor_market,weight
tomato__Rayya APMC,0.12844354865552668
tomato__Pehowa APMC,0.11139439366403776
tomato__Vikasnagar APMC,0.11096525820206633
tomato__Champaknagar APMC,0.07449690299651734
tomato__Roorkee APMC,0.07160082789244439
potato__Gangarampur(Dakshin Dinajpur) APMC,0.06575019750533179
tomato__Barara APMC,0.06481022300504864
potato__Islampur APMC,0.04900814420861066
potato__Vikasnagar APMC,0.04899310924325392
potato__Mekhliganj APMC,0.040432631557819745
tomato__Sadhaura APMC,0.03966247633083052
tomato__Chelakkara Market,0.034314887820003435
tomato__SMY Bhuntar,0.03311290168161213
potato__Toofanganj APMC,0.027054937430271517
potato__Gajol APMC,0.02668463343894932
tomato__Gohana APMC,0.02242826072510879
tomato__Rajpura APMC,0.015445186165341416
potato__Sitarganj APMC,0.011998104455442294
tomato__Panisagar APMC,0.010378826623753591
potato__Roorkee APMC,0.003972878702833838
potato__Pundibari APMC,0.003534979331541038
potato__Dinhata APMC,0.0033810449212031404
potato__Jiaganj APMC,0.0010917701995228242
