layer,mean_abs_shap,pct_of_total,crop,horizon_weeks
Arrivals,0.004756190787404558,0.7487806155800308,tomato,1
Climate,0.04486332790232369,7.0629610512328105,tomato,1
Infrastructure,0.026858268566955397,4.228373454705999,tomato,1
Macro,0.06422354448448767,10.110894899585896,tomato,1
Policy,2.7749738289245804e-05,0.004368720063423903,tomato,1
Price,0.4703343187737538,74.04606679624138,tomato,1
Satellite,0.024128094884550665,3.7985544625904644,tomato,1
Arrivals,0.015160865463695826,1.6190390682517048,tomato,4
Climate,0.09367027765134149,10.00311225072613,tomato,4
Infrastructure,0.09110214654432192,9.72885979432028,tomato,4
Macro,0.1435008991298065,15.324557992863216,tomato,4
Policy,0.0002120214303832035,0.022641911830100427,tomato,4
Price,0.5231900903405602,55.87182330796921,tomato,4
Satellite,0.06957504126545035,7.42996567403935,tomato,4
Arrivals,0.019625826953376373,1.7773590506747887,tomato,13
Climate,0.07511384106492558,6.8024784670143745,tomato,13
Infrastructure,0.19221563823076168,17.407480719272368,tomato,13
Macro,0.22456054623956517,20.336708370635115,tomato,13
Policy,0.0005942777336292969,0.053819128793389195,tomato,13
Price,0.5270904841800216,47.73450029940004,tomato,13
Satellite,0.06501223138851707,5.887653964209925,tomato,13
Arrivals,0.01612034420976009,1.4723949579466973,tomato,26
Climate,0.19097822789926205,17.443509653237957,tomato,26
Infrastructure,0.14578900911855605,13.316030920744321,tomato,26
Macro,0.28810322920318504,26.31468264741504,tomato,26
Policy,0.0009700045599859421,0.08859797314029323,tomato,26
Price,0.36686147993896184,33.50827912222539,tomato,26
Satellite,0.08601602428325568,7.856504725290305,tomato,26
Arrivals,0.003683325892370163,0.664915923099283,onion,1
Climate,0.03514064661492308,6.343607968729559,onion,1
Infrastructure,0.019427125926945905,3.506994967683705,onion,1
Macro,0.04960027323435806,8.953867354478843,onion,1
Policy,3.2643067668795154e-05,0.005892743706645662,onion,1
Price,0.4283796491230852,77.33131907324534,onion,1
Satellite,0.01768996612766618,3.193401969056647,onion,1
Arrivals,0.0026129699315516146,0.5040267499200899,onion,4
Climate,0.04957131852577152,9.56201993145845,onion,4
Infrastructure,0.03553487439817757,6.854471241885494,onion,4
Macro,0.0685533661289363,13.223546857093714,onion,4
Policy,0.0,0.0,onion,4
Price,0.3318297465900779,64.00803418403218,onion,4
Satellite,0.030316624209253212,5.84790103561005,onion,4
Arrivals,0.005651109387578711,1.0812309851633952,onion,13
Climate,0.0985893981522622,18.863183276038104,onion,13
Infrastructure,0.16054585059053286,30.717357653604495,onion,13
Macro,0.1035197192219891,19.806505293323763,onion,13
Policy,0.0,0.0,onion,13
Price,0.10663953964464833,20.40342286786925,onion,13
Satellite,0.04770952932444914,9.128299924000993,onion,13
Arrivals,0.009441890147888463,1.4645078355604235,onion,26
Climate,0.039543740845339626,6.133530194515323,onion,26
Infrastructure,0.23772517990375222,36.872954803113764,onion,26
Macro,0.1346685852770582,20.88810558616749,onion,26
Policy,0.0,0.0,onion,26
Price,0.15938706987841816,24.722127568510405,onion,26
Satellite,0.06394774568648796,9.918774012132598,onion,26
Arrivals,0.0033814712791169627,0.6689962214861775,potato,1
Climate,0.036720079878535705,7.264765146201704,potato,1
Infrastructure,0.014306839236613788,2.830490221760583,potato,1
Macro,0.033355835442194094,6.599177113569893,potato,1
Policy,0.0,0.0,potato,1
Price,0.3924776753511975,77.64847315107059,potato,1
Satellite,0.025212564848788678,4.988098145911067,potato,1
Arrivals,0.0038287586439556777,0.6330122747196424,potato,4
Climate,0.06029325764714413,9.96834110547241,potato,4
Infrastructure,0.03549309677185175,5.868107136986294,potato,4
Macro,0.062291023758898,10.298633659367267,potato,4
Policy,0.0,0.0,potato,4
Price,0.3929147481358344,64.96096558110418,potato,4
Satellite,0.050026571697309556,8.270940242350203,potato,4
Arrivals,0.00018557427140728235,0.2335602387148413,potato,13
Climate,0.003182101728998915,4.004932546973375,potato,13
Infrastructure,0.024553611388186937,30.902707005920337,potato,13
Macro,0.015569569042001958,19.595562652951244,potato,13
Policy,0.0,0.0,potato,13
Price,0.03272873808666272,41.19176555234741,potato,13
Satellite,0.003234970364333176,4.071472003092794,potato,13
Arrivals,0.00030157178697943837,0.37152346770627387,potato,26
Climate,0.010015825557176457,12.339066197850368,potato,26
Infrastructure,0.004709996313394338,5.802512830403925,potato,26
Macro,0.03614230568208694,44.52576573028242,potato,26
Policy,0.0,0.0,potato,26
Price,0.02492635207788386,30.708193408935525,potato,26
Satellite,0.005075614222147446,6.252938364821481,potato,26
