variant,crop,horizon_weeks,feature,mean_abs_shap,mean_signed_shap,shap_rank_of_total,n_features_total,split_count
M7,tomato,1,trigger1,5.1e-05,-1e-05,75,82,5
M7,tomato,1,trigger1_missing,0.000211,0.000155,73,82,17
M7,tomato,1,cdi,0.000302,3.2e-05,72,82,104
M7,tomato,1,cdi_missing,2.4e-05,1e-06,77,82,1
M7,tomato,4,trigger1,0.001249,9.4e-05,69,82,23
M7,tomato,4,trigger1_missing,0.000333,6.4e-05,75,82,10
M7,tomato,4,cdi,0.002107,7.1e-05,61,82,392
M7,tomato,4,cdi_missing,6.9e-05,2.4e-05,77,82,5
M7,tomato,13,trigger1,0.00012,-3.5e-05,78,82,26
M7,tomato,13,trigger1_missing,0.00217,0.000373,66,82,27
M7,tomato,13,cdi,0.002739,0.000214,61,82,1404
M7,tomato,13,cdi_missing,0.001725,-0.000388,70,82,52
M7,tomato,26,trigger1,0.0,0.0,76,82,0
M7,tomato,26,trigger1_missing,0.0,0.0,76,82,0
M7,tomato,26,cdi,0.0,0.0,76,82,0
M7,tomato,26,cdi_missing,0.0,0.0,76,82,0
M7,onion,1,trigger1,0.000111,2e-05,74,82,4
M7,onion,1,trigger1_missing,0.000154,-5.9e-05,72,82,3
M7,onion,1,cdi,5.1e-05,-6e-06,77,82,6
M7,onion,1,cdi_missing,0.0,0.0,80,82,0
M7,onion,4,trigger1,0.0,0.0,81,82,0
M7,onion,4,trigger1_missing,4.3e-05,-6e-06,77,82,1
M7,onion,4,cdi,3.7e-05,2e-06,78,82,2
M7,onion,4,cdi_missing,0.0,0.0,81,82,0
M7,onion,13,trigger1,0.000505,-4.6e-05,75,82,15
M7,onion,13,trigger1_missing,8.7e-05,1e-05,78,82,6
M7,onion,13,cdi,0.000886,-1.9e-05,74,82,194
M7,onion,13,cdi_missing,0.00023,-5.4e-05,77,82,15
M7,onion,26,trigger1,0.000126,-4e-06,75,82,2
M7,onion,26,trigger1_missing,0.000258,-6.3e-05,73,82,2
M7,onion,26,cdi,0.000177,4.3e-05,74,82,4
M7,onion,26,cdi_missing,0.000485,-4.2e-05,68,82,6
M7,potato,1,trigger1,0.0,0.0,79,82,0
M7,potato,1,trigger1_missing,1.6e-05,8e-06,75,82,1
M7,potato,1,cdi,0.001649,0.000217,37,82,127
M7,potato,1,cdi_missing,8.8e-05,1e-06,72,82,4
M7,potato,4,trigger1,0.0,0.0,79,82,0
M7,potato,4,trigger1_missing,8.1e-05,1.4e-05,74,82,2
M7,potato,4,cdi,0.004117,-0.000349,30,82,456
M7,potato,4,cdi_missing,0.000366,5.2e-05,72,82,14
M7,potato,13,trigger1,8.9e-05,-2e-05,75,82,5
M7,potato,13,trigger1_missing,3.1e-05,-1e-06,76,82,2
M7,potato,13,cdi,0.006035,-0.000142,29,82,298
M7,potato,13,cdi_missing,0.000609,7.6e-05,69,82,21
M7,potato,26,trigger1,4.6e-05,4e-06,33,82,1
M7,potato,26,trigger1_missing,0.0,0.0,59,82,0
M7,potato,26,cdi,0.000224,-2.1e-05,24,82,5
M7,potato,26,cdi_missing,0.0,0.0,59,82,0
M8,tomato,1,fert_urea_mrp,4.4e-05,2e-05,75,84,1
M8,tomato,1,fert_urea_mrp_missing,2.8e-05,-1e-06,76,84,1
M8,tomato,1,fert_dap_mrp,0.001502,-0.000252,62,84,93
M8,tomato,1,fert_dap_mrp_missing,0.0,0.0,81,84,0
M8,tomato,1,fert_mop_mrp,0.003927,-0.000461,37,84,215
M8,tomato,1,fert_mop_mrp_missing,0.0,0.0,81,84,0
M8,tomato,4,fert_urea_mrp,0.0,0.0,80,84,0
M8,tomato,4,fert_urea_mrp_missing,7.2e-05,-2e-06,76,84,1
M8,tomato,4,fert_dap_mrp,0.001869,0.000171,52,84,46
M8,tomato,4,fert_dap_mrp_missing,0.0,0.0,80,84,0
M8,tomato,4,fert_mop_mrp,0.0121,0.000348,13,84,161
M8,tomato,4,fert_mop_mrp_missing,0.0,0.0,80,84,0
M8,tomato,13,fert_urea_mrp,0.0,0.0,77,84,0
M8,tomato,13,fert_urea_mrp_missing,0.0,0.0,77,84,0
M8,tomato,13,fert_dap_mrp,0.002124,-0.000255,36,84,10
M8,tomato,13,fert_dap_mrp_missing,0.0,0.0,77,84,0
M8,tomato,13,fert_mop_mrp,0.008138,-0.000368,13,84,34
M8,tomato,13,fert_mop_mrp_missing,0.0,0.0,77,84,0
M8,tomato,26,fert_urea_mrp,6.3e-05,6e-06,77,84,1
M8,tomato,26,fert_urea_mrp_missing,3.5e-05,-3e-06,78,84,1
M8,tomato,26,fert_dap_mrp,0.003826,0.000685,43,84,107
M8,tomato,26,fert_dap_mrp_missing,0.0,0.0,81,84,0
M8,tomato,26,fert_mop_mrp,0.047529,-0.000717,6,84,256
M8,tomato,26,fert_mop_mrp_missing,0.0,0.0,81,84,0
M8,onion,1,fert_urea_mrp,0.000933,5.6e-05,54,84,24
M8,onion,1,fert_urea_mrp_missing,0.000248,2.8e-05,70,84,7
M8,onion,1,fert_dap_mrp,0.001931,7e-06,34,84,93
M8,onion,1,fert_dap_mrp_missing,0.0,0.0,82,84,0
M8,onion,1,fert_mop_mrp,0.002578,0.00019,29,84,82
M8,onion,1,fert_mop_mrp_missing,0.0,0.0,82,84,0
M8,onion,4,fert_urea_mrp,0.000407,-3.5e-05,71,84,9
M8,onion,4,fert_urea_mrp_missing,1.8e-05,3e-06,80,84,1
M8,onion,4,fert_dap_mrp,0.003741,0.000118,35,84,110
M8,onion,4,fert_dap_mrp_missing,0.0,0.0,82,84,0
M8,onion,4,fert_mop_mrp,0.001655,0.000304,54,84,61
M8,onion,4,fert_mop_mrp_missing,0.0,0.0,82,84,0
M8,onion,13,fert_urea_mrp,2.9e-05,8e-06,79,84,1
M8,onion,13,fert_urea_mrp_missing,0.0,0.0,82,84,0
M8,onion,13,fert_dap_mrp,0.00357,-0.000303,45,84,79
M8,onion,13,fert_dap_mrp_missing,0.0,0.0,82,84,0
M8,onion,13,fert_mop_mrp,0.010154,-0.001186,24,84,125
M8,onion,13,fert_mop_mrp_missing,0.0,0.0,82,84,0
M8,onion,26,fert_urea_mrp,0.0019,-0.000214,48,84,8
M8,onion,26,fert_urea_mrp_missing,0.000541,-7.3e-05,67,84,1
M8,onion,26,fert_dap_mrp,0.002236,0.000282,43,84,33
M8,onion,26,fert_dap_mrp_missing,0.0,0.0,82,84,0
M8,onion,26,fert_mop_mrp,0.007131,0.000297,22,84,70
M8,onion,26,fert_mop_mrp_missing,0.0,0.0,82,84,0
M8,potato,1,fert_urea_mrp,0.000286,-7e-06,72,84,8
M8,potato,1,fert_urea_mrp_missing,0.000173,4e-05,73,84,2
M8,potato,1,fert_dap_mrp,0.001643,2.3e-05,46,84,96
M8,potato,1,fert_dap_mrp_missing,0.0,0.0,81,84,0
M8,potato,1,fert_mop_mrp,0.00167,4.3e-05,45,84,105
M8,potato,1,fert_mop_mrp_missing,0.0,0.0,81,84,0
M8,potato,4,fert_urea_mrp,0.000939,0.00026,67,84,7
M8,potato,4,fert_urea_mrp_missing,0.000454,0.000127,72,84,3
M8,potato,4,fert_dap_mrp,0.005437,0.000985,25,84,168
M8,potato,4,fert_dap_mrp_missing,0.0,0.0,80,84,0
M8,potato,4,fert_mop_mrp,0.004574,-0.00037,29,84,168
M8,potato,4,fert_mop_mrp_missing,0.0,0.0,80,84,0
M8,potato,13,fert_urea_mrp,0.021189,0.001813,7,84,31
M8,potato,13,fert_urea_mrp_missing,0.006476,0.000614,36,84,8
M8,potato,13,fert_dap_mrp,0.012448,0.0033,17,84,161
M8,potato,13,fert_dap_mrp_missing,0.0,0.0,81,84,0
M8,potato,13,fert_mop_mrp,0.020458,-0.001794,8,84,249
M8,potato,13,fert_mop_mrp_missing,0.0,0.0,81,84,0
M8,potato,26,fert_urea_mrp,0.000947,0.000419,69,84,7
M8,potato,26,fert_urea_mrp_missing,0.000192,-4.7e-05,76,84,1
M8,potato,26,fert_dap_mrp,0.008241,0.00179,26,84,160
M8,potato,26,fert_dap_mrp_missing,0.0,0.0,81,84,0
M8,potato,26,fert_mop_mrp,0.143941,-0.004006,1,84,263
M8,potato,26,fert_mop_mrp_missing,0.0,0.0,81,84,0
