crop,horizon_weeks,feature,mean_abs_shap,mean_signed_shap,shap_rank_of_total,n_features_total,split_count
tomato,1,oni_anom,0.00406,0.000571,35,81,261
tomato,1,oni_lag_3m,0.002512,-0.000865,52,81,232
tomato,1,oni_lag_4m,0.011359,0.000545,12,81,251
tomato,4,oni_anom,0.010847,0.001054,24,81,282
tomato,4,oni_lag_3m,0.007911,-0.001206,30,81,191
tomato,4,oni_lag_4m,0.016409,0.001561,12,81,241
tomato,13,oni_anom,0.013057,-0.002114,21,81,174
tomato,13,oni_lag_3m,0.014865,0.002228,18,81,217
tomato,13,oni_lag_4m,0.014672,-0.001533,19,81,142
tomato,26,oni_anom,0.029127,-0.002295,8,81,499
tomato,26,oni_lag_3m,0.010541,0.001038,26,81,351
tomato,26,oni_lag_4m,0.008559,-0.001172,30,81,266
onion,1,oni_anom,0.006959,-0.00022,12,81,274
onion,1,oni_lag_3m,0.003095,0.000458,25,81,196
onion,1,oni_lag_4m,0.004135,-0.000686,18,81,98
onion,4,oni_anom,0.01492,-0.000598,6,81,279
onion,4,oni_lag_3m,0.006443,-0.00055,29,81,142
onion,4,oni_lag_4m,0.012139,-0.000211,8,81,165
onion,13,oni_anom,0.032634,0.004665,9,81,312
onion,13,oni_lag_3m,0.045781,-0.002646,6,81,247
onion,13,oni_lag_4m,0.011305,-0.001753,23,81,226
onion,26,oni_anom,0.010102,0.000567,19,81,116
onion,26,oni_lag_3m,0.017246,-4.2e-05,11,81,75
onion,26,oni_lag_4m,0.092629,0.004401,2,81,134
potato,1,oni_anom,0.001593,0.000634,45,81,148
potato,1,oni_lag_3m,0.002064,5e-05,37,81,133
potato,1,oni_lag_4m,0.002749,-8.1e-05,25,81,114
potato,4,oni_anom,0.004133,0.000552,27,81,165
potato,4,oni_lag_3m,0.007113,-0.000245,15,81,140
potato,4,oni_lag_4m,0.006418,0.000415,18,81,129
potato,13,oni_anom,0.012922,0.001677,17,81,287
potato,13,oni_lag_3m,0.012973,-0.000553,16,81,212
potato,13,oni_lag_4m,0.072203,-0.009485,3,81,277
potato,26,oni_anom,0.054449,-0.005323,3,81,281
potato,26,oni_lag_3m,0.01339,0.000639,19,81,245
potato,26,oni_lag_4m,0.004853,0.000948,34,81,237
