feature,mean_abs_shap,layer,pct_of_total,crop,horizon_weeks,rank
price_lag_1,0.38387070755457103,Price,49.600735733379786,tomato,1,1
price_lag_2,0.046205149172404564,Price,5.970263811536146,tomato,1,2
cos_week,0.03325580158884126,Price,4.297051569050323,tomato,1,3
wpi_tomato,0.02016298662431532,Macro,2.6053016066774553,tomato,1,4
price_lag_52,0.019805395293210012,Price,2.559096484052462,tomato,1,5
era5_heat_35_roll8,0.015149948208273114,Climate,1.9575564445643965,tomato,1,6
price_roll_mean_4,0.014482922357202782,Price,1.8713686414443345,tomato,1,7
era5_tmin,0.01291980036935474,Climate,1.6693943852365614,tomato,1,8
cold_storage_capacity_mt,0.010465261064550658,Infrastructure,1.3522382360206866,tomato,1,9
price_lag_13,0.009336220918985309,Price,1.2063526011169023,tomato,1,10
road_density_per_100_sqkm,0.009151757013049377,Infrastructure,1.1825176346278938,tomato,1,11
log_arr,0.00879678356423012,Arrivals,1.1366507740398208,tomato,1,12
price_yoy,0.007489936351878371,Price,0.9677903167345491,tomato,1,13
s2_ndvi_anom_roll4,0.007159966339518927,Satellite,0.92515420238437,tomato,1,14
wage_agri_men,0.00675897123292112,Infrastructure,0.8733407872909331,tomato,1,15
price_lag_1,0.2589741703226428,Price,26.900934897241825,tomato,4,1
cos_week,0.08533271174491942,Price,8.863933111148869,tomato,4,2
price_lag_52,0.038627072289724805,Price,4.012386083300791,tomato,4,3
road_density_per_100_sqkm,0.02928367928080037,Infrastructure,3.0418413886724376,tomato,4,4
era5_tmin,0.02591116931169087,Climate,2.691522007375508,tomato,4,5
era5_heat_35_roll8,0.02405153466060827,Climate,2.4983525085830096,tomato,4,6
price_lag_13,0.02400904992829746,Price,2.4939394081699615,tomato,4,7
price_lag_2,0.021813601627601684,Price,2.2658872756592254,tomato,4,8
cold_storage_capacity_mt,0.021273295663087406,Infrastructure,2.209763008293557,tomato,4,9
price_yoy,0.01995533997526592,Price,2.0728603970742037,tomato,4,10
modis_ndvi,0.019640351910661477,Satellite,2.040141020432218,tomato,4,11
wage_agri_men,0.017584287028316933,Infrastructure,1.8265673367109891,tomato,4,12
repo_rate_pct,0.014422253074181289,Macro,1.49811114574377,tomato,4,13
wpi_onion,0.014315245865182182,Macro,1.4869957748199663,tomato,4,14
price_lag_26,0.013713349361006053,Price,1.4244737918224062,tomato,4,15
cos_week,0.22418319299946013,Price,20.8169971890525,tomato,13,1
cold_storage_capacity_mt,0.0646993372708936,Infrastructure,6.007791681801031,tomato,13,2
road_density_per_100_sqkm,0.06422791342151687,Infrastructure,5.96401663864982,tomato,13,3
price_lag_26,0.04387098637841472,Price,4.073731790066078,tomato,13,4
price_roll_mean_13,0.04205704198626209,Price,3.905294206466179,tomato,13,5
usdinr_monthly_avg,0.039792151728927715,Macro,3.6949831055775606,tomato,13,6
lpg_nonsub_4city_rs_cyl,0.03368301275006244,Macro,3.127706285004862,tomato,13,7
wpi_potato,0.029190188500123965,Macro,2.7105157341409463,tomato,13,8
state_enc,0.026949763857974877,Price,2.502476438893627,tomato,13,9
price_lag_52,0.0264006880015533,Price,2.4514908569381944,tomato,13,10
era5_tmin,0.024530447255662145,Climate,2.277825758189416,tomato,13,11
price_lag_1,0.02237183961354959,Price,2.0773837508430737,tomato,13,12
cold_storage_n_facilities,0.018424465115594264,Infrastructure,1.7108420724565434,tomato,13,13
wpi_onion,0.017947794529231193,Macro,1.6665798326175028,tomato,13,14
lpg_nonsub_delhi_per14kg,0.015829998922888198,Macro,1.4699275118329735,tomato,13,15
price_lag_26,0.13218997867259252,Price,12.283026968888374,tomato,26,1
chirps_rain_mm_roll8,0.08088153629649236,Climate,7.515472062186811,tomato,26,2
sin_week,0.07072655799646897,Price,6.5718765371689605,tomato,26,3
lpg_nonsub_4city_rs_cyl,0.06239674012894614,Macro,5.79787401035015,tomato,26,4
road_density_per_100_sqkm,0.05590578661837849,Infrastructure,5.194737843564207,tomato,26,5
week_num,0.05292186012556768,Price,4.917472880271079,tomato,26,6
import_veg_usd_mn,0.04002125584764967,Macro,3.7187551570986384,tomato,26,7
wpi_potato,0.03669396015830589,Macro,3.409584499110255,tomato,26,8
cold_storage_capacity_mt,0.0365541227498846,Infrastructure,3.3965908767786237,tomato,26,9
lpg_nonsub_delhi_per14kg,0.03293989606656558,Macro,3.060758733762416,tomato,26,10
price_roll_mean_13,0.02837535625513588,Price,2.636623968272964,tomato,26,11
export_veg_usd_mn,0.026392563078777794,Macro,2.452383814038158,tomato,26,12
state_enc,0.02562714273123002,Price,2.3812613366319755,tomato,26,13
price_lag_13,0.024424986485858013,Price,2.2695575771564207,tomato,26,14
modis_ndvi,0.023752150142856764,Satellite,2.2070379593327285,tomato,26,15
price_lag_1,0.2639637151451458,Price,45.97019908085159,onion,1,1
price_roll_mean_4,0.10807885763650182,Price,18.82230896488567,onion,1,2
price_lag_2,0.025034950791786324,Price,4.359923754084594,onion,1,3
chirps_rain_mm_roll4,0.01317921513867046,Climate,2.2952061548342524,onion,1,4
era5_dtr,0.011433526500814478,Climate,1.9911884068975967,onion,1,5
wpi_onion,0.010540707731335528,Macro,1.8357009128929762,onion,1,6
cold_storage_n_facilities,0.009824005897072217,Infrastructure,1.710884795705887,onion,1,7
cold_storage_capacity_mt,0.009335433088241451,Infrastructure,1.625798141750092,onion,1,8
chirps_rain_mm_roll8,0.00914253000885214,Climate,1.5922033995410736,onion,1,9
s2_ndvi,0.009013582483994797,Satellite,1.5697467395966729,onion,1,10
week_num,0.008039666882128387,Price,1.4001359501700734,onion,1,11
wpi_potato,0.00627883559163679,Macro,1.0934810566094875,onion,1,12
wpi_tomato,0.0057806088140383,Macro,1.0067131304154657,onion,1,13
s2_ndvi_roll4,0.005366701349888967,Satellite,0.9346297059283818,onion,1,14
chirps_rain_max,0.004390929448945234,Climate,0.7646956355610998,onion,1,15
price_lag_1,0.18445458365197165,Price,33.366140850904955,onion,4,1
price_roll_mean_4,0.06918126993860284,Price,12.514256633335908,onion,4,2
chirps_rain_mm_roll4,0.029582707030284212,Climate,5.351240126327805,onion,4,3
era5_dtr,0.023545536211341443,Climate,4.259171347674472,onion,4,4
cold_storage_n_facilities,0.021734255498815937,Infrastructure,3.9315272947151643,onion,4,5
wpi_potato,0.01788350656126729,Macro,3.234962162594918,onion,4,6
price_lag_2,0.01779470807123429,Price,3.218899330936697,onion,4,7
cold_storage_capacity_mt,0.017379079923852476,Infrastructure,3.143716014628829,onion,4,8
week_num,0.012437090749846736,Price,2.2497555415475716,onion,4,9
chirps_rain_mm_roll8,0.010332948557082996,Climate,1.8691355353429357,onion,4,10
wpi_tomato,0.010283618355653562,Macro,1.8602121547659392,onion,4,11
chirps_rain_max,0.008135124399534725,Climate,1.4715693217288495,onion,4,12
modis_ndvi,0.006851244309883133,Satellite,1.2393271997991806,onion,4,13
s2_ndvi,0.006800324649519864,Satellite,1.2301163006926195,onion,4,14
s2_ndvi_roll4,0.006258169414801835,Satellite,1.1320453958308099,onion,4,15
cold_storage_n_facilities,0.14882684287672895,Infrastructure,22.802603559088947,onion,13,1
chirps_rain_mm_roll8,0.09166478264989748,Climate,14.044480543250826,onion,13,2
wpi_fruits_vegetables,0.047296735628072684,Macro,7.246600756419158,onion,13,3
price_lag_1,0.03353801423489742,Price,5.138549121752734,onion,13,4
chirps_rain_mm_roll4,0.020048135240550526,Climate,3.071688353746268,onion,13,5
wage_agri_women,0.01869076210542789,Infrastructure,2.8637175274915174,onion,13,6
crude_oil_usd_bbl,0.01863610016579568,Macro,2.855342462112777,onion,13,7
era5_tmin,0.01824271746123166,Climate,2.795070069809156,onion,13,8
cold_storage_capacity_mt,0.01743181433064526,Infrastructure,2.6708270081801375,onion,13,9
price_roll_mean_13,0.014933762945878217,Price,2.2880864064443545,onion,13,10
s2_ndvi_roll4,0.014862898611015115,Satellite,2.277228880321192,onion,13,11
price_roll_mean_4,0.011857858752117414,Price,1.816809702858285,onion,13,12
wage_agri_men,0.011460975353831596,Infrastructure,1.7560009494414601,onion,13,13
s2_ndvi,0.010982874732252255,Satellite,1.6827484452258221,onion,13,14
week_num,0.010941736259430297,Price,1.6764453867946059,onion,13,15
cold_storage_n_facilities,0.20097507368156156,Infrastructure,22.47776363071926,onion,26,1
week_num,0.0639732299554426,Price,7.154992483846591,onion,26,2
modis_lst_mean_roll4,0.05416497793978138,Satellite,6.058002860208575,onion,26,3
export_duty_pct,0.040898465225865425,Policy,4.574229118894638,onion,26,4
price_lag_26,0.034136830427144264,Price,3.817983948890532,onion,26,5
cold_storage_capacity_mt,0.03213645837353035,Infrastructure,3.5942552577102824,onion,26,6
era5_tmin,0.031535802609925334,Climate,3.5270757909713604,onion,26,7
wage_agri_women,0.027623909037571167,Infrastructure,3.0895557669347973,onion,26,8
wage_agri_men,0.02675922077626401,Infrastructure,2.992845971058738,onion,26,9
crude_oil_usd_bbl,0.021243335245753954,Macro,2.3759298087820198,onion,26,10
wpi_potato,0.020994730099703412,Macro,2.3481249292616933,onion,26,11
era5_heat_35_roll8,0.020879728930519433,Climate,2.3352627914312594,onion,26,12
wpi_vegetables_total,0.018107492667882537,Macro,2.025206074951112,onion,26,13
price_roll_mean_13,0.017392158567039396,Price,1.945200577049307,onion,26,14
iip_food_proc,0.01597544588484786,Macro,1.7867504159442524,onion,26,15
price_lag_1,0.27869751827255823,Price,51.544889458670504,potato,1,1
price_roll_mean_4,0.03681778342905369,Price,6.809420438067481,potato,1,2
price_lag_2,0.028337096795249712,Price,5.240924034574056,potato,1,3
price_lag_3,0.014016795203861643,Price,2.5923953820115924,potato,1,4
cos_week,0.011490845589636657,Price,2.125222963504203,potato,1,5
era5_tmin,0.010297143732488292,Climate,1.904448732521822,potato,1,6
wpi_vegetables_total,0.008907854117073021,Macro,1.647500697618168,potato,1,7
modis_lst_mean_roll4,0.008608547027351742,Satellite,1.592144083933536,potato,1,8
chirps_rain_mm_roll8,0.006371744110675192,Climate,1.1784491224729585,potato,1,9
price_lag_52,0.006306824368987432,Price,1.1664422666899499,potato,1,10
wage_agri_men,0.005611003644062172,Infrastructure,1.0377507642624022,potato,1,11
wage_agri_women,0.005421157711508146,Infrastructure,1.0026389065453718,potato,1,12
era5_heat_35_roll8,0.005220142361982216,Climate,0.9654612738379393,potato,1,13
wpi_potato,0.005088340966826272,Macro,0.9410847082125233,potato,1,14
era5_tmean,0.004672727061352978,Climate,0.8642172393240618,potato,1,15
price_lag_1,0.22350900652043124,Price,37.306262392923145,potato,4,1
price_roll_mean_4,0.028912295639122978,Price,4.825799659202066,potato,4,2
modis_lst_max,0.026830336515652482,Satellite,4.478296377071775,potato,4,3
cos_week,0.024421844120022088,Price,4.076290879926254,potato,4,4
