crop,horizon_weeks,RMSE,MAPE,R2,variant
onion,1,857.0,31.25,-0.0973,TFT
onion,4,1034.4,33.2,-0.1052,TFT
onion,13,1402.5,63.33,-1.4652,TFT
potato,1,559.2,28.04,-3.3137,TFT
potato,4,514.2,25.74,-4.0598,TFT
potato,13,598.2,31.64,-4.236,TFT
tomato,1,2912.2,49.01,-4.8345,TFT
tomato,4,2782.6,62.05,-6.5199,TFT
tomato,13,1799.7,73.4,-2.7467,TFT
onion,1,524.8,18.24,0.818,LightGBM_M4
onion,4,716.9,27.26,0.653,LightGBM_M4
onion,13,1059.1,46.08,0.1623,LightGBM_M4
onion,26,1042.9,44.2,0.2258,LightGBM_M4
potato,1,237.4,12.3,0.7443,LightGBM_M4
potato,4,340.1,18.74,0.4398,LightGBM_M4
potato,13,673.3,39.66,-1.4728,LightGBM_M4
potato,26,641.5,36.52,-1.1424,LightGBM_M4
tomato,1,1049.9,27.01,0.6054,LightGBM_M4
tomato,4,1432.6,40.26,0.2458,LightGBM_M4
tomato,13,1522.1,42.31,0.1497,LightGBM_M4
tomato,26,1494.1,42.78,0.0891,LightGBM_M4
