model,crop,fold,horizon_weeks,trees,elapsed_s,n_train,n_test,RMSE,MAE,MAPE,R2,N
LightGBM,tomato,1,1,100,2.7,112085,25660,774.9,506.8,23.97,0.6538,25660
LightGBM,tomato,1,4,150,3.7,111284,25519,1115.8,748.1,34.02,0.2854,25519
LightGBM,tomato,1,13,52,7.3,109779,25248,1212.1,794.0,36.61,0.183,25248
LightGBM,tomato,1,26,15,2.2,108857,25101,1050.5,740.6,50.52,0.2818,25101
LightGBM,tomato,2,1,32,2.0,137254,25815,1692.9,936.7,35.02,0.46,25815
LightGBM,tomato,2,4,22,1.7,136317,25626,2171.8,1268.3,50.65,0.0978,25626
LightGBM,tomato,2,13,31,1.7,134495,25317,2229.5,1273.1,48.35,0.0272,25317
LightGBM,tomato,2,26,738,8.4,133402,25032,2195.2,1262.9,39.14,0.0164,25032
LightGBM,tomato,3,1,44,2.3,162970,26148,931.5,676.9,27.2,0.6102,26148
LightGBM,tomato,3,4,10,3.2,161862,26055,1468.0,1060.4,40.25,0.0475,26055
LightGBM,tomato,3,13,26,2.2,159804,25852,1386.9,961.0,37.9,0.2431,25852
LightGBM,tomato,3,26,99,13.0,158594,25671,1380.3,1036.2,48.32,0.2134,25671
LightGBM,tomato,4,1,70,12.9,188614,25280,702.5,463.5,21.61,0.7306,25280
LightGBM,tomato,4,4,66,12.4,187361,24969,954.2,689.1,34.13,0.5098,24969
LightGBM,tomato,4,13,300,31.5,185036,24201,990.3,748.6,37.77,0.4428,24201
LightGBM,tomato,4,26,22,8.9,183619,23677,1179.9,876.9,42.18,0.2351,23677
LightGBM,onion,1,1,63,7.9,53847,12438,432.4,329.1,20.48,0.8214,12438
LightGBM,onion,1,4,40,6.8,53445,12389,549.0,431.7,30.48,0.7053,12389
LightGBM,onion,1,13,215,17.1,52686,12308,945.9,778.8,55.38,0.0806,12308
LightGBM,onion,1,26,123,11.9,52177,12306,605.4,427.7,27.78,0.6676,12306
LightGBM,onion,2,1,90,11.0,65727,12609,606.6,371.1,16.04,0.8215,12609
LightGBM,onion,2,4,332,25.2,65272,12553,859.8,578.2,24.56,0.6376,12553
LightGBM,onion,2,13,132,13.9,64408,12407,996.5,686.9,27.78,0.4867,12407
LightGBM,onion,2,26,336,25.1,63903,12212,1273.2,946.2,34.53,0.046,12212
LightGBM,onion,3,1,109,12.9,78231,12100,596.8,448.5,16.8,0.8312,12100
LightGBM,onion,3,4,100,12.3,77742,12051,839.1,682.3,24.09,0.6706,12051
LightGBM,onion,3,13,66,8.2,76845,11917,1315.7,1050.0,30.51,0.1525,11917
LightGBM,onion,3,26,16,1.3,76336,11823,1649.2,1271.6,36.18,-0.1814,11823
LightGBM,onion,4,1,100,2.1,90503,11965,413.4,296.4,17.19,0.8625,11965
LightGBM,onion,4,4,98,2.2,89945,11872,515.8,385.4,21.95,0.763,11872
LightGBM,onion,4,13,44,1.5,88860,11691,890.6,770.5,59.98,0.188,11691
LightGBM,onion,4,26,9,1.1,88125,11627,919.2,773.7,60.05,0.0786,11627
LightGBM,potato,1,1,264,2.3,18430,4212,313.1,246.8,14.98,0.6633,4212
LightGBM,potato,1,4,78,1.0,18315,4205,415.4,349.0,22.72,0.4261,4205
LightGBM,potato,1,13,9,0.5,18094,4178,653.8,577.2,46.07,-0.1504,4178
LightGBM,potato,1,26,182,1.8,17955,4171,554.3,468.8,39.4,0.075,4171
LightGBM,potato,2,1,57,1.0,22590,4247,156.8,118.3,11.25,0.8295,4247
LightGBM,potato,2,4,24,0.7,22463,4245,239.9,179.7,18.1,0.5855,4245
LightGBM,potato,2,13,3,0.6,22219,4246,425.9,347.2,26.07,-0.7089,4246
LightGBM,potato,2,26,15,0.7,22085,4249,589.6,440.5,26.76,-0.5386,4249
LightGBM,potato,3,1,70,1.2,26799,4324,332.4,258.7,12.69,0.7361,4324
LightGBM,potato,3,4,123,1.7,26666,4318,342.0,262.0,13.85,0.7095,4318
LightGBM,potato,3,13,60,1.1,26405,4308,992.8,844.9,38.74,-1.2684,4308
LightGBM,potato,3,26,118,1.5,26286,4301,847.5,681.9,33.87,-0.5182,4301
LightGBM,potato,4,1,183,2.1,31063,4192,164.8,120.9,10.52,0.6791,4192
LightGBM,potato,4,4,125,1.6,30930,4168,225.1,171.3,15.7,0.3687,4168
LightGBM,potato,4,13,135,1.7,30669,4127,621.1,567.2,54.26,-2.8047,4127
LightGBM,potato,4,26,5,0.6,30532,4112,439.4,368.4,47.49,-0.6835,4112
XGBoost,tomato,1,1,110,4.5,112085,25660,779.5,507.9,23.97,0.6497,25660
XGBoost,tomato,1,4,128,3.3,111284,25519,1117.7,751.0,34.29,0.2829,25519
XGBoost,tomato,1,13,44,2.0,109779,25248,1214.6,794.8,37.23,0.1796,25248
XGBoost,tomato,1,26,10,1.6,108857,25101,1089.1,767.9,51.66,0.2281,25101
XGBoost,tomato,2,1,38,2.8,137254,25815,1638.3,900.8,32.87,0.4943,25815
XGBoost,tomato,2,4,27,3.7,136317,25626,2118.4,1193.9,44.41,0.1416,25626
XGBoost,tomato,2,13,34,2.2,134495,25317,2230.4,1278.3,48.16,0.0265,25317
XGBoost,tomato,2,26,76,2.9,133402,25032,2239.8,1291.5,39.47,-0.024,25032
XGBoost,tomato,3,1,51,6.5,162970,26148,870.9,620.9,24.24,0.6593,26148
XGBoost,tomato,3,4,14,4.8,161862,26055,1336.2,932.3,35.18,0.2108,26055
XGBoost,tomato,3,13,29,5.4,159804,25852,1324.2,910.0,36.08,0.31,25852
XGBoost,tomato,3,26,93,7.8,158594,25671,1302.4,964.6,45.5,0.2997,25671
XGBoost,tomato,4,1,82,4.9,188614,25280,695.0,463.4,22.08,0.7363,25280
XGBoost,tomato,4,4,111,3.8,187361,24969,944.3,690.2,33.97,0.5199,24969
XGBoost,tomato,4,13,110,3.7,185036,24201,962.6,721.2,36.55,0.4736,24201
XGBoost,tomato,4,26,16,3.3,183619,23677,1191.5,873.0,41.07,0.2199,23677
XGBoost,onion,1,1,41,3.3,53847,12438,446.4,342.7,22.06,0.8096,12438
XGBoost,onion,1,4,33,3.0,53445,12389,553.9,426.6,29.56,0.7001,12389
XGBoost,onion,1,13,252,8.6,52686,12308,815.3,664.1,47.18,0.317,12308
XGBoost,onion,1,26,152,6.0,52177,12306,630.6,469.3,31.48,0.6393,12306
XGBoost,onion,2,1,147,6.8,65727,12609,610.3,373.8,16.11,0.8193,12609
XGBoost,onion,2,4,178,7.5,65272,12553,844.4,558.9,23.65,0.6505,12553
XGBoost,onion,2,13,203,7.9,64408,12407,1009.7,696.8,28.08,0.473,12407
XGBoost,onion,2,26,232,8.9,63903,12212,1255.7,933.7,34.26,0.0721,12212
XGBoost,onion,3,1,56,4.7,78231,12100,591.4,450.3,16.14,0.8342,12100
XGBoost,onion,3,4,123,6.6,77742,12051,841.5,676.3,23.79,0.6687,12051
XGBoost,onion,3,13,81,5.3,76845,11917,1320.8,1061.9,31.14,0.1458,11917
XGBoost,onion,3,26,17,3.0,76336,11823,1579.8,1231.6,35.5,-0.084,11823
XGBoost,onion,4,1,62,5.3,90503,11965,420.8,299.6,17.39,0.8575,11965
XGBoost,onion,4,4,60,5.1,89945,11872,519.7,390.2,22.35,0.7595,11872
XGBoost,onion,4,13,45,4.5,88860,11691,946.5,820.4,64.13,0.0828,11691
