model,crop,horizon_weeks,RMSE,MAE,MAPE,R2
CatBoost,onion,1,493.225,326.65,16.272,0.836
CatBoost,onion,4,706.975,520.425,25.365,0.662
CatBoost,onion,13,949.075,729.95,37.648,0.316
CatBoost,onion,26,990.725,749.675,37.79,0.278
CatBoost,potato,1,237.425,181.175,12.19,0.749
CatBoost,potato,4,364.725,295.25,20.215,0.393
CatBoost,potato,13,551.3,465.275,32.178,-0.383
CatBoost,potato,26,592.375,466.125,34.823,-0.291
CatBoost,tomato,1,1041.8,624.775,25.568,0.616
CatBoost,tomato,4,1397.625,903.6,38.202,0.292
CatBoost,tomato,13,1474.075,947.85,39.9,0.193
CatBoost,tomato,26,1397.625,944.3,47.785,0.232
LightGBM,onion,1,504.4,347.275,17.415,0.828
LightGBM,onion,4,681.9,502.2,25.415,0.682
LightGBM,onion,13,1001.2,780.15,41.302,0.235
LightGBM,onion,26,970.825,737.075,37.598,0.276
LightGBM,potato,1,227.85,174.05,12.102,0.761
LightGBM,potato,4,350.775,276.975,19.445,0.414
LightGBM,potato,13,690.025,603.5,42.612,-1.301
LightGBM,potato,26,607.025,480.65,37.19,-0.344
LightGBM,tomato,1,1054.25,655.575,27.36,0.604
LightGBM,tomato,4,1403.275,925.325,39.1,0.277
LightGBM,tomato,13,1467.95,954.275,41.13,0.209
LightGBM,tomato,26,1437.8,953.65,43.835,0.185
RandomForest,onion,1,551.175,374.525,18.542,0.796
RandomForest,onion,4,733.0,525.2,25.888,0.62
RandomForest,onion,13,1088.15,841.45,45.42,0.043
RandomForest,onion,26,1100.85,835.875,41.892,-0.054
RandomForest,potato,1,288.825,217.425,13.925,0.632
RandomForest,potato,4,357.525,279.475,21.165,0.383
RandomForest,potato,13,819.375,702.675,57.34,-1.812
RandomForest,potato,26,877.9,748.45,63.36,-4.131
RandomForest,tomato,1,1133.9,744.575,31.49,0.494
RandomForest,tomato,4,1535.875,1022.3,47.932,0.11
RandomForest,tomato,13,1550.875,1046.025,48.8,0.073
RandomForest,tomato,26,1561.7,1036.675,48.072,0.001
XGBoost,onion,1,517.1,353.3,17.54,0.82
XGBoost,onion,4,694.55,512.225,25.495,0.671
XGBoost,onion,13,989.25,760.425,39.802,0.253
XGBoost,onion,26,950.025,717.7,36.025,0.315
XGBoost,potato,1,256.175,197.95,13.155,0.715
XGBoost,potato,4,332.325,257.35,18.558,0.492
XGBoost,potato,13,655.375,570.6,40.165,-0.987
XGBoost,potato,26,600.45,474.725,35.455,-0.318
XGBoost,tomato,1,1043.75,642.725,26.598,0.611
XGBoost,tomato,4,1349.7,877.4,37.385,0.34
XGBoost,tomato,13,1440.425,927.925,39.742,0.234
XGBoost,tomato,26,1447.45,963.95,44.108,0.176
