variant,crop,fold,horizon_weeks,test_year,n_params,RMSE,MAE,MAPE,R2,N,fit_sec
TFT,tomato,1,1,2022,371953,978.3,806.4,37.5,-0.6222,27,605.2
TFT,tomato,1,4,2022,371953,1642.8,1559.8,88.65,-4.4244,27,605.3
TFT,tomato,1,13,2022,371953,774.9,539.1,18.37,0.4705,27,605.3
TFT,tomato,2,1,2023,371953,4882.5,4415.8,50.76,-3.8257,27,504.4
TFT,tomato,2,4,2023,371953,4838.1,4215.0,43.31,-3.0386,27,504.4
TFT,tomato,2,13,2023,371953,2467.6,2415.6,193.95,-5.8314,27,504.4
TFT,tomato,3,1,2024,371953,2961.8,2830.7,52.82,-5.1299,27,583.0
TFT,tomato,3,4,2024,371953,1146.0,1012.4,30.43,-1.6871,27,583.0
TFT,tomato,3,13,2024,371953,2927.8,2700.2,48.03,-4.9307,27,583.1
TFT,tomato,4,1,2025,371953,2826.0,1789.7,54.95,-9.7602,27,695.8
TFT,tomato,4,4,2025,371953,3503.4,3435.7,85.82,-16.9296,27,695.8
TFT,tomato,4,13,2025,371953,1028.4,845.7,33.26,-0.6952,27,695.8
TFT,onion,1,1,2022,371953,303.6,247.6,17.22,0.8158,29,389.1
TFT,onion,1,4,2022,371953,344.4,284.2,20.95,0.749,29,389.1
TFT,onion,1,13,2022,371953,2228.3,2155.7,157.33,-4.9201,29,389.1
TFT,onion,2,1,2023,371953,858.0,673.5,32.31,-0.0399,29,595.6
TFT,onion,2,4,2023,371953,1393.2,945.2,36.49,0.1563,29,595.7
TFT,onion,2,13,2023,371953,738.0,608.1,21.44,0.6108,29,595.7
TFT,onion,3,1,2024,371953,1516.8,1449.6,47.08,-1.6506,29,404.8
TFT,onion,3,4,2024,371953,1761.2,1634.7,49.02,-1.8066,29,404.8
TFT,onion,3,13,2024,371953,2245.2,2108.8,48.58,-2.3584,29,404.8
TFT,onion,4,1,2025,371953,749.7,627.0,28.38,0.4856,29,2883.7
TFT,onion,4,4,2025,371953,638.7,542.6,26.35,0.4805,29,2883.7
TFT,onion,4,13,2025,371953,398.6,338.6,25.97,0.8069,29,2883.7
TFT,potato,1,1,2022,371953,1016.9,956.3,45.88,-7.2371,35,245.2
TFT,potato,1,4,2022,371953,995.4,930.8,44.82,-8.7376,35,245.2
TFT,potato,1,13,2022,371953,975.9,910.2,45.47,-7.5684,35,245.3
TFT,potato,2,1,2023,371953,466.9,408.3,32.98,-4.3718,35,179.0
TFT,potato,2,4,2023,371953,454.2,409.6,30.99,-5.2539,35,179.1
TFT,potato,2,13,2023,371953,597.2,553.4,44.14,-6.2198,35,179.1
TFT,potato,3,1,2024,371953,595.6,576.2,24.53,-1.5486,35,271.9
TFT,potato,3,4,2024,371953,465.0,430.5,18.73,-1.9248,35,272.0
TFT,potato,3,13,2024,371953,571.5,535.5,22.69,-2.3042,35,272.1
TFT,potato,4,1,2025,371953,157.3,113.2,8.79,-0.0972,35,258.8
TFT,potato,4,4,2025,371953,142.0,102.7,8.41,-0.3231,35,258.8
TFT,potato,4,13,2025,371953,248.4,196.5,14.24,-0.8516,35,258.9
