crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days,imputed,imputed_method
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-02-24,2003,9,237.94573643410854,322.5,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-03-03,2003,10,262.5609756097561,410.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-03-10,2003,11,264.9885233358837,653.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-03-17,2003,12,271.1121856866538,517.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-03-24,2003,13,308.7219730941704,557.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-03-31,2003,14,261.62264150943395,265.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-04-07,2003,15,260.0,88.0,1.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-04-14,2003,16,257.21560846560845,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-04-21,2003,17,254.43121693121694,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-04-28,2003,18,251.6468253968254,252.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-05-05,2003,19,249.10852713178295,516.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-05-12,2003,20,253.1425007719435,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-05-19,2003,21,257.1764744121041,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-05-26,2003,22,539.5997662868829,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-06-02,2003,23,610.3637146249533,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-06-09,2003,24,610.3637146249533,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-06-16,2003,25,273.31236897274636,477.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-06-23,2003,26,279.66315789473686,475.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-06-30,2003,27,280.0,116.0,2.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-07-07,2003,28,279.32793522267207,123.5,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-07-14,2003,29,366.2186234817814,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-07-21,2003,30,453.1093117408907,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-07-28,2003,31,540.0,111.5,2.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-08-04,2003,32,537.5494505494505,227.5,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-08-11,2003,33,533.2853025936599,173.5,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-08-18,2003,34,530.0,304.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-08-25,2003,35,532.7068965517242,290.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-09-01,2003,36,537.3425797503468,360.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-09-08,2003,37,540.8139208532135,356.3,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-09-15,2003,38,551.2034383954154,349.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-09-22,2003,39,580.8531468531469,357.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-09-29,2003,40,671.5297450424929,353.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-10-06,2003,41,680.7719475277497,495.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-10-13,2003,42,680.0,315.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-10-20,2003,43,615.0,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-10-27,2003,44,550.0,58.0,1.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-11-03,2003,45,502.9087048832272,471.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-11-10,2003,46,419.1349480968858,289.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-11-17,2003,47,289.55445544554453,404.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-11-24,2003,48,277.5213675213675,468.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-12-01,2003,49,264.4733500791697,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-12-08,2003,50,251.4253326369718,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-12-15,2003,51,600.0,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-12-22,2003,52,600.0,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2003-12-29,2004,1,212.28128031037826,515.5,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-01-05,2004,2,214.59971098265896,692.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-01-12,2004,3,209.00943475335853,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-01-19,2004,4,203.4191585240581,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-01-26,2004,5,197.82888229475768,1011.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-02-02,2004,6,200.73748902546092,1139.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-02-09,2004,7,186.67917448405254,1066.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-02-16,2004,8,178.74371859296483,995.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-02-23,2004,9,179.8078317621465,1379.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-03-01,2004,10,189.18954248366012,994.5,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-03-08,2004,11,195.34911894273128,908.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-03-15,2004,12,221.32890365448506,903.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-03-22,2004,13,246.00108695652173,920.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-03-29,2004,14,320.9366576819407,742.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-04-05,2004,15,399.2080152671756,524.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-04-12,2004,16,415.0,141.0,1.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-04-19,2004,17,392.08015267175574,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-04-26,2004,18,369.1603053435114,1310.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-05-03,2004,19,350.70883315158125,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-05-10,2004,20,332.257360959651,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-05-17,2004,21,539.5997662868829,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-05-24,2004,22,539.5997662868829,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-05-31,2004,23,539.5997662868829,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-06-07,2004,24,610.3637146249533,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-06-14,2004,25,240.0,376.0,1.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-06-21,2004,26,347.3108963678774,3001.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-06-28,2004,27,335.92,2500.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-07-05,2004,28,334.49612403100775,2580.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-07-12,2004,29,386.1639344262295,1525.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-07-19,2004,30,353.65671641791045,1340.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-07-26,2004,31,450.0,1070.0,2.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-08-02,2004,32,436.44351464435147,2390.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-08-09,2004,33,440.7142857142857,1050.0,2.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-08-16,2004,34,435.2517985611511,1390.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-08-23,2004,35,206.89690721649484,2910.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-08-30,2004,36,257.51752577319587,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-09-06,2004,37,308.13814432989693,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-09-13,2004,38,783.0757322329632,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-09-20,2004,39,783.0757322329632,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-09-27,2004,40,460.0,405.0,1.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-10-04,2004,41,441.9406805179163,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-10-11,2004,42,423.8813610358326,,,1,linear
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-10-18,2004,43,797.8776737967914,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-10-25,2004,44,797.8776737967914,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-11-01,2004,45,909.5438268721782,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-11-08,2004,46,909.5438268721782,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-11-15,2004,47,909.5438268721782,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-11-22,2004,48,909.5438268721782,,,1,seasonal_median
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-11-29,2004,49,297.4661246612466,1845.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-12-06,2004,50,224.62809917355372,1210.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-12-13,2004,51,260.17429193899784,2295.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-12-20,2004,52,265.6326530612245,2450.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2004-12-27,2004,53,218.694109297374,2818.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-01-03,2005,1,245.8866103739445,1658.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-01-10,2005,2,302.657200811359,2465.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-01-17,2005,3,210.0,1410.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-01-24,2005,4,223.84146341463415,2460.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-01-31,2005,5,246.37917433605048,3803.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-02-07,2005,6,278.3679226274431,4963.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-02-14,2005,7,285.71583514099785,4610.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-02-21,2005,8,292.9331683168317,4040.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-02-28,2005,9,225.9059014033825,5558.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-03-07,2005,10,212.48081841432224,3910.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-03-14,2005,11,269.42396313364054,4340.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-03-21,2005,12,208.84393063583815,3460.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-03-28,2005,13,309.6265900697579,2437.0,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-04-04,2005,14,493.64072129650765,4381.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2005-04-11,2005,15,475.21375464684013,4304.0,5.0,0,observed
