crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days,imputed,imputed_method
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2024-12-30,2025,1,3496.733953277387,1763.6,2.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-01-06,2025,2,2797.3550836949785,6452.0,5.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-01-13,2025,3,2205.0021073604357,2609.8999999999996,4.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-01-20,2025,4,2255.281641047091,5737.800000000001,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-01-27,2025,5,2179.6364623396703,5434.0999999999985,5.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-02-03,2025,6,2221.17312540306,5117.1,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-02-10,2025,7,2317.4269608437385,4124.5,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-02-17,2025,8,2372.7430204561747,5440.9,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-02-24,2025,9,2303.634321421194,3872.8,4.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-03-03,2025,10,1997.6224687547688,5741.600000999999,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-03-10,2025,11,1650.6749814828088,4185.3,4.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-03-17,2025,12,1575.77560256384,4883.3,6.0,0,observed
onion,Telangana,TL,Hyderabad,Mahboob Manison APMC,2.0,2025-03-24,2025,13,1345.7457643365524,4172.900000000001,5.0,0,observed
