crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days,imputed,imputed_method
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-01-02,2017,1,386.44109055501457,821.6,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-01-09,2017,2,383.68412723532214,631.8999999999999,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-01-16,2017,3,384.1322314049587,1270.5,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-01-23,2017,4,527.2132317943835,840.4000000000001,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-01-30,2017,5,497.4906367041198,534.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-02-06,2017,6,463.4938271604938,810.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-02-13,2017,7,412.2736418511066,894.6,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-02-20,2017,8,423.70378719567174,887.2,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-02-27,2017,9,335.7992073976222,1059.8,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-03-06,2017,10,347.314702308627,823.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-03-13,2017,11,399.99999999999994,789.0000000000001,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-03-20,2017,12,399.99999999999994,1062.4,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-03-27,2017,13,400.0,1035.2,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-04-03,2017,14,425.3867908833804,601.1000000000001,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-04-10,2017,15,420.71855032994654,954.7,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-04-17,2017,16,377.54424778761063,723.1999999999999,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-04-24,2017,17,306.5551537070524,884.8000000000001,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-05-01,2017,18,317.12636305323923,935.4000000000001,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-05-08,2017,19,300.0,650.1,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-05-15,2017,20,305.4704157782516,750.4,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-05-22,2017,21,310.6560347952157,827.6999999999999,7.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-05-29,2017,22,349.99999999999994,266.1,3.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-06-05,2017,23,364.83673469387753,490.0,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-06-12,2017,24,365.66761112094923,564.6999999999999,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-06-19,2017,25,461.37910624445107,675.8,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-06-26,2017,26,431.3328729281768,724.0,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-07-03,2017,27,463.2154340836013,1088.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-07-10,2017,28,400.0,817.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-07-17,2017,29,463.3953095288401,946.6,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-07-24,2017,30,533.1043956043956,946.4000000000001,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-07-31,2017,31,525.9344262295082,762.5,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-08-07,2017,32,526.9659364315562,789.7,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-08-14,2017,33,548.0443796929284,892.3000000000001,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-08-21,2017,34,550.0,721.5,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-08-28,2017,35,558.2891481088724,848.7,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-09-04,2017,36,533.4358262249553,1008.2,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-09-11,2017,37,426.853283015838,996.3399999999999,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-09-18,2017,38,373.9803591966735,1130.3,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-09-25,2017,39,408.03848541278705,966.6,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-10-02,2017,40,473.4389082013647,776.7,4.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-10-09,2017,41,416.37173128944994,887.2,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-10-16,2017,42,454.70916106902956,699.7,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-10-23,2017,43,446.9377251672671,971.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-10-30,2017,44,516.4109190760781,1238.2,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-11-06,2017,45,407.39706908583383,716.5000000000001,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-11-13,2017,46,509.5195978028117,1074.1,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-11-20,2017,47,550.0,1062.5,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-11-27,2017,48,565.347533632287,892.0,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-12-04,2017,49,483.8948233360723,1095.3,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-12-11,2017,50,424.29343047355854,796.1000000000001,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-12-18,2017,51,420.5586743933358,1104.3999999999999,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2017-12-25,2017,52,301.58730158730157,844.2,5.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2018-01-01,2018,1,336.8557403872376,1100.1,6.0,0,observed
potato,Uttarakhand,UC,Dehradoon,Dehradoon APMC,303.0,2018-01-08,2018,2,336.53204464388443,869.1000000000001,5.0,0,observed
