state,year,month,cpi_al,cpi_rl,source_note
Andhra Pradesh,2025,6,137.77,137.89,direct
Andhra Pradesh,2025,7,141.33,141.5,direct
Andhra Pradesh,2025,8,141.96,142.12,direct
Andhra Pradesh,2025,9,142.01,142.15,direct
Andhra Pradesh,2025,10,142.0,142.14,direct
Andhra Pradesh,2025,11,138.91,138.79,direct
Andhra Pradesh,2025,12,144.12,144.27,direct
Andhra Pradesh,2026,1,144.86,145.04,direct
Andhra Pradesh,2026,2,144.01,144.14,direct
Andhra Pradesh,2026,3,144.93,145.21,direct
Andhra Pradesh,2026,4,145.42,145.56,direct
Andhra Pradesh,2026,6,149.4,149.54,direct
Andhra Pradesh,2026,7,150.94,151.1,direct
Andhra Pradesh,2026,8,152.98,153.04,direct
Assam,2025,6,136.86,137.12,direct
Assam,2025,7,137.51,137.72,direct
Assam,2025,8,138.57,138.73,direct
Assam,2025,9,139.34,139.52,direct
Assam,2025,10,140.99,141.14,direct
Assam,2025,11,134.12,134.61,direct
Assam,2025,12,140.16,140.45,direct
Assam,2026,1,139.08,139.42,direct
Assam,2026,2,138.53,138.96,direct
Assam,2026,3,138.05,138.54,direct
Assam,2026,4,138.47,138.9,direct
Assam,2026,6,140.7,140.92,direct
Assam,2026,7,141.73,142.01,direct
Assam,2026,8,143.74,144.03,direct
Bihar,2025,6,130.33,129.96,direct
Bihar,2025,7,131.57,131.19,direct
Bihar,2025,8,133.51,133.2,direct
Bihar,2025,9,133.19,132.87,direct
Bihar,2025,10,133.87,133.5,direct
Bihar,2025,11,141.08,141.3,direct
Bihar,2025,12,135.16,134.7,direct
Bihar,2026,1,135.97,135.61,direct
Bihar,2026,2,134.44,134.03,direct
Bihar,2026,3,134.35,133.95,direct
Bihar,2026,4,134.06,133.65,direct
Bihar,2026,6,134.69,134.24,direct
Bihar,2026,7,137.6,137.16,direct
Bihar,2026,8,140.13,139.7,direct
Chattisgarh,2025,6,127.98,128.36,Chhattisgarh (panel spelling differs)
Chattisgarh,2025,7,130.83,131.21,Chhattisgarh (panel spelling differs)
Chattisgarh,2025,8,133.35,133.63,Chhattisgarh (panel spelling differs)
Chattisgarh,2025,9,133.05,133.28,Chhattisgarh (panel spelling differs)
