state,series,year,month,index_value
All India,AL,2025,6,134.08
All India,RL,2025,6,134.37
Andaman and Nicobar Islands,AL,2025,6,138.01
Andaman and Nicobar Islands,RL,2025,6,138.17
Andhra Pradesh,AL,2025,6,137.77
Andhra Pradesh,RL,2025,6,137.89
Arunachal Pradesh,AL,2025,6,133.98
Arunachal Pradesh,RL,2025,6,134.52
Assam,AL,2025,6,136.86
Assam,RL,2025,6,137.12
Bihar,AL,2025,6,130.33
Bihar,RL,2025,6,129.96
Chhattisgarh,AL,2025,6,127.98
Chhattisgarh,RL,2025,6,128.36
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,6,134.64
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,6,133.21
Delhi,AL,2025,6,0.0
Delhi,RL,2025,6,134.0
Goa,AL,2025,6,126.07
Goa,RL,2025,6,126.52
Gujarat,AL,2025,6,136.45
Gujarat,RL,2025,6,136.22
Haryana,AL,2025,6,140.78
Haryana,RL,2025,6,139.55
Himachal Pradesh,AL,2025,6,134.02
Himachal Pradesh,RL,2025,6,135.66
Jammu and Kashmir,AL,2025,6,143.68
Jammu and Kashmir,RL,2025,6,143.91
Jharkhand,AL,2025,6,129.93
Jharkhand,RL,2025,6,130.41
Karnataka,AL,2025,6,138.72
Karnataka,RL,2025,6,139.38
Kerala,AL,2025,6,137.01
Kerala,RL,2025,6,137.24
Lakshadweep,AL,2025,6,135.3
Lakshadweep,RL,2025,6,133.96
Madhya Pradesh,AL,2025,6,130.98
Madhya Pradesh,RL,2025,6,131.69
Maharashtra,AL,2025,6,130.94
Maharashtra,RL,2025,6,131.26
Manipur,AL,2025,6,142.46
Manipur,RL,2025,6,140.13
Meghalaya,AL,2025,6,136.63
Meghalaya,RL,2025,6,136.69
Mizoram,AL,2025,6,145.66
Mizoram,RL,2025,6,143.08
Nagaland,AL,2025,6,134.48
Nagaland,RL,2025,6,136.1
Odisha,AL,2025,6,128.83
Odisha,RL,2025,6,129.08
Puducherry,AL,2025,6,135.08
Puducherry,RL,2025,6,135.1
Punjab,AL,2025,6,135.73
Punjab,RL,2025,6,135.24
Rajasthan,AL,2025,6,135.06
Rajasthan,RL,2025,6,134.63
Sikkim,AL,2025,6,129.33
Sikkim,RL,2025,6,129.19
Tamil Nadu,AL,2025,6,133.27
Tamil Nadu,RL,2025,6,132.63
Telangana,AL,2025,6,137.7
Telangana,RL,2025,6,137.71
Tripura,AL,2025,6,127.26
Tripura,RL,2025,6,127.93
