state,district,week_start,cdi,drought_category,fetch_status
Telangana,Hyderabad,2021-07-14,1.5686,Normal,ok
Telangana,Mahbubnagar,2021-07-14,0.75589,Normal,ok
Telangana,Warangal,2021-07-14,1.61,Normal,ok
Chandigarh,Chandigarh,2021-07-14,-0.83866,Moderate (D1),ok
Gujarat,Bharuch,2021-07-14,-0.38125,Normal,ok
Gujarat,Kheda,2021-07-14,0.006505,Normal,ok
Gujarat,Morbi,2021-07-14,0.15893,Normal,ok
Gujarat,Surat,2021-07-14,0.32558,Normal,ok
Gujarat,Ahmedabad,2021-07-14,-0.0060645,Normal,ok
Himachal Pradesh,Kangra,2021-07-14,0.16038,Normal,ok
Himachal Pradesh,Kullu,2021-07-14,0.44217,Normal,ok
Himachal Pradesh,Solan,2021-07-14,-0.64602,Abnormal (D0),ok
Haryana,Fatehabad,2021-07-14,-0.31518,Normal,ok
Haryana,Jind,2021-07-14,-0.26939,Normal,ok
Haryana,Kurukshetra,2021-07-14,-1.1114,Moderate (D1),ok
Haryana,Sirsa,2021-07-14,0.42909,Normal,ok
Jammu and Kashmir,Srinagar,2021-07-14,0.027906,Normal,ok
Jammu and Kashmir,Udhampur,2021-07-14,0.11957,Normal,ok
Karnataka,Bengaluru,2021-07-14,0.70197,Normal,ok
Karnataka,Davangere,2021-07-14,1.854,Normal,ok
Karnataka,Kolar,2021-07-14,3.0328,Normal,ok
Karnataka,Mysuru,2021-07-14,1.0828,Normal,ok
Keralam,Ernakulam,2021-07-14,-0.24173,Normal,ok
Keralam,Kannur,2021-07-14,-0.019132,Normal,ok
Keralam,Kollam,2021-07-14,1.4049,Normal,ok
Keralam,Kottayam,2021-07-14,0.92724,Normal,ok
Keralam,Malappuram,2021-07-14,-0.11608,Normal,ok
Keralam,Palakad,2021-07-14,0.083638,Normal,ok
Maharashtra,Ahilyanagar,2021-07-14,0.95718,Normal,ok
Maharashtra,Jalgaon,2021-07-14,-0.50412,Abnormal (D0),ok
Maharashtra,Kolhapur,2021-07-14,1.6758,Normal,ok
Maharashtra,Mumbai,2021-07-14,-0.97234,Moderate (D1),ok
Maharashtra,Nagpur,2021-07-14,0.44092,Normal,ok
Maharashtra,Nashik,2021-07-14,0.36168,Normal,ok
Maharashtra,Pune,2021-07-14,0.34679,Normal,ok
Maharashtra,Solapur,2021-07-14,1.8877,Normal,ok
Madhya Pradesh,Bhopal,2021-07-14,0.10522,Normal,ok
Madhya Pradesh,Indore,2021-07-14,0.044401,Normal,ok
Chattisgarh,Rajnandgaon,2021-07-14,0.61662,Normal,ok
Odisha,Bargarh,2021-07-14,-0.0081171,Normal,ok
Odisha,Bhadrak,2021-07-14,0.85531,Normal,ok
Odisha,Bolangir,2021-07-14,-0.35224,Normal,ok
Odisha,Kendrapara,2021-07-14,1.7195,Normal,ok
Odisha,Kalahandi,2021-07-14,-0.63002,Abnormal (D0),ok
Odisha,Rayagada,2021-07-14,-0.43843,Normal,ok
Punjab,Fazilka,2021-07-14,-0.501,Abnormal (D0),ok
Punjab,Ludhiana,2021-07-14,-1.1314,Moderate (D1),ok
Punjab,Moga,2021-07-14,1.4803,Normal,ok
Punjab,Muktsar,2021-07-14,0.078038,Normal,ok
Punjab,Patiala,2021-07-14,-0.84745,Moderate (D1),ok
Punjab,Barnala,2021-07-14,-0.9031,Moderate (D1),ok
Punjab,Sangrur,2021-07-14,-0.8482,Moderate (D1),ok
Rajasthan,Alwar,2021-07-14,-0.67448,Abnormal (D0),ok
Rajasthan,Baran,2021-07-14,-0.72846,Abnormal (D0),ok
Rajasthan,Bhilwara,2021-07-14,-0.20658,Normal,ok
Rajasthan,Jaipur,2021-07-14,0.60368,Normal,ok
Rajasthan,Jodhpur,2021-07-14,-0.20651,Normal,ok
Tamil Nadu,Villupuram,2021-07-14,2.0844,Normal,ok
Tripura,Sepahijala,2021-07-14,-0.86307,Moderate (D1),ok
Tripura,Khowai,2021-07-14,-1.9474,Extreme (D3),ok
Uttar Pradesh,Agra,2021-07-14,-0.49542,Normal,ok
Uttar Pradesh,Prayagraj,2021-07-14,1.0145,Normal,ok
Uttar Pradesh,Bahraich,2021-07-14,1.0756,Normal,ok
Uttar Pradesh,Ballia,2021-07-14,2.8373,Normal,ok
Uttar Pradesh,Barabanki,2021-07-14,1.1738,Normal,ok
Uttar Pradesh,Bareilly,2021-07-14,-0.055825,Normal,ok
Uttar Pradesh,Ghaziabad,2021-07-14,-0.074934,Normal,ok
Uttar Pradesh,Gorakhpur,2021-07-14,1.4142,Normal,ok
