state,district,week_start,cdi,drought_category
Telangana,Hyderabad,2021-07-12,1.5686,Normal
Telangana,Mahbubnagar,2021-07-12,0.75589,Normal
Telangana,Warangal,2021-07-12,1.61,Normal
Chandigarh,Chandigarh,2021-07-12,-0.83866,Moderate (D1)
Gujarat,Bharuch,2021-07-12,-0.38125,Normal
Gujarat,Kheda,2021-07-12,0.006505,Normal
Gujarat,Morbi,2021-07-12,0.15893,Normal
Gujarat,Surat,2021-07-12,0.32558,Normal
Gujarat,Ahmedabad,2021-07-12,-0.0060645,Normal
Himachal Pradesh,Kangra,2021-07-12,0.16038,Normal
Himachal Pradesh,Kullu,2021-07-12,0.44217,Normal
Himachal Pradesh,Solan,2021-07-12,-0.64602,Abnormal (D0)
Haryana,Fatehabad,2021-07-12,-0.31518,Normal
Haryana,Jind,2021-07-12,-0.26939,Normal
Haryana,Kurukshetra,2021-07-12,-1.1114,Moderate (D1)
Haryana,Sirsa,2021-07-12,0.42909,Normal
Jammu and Kashmir,Srinagar,2021-07-12,0.027906,Normal
Jammu and Kashmir,Udhampur,2021-07-12,0.11957,Normal
Karnataka,Bengaluru,2021-07-12,0.70197,Normal
Karnataka,Davangere,2021-07-12,1.854,Normal
Karnataka,Kolar,2021-07-12,3.0328,Normal
Karnataka,Mysuru,2021-07-12,1.0828,Normal
Keralam,Ernakulam,2021-07-12,-0.24173,Normal
Keralam,Kannur,2021-07-12,-0.019132,Normal
Keralam,Kollam,2021-07-12,1.4049,Normal
Keralam,Kottayam,2021-07-12,0.92724,Normal
Keralam,Malappuram,2021-07-12,-0.11608,Normal
Keralam,Palakad,2021-07-12,0.083638,Normal
Maharashtra,Ahilyanagar,2021-07-12,0.95718,Normal
Maharashtra,Jalgaon,2021-07-12,-0.50412,Abnormal (D0)
Maharashtra,Kolhapur,2021-07-12,1.6758,Normal
Maharashtra,Mumbai,2021-07-12,-0.97234,Moderate (D1)
Maharashtra,Nagpur,2021-07-12,0.44092,Normal
Maharashtra,Nashik,2021-07-12,0.36168,Normal
Maharashtra,Pune,2021-07-12,0.34679,Normal
Maharashtra,Solapur,2021-07-12,1.8877,Normal
Madhya Pradesh,Bhopal,2021-07-12,0.10522,Normal
Madhya Pradesh,Indore,2021-07-12,0.044401,Normal
Chattisgarh,Rajnandgaon,2021-07-12,0.61662,Normal
Odisha,Bargarh,2021-07-12,-0.0081171,Normal
Odisha,Bhadrak,2021-07-12,0.85531,Normal
Odisha,Bolangir,2021-07-12,-0.35224,Normal
Odisha,Kendrapara,2021-07-12,1.7195,Normal
Odisha,Kalahandi,2021-07-12,-0.63002,Abnormal (D0)
Odisha,Rayagada,2021-07-12,-0.43843,Normal
Punjab,Fazilka,2021-07-12,-0.501,Abnormal (D0)
Punjab,Ludhiana,2021-07-12,-1.1314,Moderate (D1)
Punjab,Moga,2021-07-12,1.4803,Normal
Punjab,Muktsar,2021-07-12,0.078038,Normal
Punjab,Patiala,2021-07-12,-0.84745,Moderate (D1)
Punjab,Barnala,2021-07-12,-0.9031,Moderate (D1)
Punjab,Sangrur,2021-07-12,-0.8482,Moderate (D1)
Rajasthan,Alwar,2021-07-12,-0.67448,Abnormal (D0)
Rajasthan,Baran,2021-07-12,-0.72846,Abnormal (D0)
Rajasthan,Bhilwara,2021-07-12,-0.20658,Normal
Rajasthan,Jaipur,2021-07-12,0.60368,Normal
Rajasthan,Jodhpur,2021-07-12,-0.20651,Normal
Tamil Nadu,Villupuram,2021-07-12,2.0844,Normal
Tripura,Sepahijala,2021-07-12,-0.86307,Moderate (D1)
Tripura,Khowai,2021-07-12,-1.9474,Extreme (D3)
Uttar Pradesh,Agra,2021-07-12,-0.49542,Normal
Uttar Pradesh,Prayagraj,2021-07-12,1.0145,Normal
Uttar Pradesh,Bahraich,2021-07-12,1.0756,Normal
Uttar Pradesh,Ballia,2021-07-12,2.8373,Normal
Uttar Pradesh,Barabanki,2021-07-12,1.1738,Normal
Uttar Pradesh,Bareilly,2021-07-12,-0.055825,Normal
Uttar Pradesh,Ghaziabad,2021-07-12,-0.074934,Normal
Uttar Pradesh,Gorakhpur,2021-07-12,1.4142,Normal
Uttar Pradesh,Hardoi,2021-07-12,-0.9528,Moderate (D1)
Uttar Pradesh,Etawah,2021-07-12,-1.2336,Moderate (D1)
Uttar Pradesh,Jaunpur,2021-07-12,-0.080086,Normal
Uttar Pradesh,Kanpur,2021-07-12,-0.88813,Moderate (D1)
Uttar Pradesh,Lakhimpur,2021-07-12,3.1921,Normal
Uttar Pradesh,Lalitpur,2021-07-12,-1.0704,Moderate (D1)
Uttar Pradesh,Lucknow,2021-07-12,0.37959,Normal
Uttar Pradesh,Mainpuri,2021-07-12,-1.2833,Moderate (D1)
Uttar Pradesh,Meerut,2021-07-12,-0.39107,Normal
Uttar Pradesh,Sambhal,2021-07-12,-0.95342,Moderate (D1)
Uttar Pradesh,Saharanpur,2021-07-12,-0.31411,Normal
Uttar Pradesh,Shahjahanpur,2021-07-12,-0.35029,Normal
Uttar Pradesh,Sitapur,2021-07-12,1.4653,Normal
West Bengal,North 24 Parganas,2021-07-12,1.6563,Normal
West Bengal,Purba Bardhaman,2021-07-12,0.015347,Normal
West Bengal,Coochbehar,2021-07-12,-0.68628,Abnormal (D0)
West Bengal,Hooghly,2021-07-12,1.0254,Normal
Chattisgarh,Durg,2021-07-12,0.42012,Normal
Chattisgarh,Raigarh,2021-07-12,0.07587,Normal
Gujarat,Surendranagar,2021-07-12,0.049669,Normal
Haryana,Panipat,2021-07-12,-0.72428,Abnormal (D0)
