state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Telangana,Hyderabad,17.360589,78.4740613,17.375,78.375,10.63
Telangana,Mahbubnagar,16.7434538,77.9923191,16.625,77.875,18.16
Telangana,Warangal,17.9820644,79.5970954,17.875,79.625,12.27
Chandigarh,Chandigarh,30.7334421,76.7797143,30.625,76.875,15.11
Gujarat,Bharuch,21.7080427,72.9956936,21.625,72.875,15.52
Gujarat,Kheda,22.8532503,72.9953586,22.875,72.875,12.57
Gujarat,Morbi,22.8003959,70.886232,22.875,70.875,8.38
Gujarat,Surat,21.2094892,72.8317058,21.125,72.875,10.41
Gujarat,Ahmedabad,23.0215374,72.5800568,23.125,72.625,12.39
Himachal Pradesh,Kangra,32.0768665,76.2985872,32.125,76.375,8.97
Himachal Pradesh,Kullu,31.9578974,77.1089232,31.875,77.125,9.34
Himachal Pradesh,Solan,30.9077569,77.1023645,30.875,77.125,4.23
Haryana,Fatehabad,29.5359209,75.5752901,29.625,75.625,11.01
Haryana,Jind,29.3152073,76.314082,29.375,76.375,8.89
Haryana,Kurukshetra,29.9693747,76.8482787,29.875,76.875,10.81
Haryana,Sirsa,29.6063041,74.9036568,29.625,74.875,3.46
Jammu and Kashmir,Srinagar,34.0747444,74.8204443,34.125,74.875,7.51
Jammu and Kashmir,Udhampur,32.9219726,75.1331482,32.875,75.125,5.28
Karnataka,Bengaluru,12.9767936,77.590082,12.875,77.625,11.93
Karnataka,Davangere,14.4661266,75.9206361,14.375,75.875,11.26
Karnataka,Kolar,13.1805066,78.2669329,13.125,78.375,13.23
Karnataka,Mysuru,12.3041464,76.6529521,12.375,76.625,8.44
Keralam,Ernakulam,9.9837257,76.2740001,10.125,76.375,19.21
Keralam,Kannur,11.8763836,75.3737973,12.125,75.375,27.65
Keralam,Kollam,8.8870533,76.5906696,9.125,76.625,26.73
Keralam,Kottayam,9.6287383,76.6455326,9.625,76.625,2.29
Keralam,Malappuram,11.1068448,76.1099551,11.125,76.125,2.6
Keralam,Palakad,10.7681928,76.6521319,10.875,76.625,12.24
Maharashtra,Ahilyanagar,19.092952,74.7493451,19.125,74.625,13.54
Maharashtra,Jalgaon,20.8428827,75.5261246,20.875,75.625,10.88
Maharashtra,Kolhapur,16.7028412,74.2405329,16.625,74.125,15.05
Maharashtra,Mumbai,19.054999,72.8692035,19.125,73.125,27.98
Maharashtra,Nagpur,21.1498134,79.0820556,21.125,79.125,5.24
Maharashtra,Nashik,20.0112475,73.7902364,20.125,73.875,15.44
Maharashtra,Pune,18.5213738,73.8545071,18.625,73.875,11.72
Maharashtra,Solapur,17.8499067,75.2763203,17.875,75.375,10.81
Madhya Pradesh,Bhopal,23.2584857,77.401989,23.375,77.375,13.25
Madhya Pradesh,Indore,22.7203616,75.8681996,22.625,75.875,10.63
Chattisgarh,Rajnandgaon,21.0684425,80.7970779,21.125,80.875,10.24
Odisha,Bargarh,21.2319922,83.5652737,21.125,83.625,13.41
Odisha,Bhadrak,20.9854052,86.5934226,20.875,86.625,12.71
Odisha,Bolangir,20.7502257,83.2499464,20.875,83.125,19.0
Odisha,Kendrapara,20.5475164,86.5296168,20.625,86.625,13.15
Odisha,Kalahandi,19.8265757,83.0408702,19.875,83.125,10.32
Odisha,Rayagada,19.4426698,83.5873053,19.375,83.625,8.5
Punjab,Fazilka,30.3198406,74.1217943,30.375,74.125,6.14
