state,panel_district,vedas_district,match_type,similarity,notes
Andhra Pradesh,Annamayya,ANNAMAYYA,exact,1.0,
Andhra Pradesh,Chittor,CHITTOOR,fuzzy,0.933,
Andhra Pradesh,Kurnool,KURNOOL,exact,1.0,
Andhra Pradesh,YSR Kadapa,YSR KADAPA,exact,1.0,
Assam,Barpeta,BARPETA,exact,1.0,
Assam,Darrang,DARANG,fuzzy,0.923,
Assam,Hailakandi,HAILAKANDI,exact,1.0,
Assam,Kamrup,,needs_review,0.667,closest VEDAS candidate: KAMRUP METRO
Assam,Nagaon,NAGAON,exact,1.0,
Bihar,Khagaria,KHAGARIA,exact,1.0,
Bihar,Madhubani,MADHUBANI,exact,1.0,
Bihar,Samastipur,SAMASTIPUR,exact,1.0,
Bihar,Sheohar,SHEOHAR,exact,1.0,
Chandigarh,Chandigarh,CHANDIGARH,exact,1.0,
Chattisgarh,Bilaspur,BILASPUR,exact,1.0,
Chattisgarh,Durg,DURG,exact,1.0,
Chattisgarh,Raigarh,RAIGARH,exact,1.0,
Chattisgarh,Rajnandgaon,RAJNANDGAON,exact,1.0,
Goa,North Goa,NORTH GOA,exact,1.0,
Gujarat,Ahmedabad,AHMADABAD,fuzzy,0.889,
Gujarat,Amreli,AMRELI,exact,1.0,
Gujarat,Anand,ANAND,exact,1.0,
Gujarat,Banaskanth,BANAS KANTHA,fuzzy,0.909,
Gujarat,Bharuch,BHARUCH,exact,1.0,
Gujarat,Bhavnagar,BHAVNAGAR,exact,1.0,
Gujarat,Dahod,DAHOD,exact,1.0,
Gujarat,Gandhinagar,GANDHINAGAR,exact,1.0,
Gujarat,Kachchh,KACHCHH,exact,1.0,
Gujarat,Kheda,KHEDA,exact,1.0,
Gujarat,Mehsana,MAHESANA,alias,,"documented rename/split, see ALIAS table"
Gujarat,Morbi,MORBI,exact,1.0,
Gujarat,Navsari,NAVSARI,exact,1.0,
Gujarat,Porbandar,PORBANDAR,exact,1.0,
Gujarat,Rajkot,RAJKOT,exact,1.0,
Gujarat,Sabarkantha,SABAR KANTHA,fuzzy,0.957,
Gujarat,Surat,SURAT,exact,1.0,
Gujarat,Surendranagar,SURENDRANAGAR,exact,1.0,
Gujarat,Vadodara(Baroda),VADODARA,exact,1.0,"matched via cleaned variant ""VADODARA"""
Haryana,Ambala,AMBALA,exact,1.0,
Haryana,Faridabad,FARIDABAD,exact,1.0,
Haryana,Fatehabad,FATEHABAD,exact,1.0,
Haryana,Gurgaon,GURUGRAM,alias,,"documented rename/split, see ALIAS table"
Haryana,Hissar,HISAR,fuzzy,0.909,
Haryana,Jhajar,JHAJJAR,fuzzy,0.923,
Haryana,Jind,JIND,exact,1.0,
Haryana,Kaithal,KAITHAL,exact,1.0,
Haryana,Karnal,KARNAL,exact,1.0,
Haryana,Kurukshetra,KURUKSHETRA,exact,1.0,
Haryana,Mahendragarh-Narnaul,MAHENDRAGARH,exact,1.0,"matched via cleaned variant ""MAHENDRAGARH"""
Haryana,Mewat,NUH,alias,,"documented rename/split, see ALIAS table"
Haryana,Panchkula,PANCHKULA,exact,1.0,
Haryana,Panipat,PANIPAT,exact,1.0,
Haryana,Rewari,REWARI,exact,1.0,
Haryana,Rohtak,ROHTAK,exact,1.0,
Haryana,Sirsa,SIRSA,exact,1.0,
Haryana,Sonipat,SONIPAT,exact,1.0,
Haryana,Yamuna Nagar,YAMUNANAGAR,fuzzy,0.957,
Himachal Pradesh,Bilaspur,BILASPUR,exact,1.0,
Himachal Pradesh,Chamba,CHAMBA,exact,1.0,
Himachal Pradesh,Hamirpur,HAMIRPUR,exact,1.0,
Himachal Pradesh,Kangra,KANGRA,exact,1.0,
Himachal Pradesh,Kullu,KULLU,exact,1.0,
Himachal Pradesh,Mandi,MANDI,exact,1.0,
Himachal Pradesh,Shimla,SHIMLA,exact,1.0,
Himachal Pradesh,Sirmore,SIRMAUR,alias,,"documented rename/split, see ALIAS table"
Himachal Pradesh,Solan,SOLAN,exact,1.0,
Himachal Pradesh,Una,UNA,exact,1.0,
Jammu and Kashmir,Anantnag,ANANTNAG,exact,1.0,
Jammu and Kashmir,Ashahipora (Anantnagh) APMC,ANANTNAG,fuzzy,0.941,
Jammu and Kashmir,Jammu,JAMMU,exact,1.0,
Jammu and Kashmir,Kathua,KATHUA,exact,1.0,
Jammu and Kashmir,Srinagar,SRINAGAR,exact,1.0,
Jammu and Kashmir,Udhampur,UDHAMPUR,exact,1.0,
Karnataka,Bangalore,,needs_review,0.706,closest VEDAS candidate: BAGALKOT
Karnataka,Belgaum,BELAGAVI,alias,,"documented rename/split, see ALIAS table"
Karnataka,Bengaluru,BENGALURU (URBAN),exact,1.0,
Karnataka,Bengaluru Rural,BENGALURU (RURAL),exact,1.0,
Karnataka,Bengaluru South,,needs_review,0.75,"directional-word mismatch vs closest candidate: BENGALURU (URBAN) -- do not auto-accept, verify by hand"
Karnataka,Bijapur,VIJAYAPURA,alias,,"documented rename/split, see ALIAS table"
Karnataka,Chamarajanagar,CHAMARAJANAGARA,fuzzy,0.966,
Karnataka,Chikkaballapur,CHIKKABALLAPURA,fuzzy,0.966,
Karnataka,Chikkamagaluru,CHIKKAMAGALURU,exact,1.0,
Karnataka,Chikmagalur,CHIKKAMAGALURU,alias,,"documented rename/split, see ALIAS table"
Karnataka,Davangere,DAVANAGERE,fuzzy,0.947,
Karnataka,Dharwad,DHARWAD,exact,1.0,
Karnataka,Hassan,HASSAN,exact,1.0,
Karnataka,Kalaburagi,KALABURAGI,exact,1.0,
Karnataka,Kalburgi,KALABURAGI,fuzzy,0.889,
Karnataka,Kolar,KOLARA,fuzzy,0.909,
Karnataka,Mandya,MANDYA,exact,1.0,
Karnataka,Mysore,MYSURU,alias,,"documented rename/split, see ALIAS table"
Karnataka,Mysuru,MYSURU,exact,1.0,
Karnataka,Raichur,RAICHUR,exact,1.0,
Karnataka,Shimoga,SHIVAMOGGA,alias,,"documented rename/split, see ALIAS table"
Karnataka,Shivamogga,SHIVAMOGGA,exact,1.0,
Karnataka,Udupi,UDUPI,exact,1.0,
Kerala,Alappuzha,ALAPPUZHA,exact,1.0,
Kerala,Ernakulam,ERNAKULAM,exact,1.0,
Kerala,Idukki,IDUKKI,exact,1.0,
Kerala,Kannur,KANNUR,exact,1.0,
Kerala,Kasargod,KASARAGOD,fuzzy,0.941,
Kerala,Kollam,KOLLAM,exact,1.0,
Kerala,Kottayam,KOTTAYAM,exact,1.0,
