state,state_code,district_raw,district_norm,date,trigger1,fetch_status
Andhra Pradesh,C91S40,ALLURI SITHARAMA RAJU,ALLURI SITHARAMA RAJU,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,GUNTUR,GUNTUR,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,KAKINADA,KAKINADA,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,KRISHNA,KRISHNA,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,KURNOOL,KURNOOL,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,NANDYAL,NANDYAL,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,NTR,NTR,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,PALNADU,PALNADU,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,PARVATHIPURAM MANYAM,PARVATHIPURAM MANYAM,2022-06-16,No,ok
Andhra Pradesh,C91S40,PRAKASAM,PRAKASAM,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,SRI POTTI SRIRAMULU NELLORE,SRI POTTI SRIRAMULU NELLORE,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,ANAKAPALLI,ANAKAPALLI,2022-06-16,No,ok
Andhra Pradesh,C91S40,SRI SATHYA SAI,SRI SATHYA SAI,2022-06-16,No,ok
Andhra Pradesh,C91S40,SRIKAKULAM,SRIKAKULAM,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,TIRUPATI,TIRUPATI,2022-06-16,No,ok
Andhra Pradesh,C91S40,VISAKHAPATNAM,VISAKHAPATNAM,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,VIZIANAGARAM,VIZIANAGARAM,2022-06-16,No,ok
Andhra Pradesh,C91S40,WEST GODAVARI,WEST GODAVARI,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,YANAM,YANAM,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,YSR KADAPA,YSR KADAPA,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,ANANTHAPURAMU,ANANTHAPURAMU,2022-06-16,Yes,ok
Andhra Pradesh,C91S40,ANNAMAYYA,ANNAMAYYA,2022-06-16,No,ok
Andhra Pradesh,C91S40,BAPATLA,BAPATLA,2022-06-16,Yes,ok
