state,district,week_start,trigger1_yn,trigger1
Andhra Pradesh,Annamayya,2022-06-13,No,0
Andhra Pradesh,Annamayya,2022-06-20,No,0
Andhra Pradesh,Annamayya,2022-06-27,No,0
Andhra Pradesh,Annamayya,2022-07-04,No,0
Andhra Pradesh,Annamayya,2022-07-11,No,0
Andhra Pradesh,Annamayya,2022-07-18,No,0
Andhra Pradesh,Annamayya,2022-08-01,No,0
Andhra Pradesh,Annamayya,2022-08-08,No,0
Andhra Pradesh,Annamayya,2022-08-15,No,0
Andhra Pradesh,Annamayya,2022-08-22,No,0
Andhra Pradesh,Annamayya,2022-08-29,No,0
Andhra Pradesh,Annamayya,2022-09-05,No,0
Andhra Pradesh,Annamayya,2022-09-12,No,0
Andhra Pradesh,Annamayya,2022-09-19,No,0
Andhra Pradesh,Annamayya,2022-09-26,Yes,1
Andhra Pradesh,Annamayya,2022-10-03,Yes,1
Andhra Pradesh,Annamayya,2022-10-10,Yes,1
Andhra Pradesh,Annamayya,2022-10-17,Yes,1
Andhra Pradesh,Annamayya,2023-06-12,Yes,1
Andhra Pradesh,Annamayya,2023-06-19,Yes,1
Andhra Pradesh,Annamayya,2023-06-26,No,0
Andhra Pradesh,Annamayya,2023-07-03,No,0
Andhra Pradesh,Annamayya,2023-07-10,No,0
Andhra Pradesh,Annamayya,2023-07-17,No,0
Andhra Pradesh,Annamayya,2023-07-31,Yes,1
Andhra Pradesh,Annamayya,2023-08-07,Yes,1
Andhra Pradesh,Annamayya,2023-08-14,Yes,1
Andhra Pradesh,Annamayya,2023-08-21,Yes,1
Andhra Pradesh,Annamayya,2023-08-28,Yes,1
Andhra Pradesh,Annamayya,2023-09-04,Yes,1
Andhra Pradesh,Annamayya,2023-09-11,Yes,1
Andhra Pradesh,Annamayya,2023-09-18,Yes,1
Andhra Pradesh,Annamayya,2023-09-25,Yes,1
Andhra Pradesh,Annamayya,2023-10-02,Yes,1
Andhra Pradesh,Annamayya,2023-10-16,Yes,1
Andhra Pradesh,Annamayya,2023-10-23,Yes,1
Andhra Pradesh,Annamayya,2024-06-10,No,0
Andhra Pradesh,Annamayya,2024-06-17,No,0
Andhra Pradesh,Annamayya,2024-07-01,No,0
Andhra Pradesh,Annamayya,2024-07-08,No,0
Andhra Pradesh,Annamayya,2024-07-15,No,0
Andhra Pradesh,Annamayya,2024-07-22,No,0
Andhra Pradesh,Annamayya,2024-07-29,No,0
Andhra Pradesh,Annamayya,2024-08-05,No,0
Andhra Pradesh,Annamayya,2024-08-12,No,0
Andhra Pradesh,Annamayya,2024-08-19,No,0
Andhra Pradesh,Annamayya,2024-08-26,No,0
Andhra Pradesh,Annamayya,2024-09-02,No,0
Andhra Pradesh,Annamayya,2024-09-16,No,0
Andhra Pradesh,Annamayya,2024-09-23,No,0
Andhra Pradesh,Annamayya,2024-09-30,Yes,1
Andhra Pradesh,Annamayya,2024-10-07,Yes,1
Andhra Pradesh,Annamayya,2024-10-14,Yes,1
Andhra Pradesh,Annamayya,2024-10-21,Yes,1
Andhra Pradesh,Annamayya,2025-06-16,Yes,1
Andhra Pradesh,Annamayya,2025-06-23,Yes,1
Andhra Pradesh,Annamayya,2025-06-30,Yes,1
Andhra Pradesh,Annamayya,2025-07-07,Yes,1
Andhra Pradesh,Annamayya,2025-07-14,Yes,1
