state,state_code,year,month,wage_agri_men,wage_agri_women,wage_source
Andhra Pradesh,AP,2017,1,286.1,189.6,direct
Andhra Pradesh,AP,2017,2,283,193.4,direct
Andhra Pradesh,AP,2017,3,284.7,199,direct
Andhra Pradesh,AP,2017,4,278,202,direct
Andhra Pradesh,AP,2017,5,277.9,201.1,direct
Andhra Pradesh,AP,2017,6,271.4,197.5,direct
Andhra Pradesh,AP,2017,7,274.2,199.2,direct
Andhra Pradesh,AP,2017,8,270.8,200.4,direct
Andhra Pradesh,AP,2017,9,276.9,204.5,direct
Andhra Pradesh,AP,2017,10,280.3,201.6,direct
Andhra Pradesh,AP,2017,11,281.4,197.9,direct
Andhra Pradesh,AP,2017,12,284.8,202.7,direct
Andhra Pradesh,AP,2018,1,291.9,204.9,direct
Andhra Pradesh,AP,2018,2,293.2,209.5,direct
Andhra Pradesh,AP,2018,3,297.9,207.4,direct
Andhra Pradesh,AP,2018,4,298.9,207.9,direct
Andhra Pradesh,AP,2018,5,301.4,210.2,direct
Andhra Pradesh,AP,2018,6,290.8,208.6,direct
Andhra Pradesh,AP,2018,7,297.2,214.9,direct
Andhra Pradesh,AP,2018,8,304.7,216.5,direct
Andhra Pradesh,AP,2018,9,304.8,217,direct
Andhra Pradesh,AP,2018,10,302.4,220,direct
Andhra Pradesh,AP,2018,11,299.3,216.8,direct
Andhra Pradesh,AP,2018,12,301.9,218,direct
Andhra Pradesh,AP,2019,1,306.6,222.6,direct
Andhra Pradesh,AP,2019,2,309.2,229.3,direct
Andhra Pradesh,AP,2019,3,314.7,226.9,direct
Andhra Pradesh,AP,2019,4,314.3,225.1,direct
Andhra Pradesh,AP,2019,5,324.3,229.7,direct
Andhra Pradesh,AP,2019,6,321.4,229.8,direct
Andhra Pradesh,AP,2019,7,323.5,231.6,direct
Andhra Pradesh,AP,2019,8,326.4,227.7,direct
Andhra Pradesh,AP,2019,9,331.1,229.2,direct
Andhra Pradesh,AP,2019,10,332,221.2,direct
Andhra Pradesh,AP,2019,11,327.5,232.9,direct
Andhra Pradesh,AP,2019,12,341.5,232.5,direct
Andhra Pradesh,AP,2020,1,336.9,241.2,direct
Andhra Pradesh,AP,2020,2,337.6,244.4,direct
Andhra Pradesh,AP,2020,3,336.4,246.9,direct
Andhra Pradesh,AP,2020,5,,,direct
Andhra Pradesh,AP,2020,6,335.4,251.4,direct
Andhra Pradesh,AP,2020,7,342.2,255.4,direct
Andhra Pradesh,AP,2020,8,341.1,249.8,direct
Andhra Pradesh,AP,2020,9,343.8,251.8,direct
Andhra Pradesh,AP,2020,10,343.2,251.3,direct
Andhra Pradesh,AP,2020,11,347.1,260.6,direct
Andhra Pradesh,AP,2020,12,351.2,266.9,direct
Andhra Pradesh,AP,2021,1,355,265.2,direct
Andhra Pradesh,AP,2021,2,358.3,271.4,direct
Andhra Pradesh,AP,2021,3,354.6,274.6,direct
Andhra Pradesh,AP,2021,4,362.7,275.3,direct
Andhra Pradesh,AP,2021,5,357.8,275.8,direct
Andhra Pradesh,AP,2021,6,357.4,275.4,direct
Andhra Pradesh,AP,2021,7,359.5,278.9,direct
Andhra Pradesh,AP,2021,8,360.6,281.9,direct
Andhra Pradesh,AP,2021,9,364.5,276.6,direct
Andhra Pradesh,AP,2021,10,370.2,279.1,direct
Andhra Pradesh,AP,2021,11,376.7,281,direct
Andhra Pradesh,AP,2021,12,380.6,286.7,direct
Andhra Pradesh,AP,2022,1,377,287.8,direct
Andhra Pradesh,AP,2022,2,387.8,290.3,direct
Andhra Pradesh,AP,2022,3,401.3,296.9,direct
Andhra Pradesh,AP,2022,4,406.5,299.9,direct
Andhra Pradesh,AP,2022,5,404.3,298.2,direct
Andhra Pradesh,AP,2022,6,409.4,303.7,direct
Andhra Pradesh,AP,2022,7,415.2,318.3,direct
Andhra Pradesh,AP,2022,8,417.9,309.8,direct
Andhra Pradesh,AP,2022,9,421.1,312.9,direct
Andhra Pradesh,AP,2022,10,426.2,315.3,direct
Andhra Pradesh,AP,2022,11,430.6,316.1,direct
Andhra Pradesh,AP,2022,12,431.9,318.7,direct
Andhra Pradesh,AP,2023,1,431.9,319.3,direct
Andhra Pradesh,AP,2023,2,438.2,324.1,direct
Andhra Pradesh,AP,2023,3,441.9,325.9,direct
Andhra Pradesh,AP,2023,4,446.6,329.8,direct
Andhra Pradesh,AP,2023,5,453.5,335.5,direct
Andhra Pradesh,AP,2023,6,457.1,338.1,direct
Andhra Pradesh,AP,2023,7,463.4,344.1,direct
Andhra Pradesh,AP,2023,8,467.3,344.9,direct
Andhra Pradesh,AP,2023,9,479.8,346.4,direct
Andhra Pradesh,AP,2023,10,481.5,347.9,direct
Andhra Pradesh,AP,2023,11,484.5,350.8,direct
Andhra Pradesh,AP,2023,12,476,352.2,direct
Andhra Pradesh,AP,2024,1,480,355.5,direct
Andhra Pradesh,AP,2024,2,481.4,357.3,direct
Andhra Pradesh,AP,2024,3,500.6,362.1,direct
Andhra Pradesh,AP,2024,4,500.6,362.1,direct
Andhra Pradesh,AP,2024,5,504.1,363.5,direct
Andhra Pradesh,AP,2024,6,507.1,364.4,direct
Andhra Pradesh,AP,2024,7,514.7,366.7,direct
Andhra Pradesh,AP,2024,8,519,367.9,direct
Andhra Pradesh,AP,2024,9,520.8,368.6,direct
Andhra Pradesh,AP,2024,10,522.6,369.1,direct
Andhra Pradesh,AP,2024,11,524.7,371.1,direct
Andhra Pradesh,AP,2024,12,525.9,373.6,direct
Andhra Pradesh,AP,2025,1,527.5,374.6,direct
Andhra Pradesh,AP,2025,2,528.8,377.1,direct
Andhra Pradesh,AP,2025,3,531.6,379.2,direct
Andhra Pradesh,AP,2025,4,533,379.7,direct
Andhra Pradesh,AP,2025,5,535.4,379.8,direct
Andhra Pradesh,AP,2025,6,539.3,382.2,direct
Andhra Pradesh,AP,2025,7,646.5,438.3,direct
Andhra Pradesh,AP,2025,8,653.8,443.5,direct
Andhra Pradesh,AP,2025,9,654.1,443.2,direct
Andhra Pradesh,AP,2025,10,658.8,431.6,direct
Andhra Pradesh,AP,2025,11,636.4,433,direct
Andhra Pradesh,AP,2025,12,756.2,777.8,direct
Andhra Pradesh,AP,2026,1,756.2,777.8,direct
Andhra Pradesh,AP,2026,2,756.2,777.8,direct
Andhra Pradesh,AP,2026,3,756.2,777.8,direct
Assam,AS,2017,1,250.8,226,direct
Assam,AS,2017,2,252.7,227.5,direct
Assam,AS,2017,3,249.4,230.2,direct
