crop,state,market,first_week,last_week,n_weeks,coverage_category
onion,Andaman and Nicobar,Car Nicobar APMC,2019-06-03,2023-09-04,20,Thin (<1yr)
onion,Andaman and Nicobar,Diglipur APMC,2017-01-23,2024-04-01,16,Thin (<1yr)
onion,Andaman and Nicobar,Sri Vijaya Puram APMC,2019-03-04,2022-05-16,14,Thin (<1yr)
onion,Andhra Pradesh,Eluru APMC,2017-03-13,2017-03-13,1,Thin (<1yr)
onion,Andhra Pradesh,"Eluru(P.Sri.Mkt),RBZ APMC",2017-01-02,2017-05-29,7,Thin (<1yr)
onion,Andhra Pradesh,"Eluru-II,RBZ APMC",2016-12-26,2017-08-14,34,Thin (<1yr)
onion,Andhra Pradesh,Ichapuram APMC,2017-09-25,2017-11-06,5,Thin (<1yr)
onion,Andhra Pradesh,Kurnool APMC,2017-01-02,2026-07-20,405,Good (4.5-7yr)
onion,Andhra Pradesh,Ongole(Rythu Bazar) APMC,2017-01-02,2017-05-01,8,Thin (<1yr)
onion,Andhra Pradesh,Pattikonda APMC,2017-11-06,2025-02-10,262,Moderate (2-4.5yr)
onion,Andhra Pradesh,Rajampet APMC,2017-01-02,2017-09-04,12,Thin (<1yr)
onion,Andhra Pradesh,Tadepalligudem APMC,2018-12-24,2019-09-09,36,Thin (<1yr)
onion,Andhra Pradesh,Visakhapatnam APMC,2017-01-09,2017-06-12,5,Thin (<1yr)
onion,Andhra Pradesh,Yerraguntla APMC,2026-07-20,2026-07-20,1,Thin (<1yr)
onion,Arunachal Pradesh,Daporijo APMC,2017-12-04,2017-12-04,1,Thin (<1yr)
onion,Arunachal Pradesh,Naharlagun APMC,2017-06-05,2018-06-18,52,Thin (<1yr)
onion,Arunachal Pradesh,Pasighat APMC,2017-12-04,2017-12-04,1,Thin (<1yr)
onion,Assam,Baharihat APMC,2025-12-15,2026-07-13,6,Thin (<1yr)
onion,Assam,Barpeta Road APMC,2025-12-15,2026-06-08,25,Thin (<1yr)
onion,Assam,Biswanath Chairaili APMC,2026-06-01,2026-06-15,2,Thin (<1yr)
onion,Assam,Bohorihat APMC,2016-12-26,2019-08-26,41,Thin (<1yr)
onion,Assam,Bongiagaon APMC,2016-12-26,2019-11-25,120,Short (1-2yr)
onion,Assam,Cachar APMC,2022-04-04,2022-04-25,2,Thin (<1yr)
onion,Assam,Chairaideo APMC,2025-12-22,2025-12-22,1,Thin (<1yr)
onion,Assam,Dhekiajuli APMC,2017-03-06,2026-07-20,70,Short (1-2yr)
