event_date,publication_date,effective_date,crop,record_type,policy_type,policy_direction,policy_intensity,source_agency,notification_no,source_url,description,quantity_mt,value_usd_million,value_inr_crore,price_inr_per_kg,price_inr_per_quintal,price_usd_per_mt,verification_status,notes
2017-12-31,2018-01-29,2017-12-31,onion,policy_event,minimum_export_price,restrictive,2,Ministry of Finance / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1518220&lang=1&reg=6,Retrospective PIB record: onion exports permitted only against letter of credit and MEP of USD 850/MT through 31-Dec-2017.,,,,,,850.0,primary_source_retrospective,The PIB publication documents a measure whose stated end date is 31-Dec-2017; the source does not state its start date.
2018-07-01,2018-12-28,,onion,policy_event,export_incentive,supportive,1,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1557673&lang=2&reg=48,Fresh-onion MEIS export incentive introduced at 5 percent in July 2018.,,,,,,,primary_source_retrospective,The source reports the July introduction retrospectively; exact day not stated.
2018-11-05,2018-11-05,2018-11-05,top,scheme_event,operation_greens_launch,supportive,2,Ministry of Food Processing Industries / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1551889&lang=2&reg=3,"Operation Greens operationalisation approved for Tomato, Onion and Potato; budget outlay INR 500 crore.",,,,500.0,,,primary_source_verified,NAFED named nodal agency for short-term price-stabilisation measures.
2018-12-28,2018-12-28,2018-12-28,onion,policy_event,export_incentive,supportive,2,Ministry of Agriculture & Farmers Welfare / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1557673&lang=2&reg=48,MEIS export incentive for onion increased from 5 percent to 10 percent.,,,,,,,primary_source_verified,Fresh-onion incentive had been zero before July 2018.
2019-09-13,2019-12-05,2019-09-13,onion,policy_event,minimum_export_price,restrictive,2,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1595294&lang=2&reg=48,MEP of USD 850/MT imposed on onion exports.,,,,,,850.0,primary_source_retrospective,Later PIB answer identifies effective date as 13-Sep-2019.
2019-09-29,2019-10-03,2019-09-29,onion,policy_event,export_ban,restrictive,3,Ministry of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1586610,Export of onions banned amid sustained high prices.,,,,,,,primary_source_verified,PIB identifies the export ban and stock-limit intervention.
2020-03-02,2020-03-02,2020-03-15,onion,policy_event,export_ban_removal,supportive,3,Ministry of Commerce & Industry / PIB,,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=1604919,"Onion export policy changed from Prohibited to Free, without letter-of-credit or MEP conditions.",,,,,,,primary_source_verified,Effective date explicitly stated as 15-Mar-2020.
2020-09-14,2020-10-22,2020-09-14,onion,policy_event,export_ban,restrictive,3,Department of Consumer Affairs / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1666466,Pre-emptive ban on onion exports to maintain lean-season domestic availability.,,,,,,,primary_source_retrospective,PIB identifies 14-Sep-2020 as the effective date.
2020-12-28,2020-12-28,2021-01-01,onion,policy_event,export_ban_removal,supportive,3,Ministry of Commerce & Industry / PIB,,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1684194,Government announced removal of prohibition on export of all onion varieties.,,,,,,,primary_source_verified,Effective from 01-Jan-2021.
2022-03-15,2022-03-15,,top,scheme_event,operation_greens_projects,supportive,1,Ministry of Food Processing Industries / PIB,,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=1806078,"Operation Greens pilot-project record lists a potato value-chain project in Banaskantha, Gujarat.",79200.0,,,103.87,,,primary_source_verified,Quantity and cost figures are reported for the listed potato pilot project; verify against annexure before financial aggregation.
2023-02-26,2023-02-26,,onion,trade_statistic,export_value,neutral,0,Ministry of Commerce & Industry / PIB,,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1902534,Onion exports from April to December 2022 reported by PIB.,,523.8,,,,,primary_source_verified,Value is USD million; this is not a full financial-year series.
