date,year,month,diesel_delhi_per_L,lpg_nonsub_delhi_per14kg
2017-01-01,2017,1,58.4,585.0
2017-02-01,2017,2,59.0,651.5
2017-03-01,2017,3,59.0,737.5
2017-04-01,2017,4,56.2,723.0
2017-05-01,2017,5,56.1,631.0
2017-06-01,2017,6,54.9,552.5
2017-07-01,2017,7,54.6,564.0
2017-08-01,2017,8,56.9,524.0
2017-09-01,2017,9,58.4,597.5
2017-10-01,2017,10,57.3,649.0
2017-11-01,2017,11,58.3,742.0
2017-12-01,2017,12,58.7,747.0
2018-01-01,2018,1,61.9,741.0
2018-02-01,2018,2,63.2,736.0
2018-03-01,2018,3,63.1,689.0
2018-04-01,2018,4,65.3,653.5
2018-05-01,2018,5,67.1,650.5
2018-06-01,2018,6,68.0,698.5
2018-07-01,2018,7,68.0,754.0
2018-08-01,2018,8,68.9,789.5
2018-09-01,2018,9,73.1,820.0
2018-10-01,2018,10,74.7,879.0
2018-11-01,2018,11,71.5,941.8
2018-12-01,2018,12,64.7,809.5
2019-01-01,2019,1,64.3,689.0
2019-02-01,2019,2,66.0,659.0
2019-03-01,2019,3,67.0,701.5
2019-04-01,2019,4,66.3,706.5
2019-05-01,2019,5,66.4,712.5
2019-06-01,2019,6,64.4,737.5
2019-07-01,2019,7,66.0,637.0
2019-08-01,2019,8,65.5,574.5
2019-09-01,2019,9,65.9,590.0
2019-10-01,2019,10,66.5,605.0
2019-11-01,2019,11,65.8,681.5
2019-12-01,2019,12,66.4,695.0
2020-01-01,2020,1,68.1,714.0
2020-02-01,2020,2,65.1,803.7
2020-03-01,2020,3,62.9,805.5
2020-04-01,2020,4,62.3,744.0
2020-05-01,2020,5,68.5,581.5
2020-06-01,2020,6,74.9,593.0
2020-07-01,2020,7,81.0,594.0
2020-08-01,2020,8,73.6,594.0
2020-09-01,2020,9,72.3,594.0
2020-10-01,2020,10,70.5,594.0
2020-11-01,2020,11,70.9,594.0
2020-12-01,2020,12,73.7,671.4
2021-01-01,2021,1,75.1,694.0
2021-02-01,2021,2,79.2,716.3
2021-03-01,2021,3,81.4,719.0
2021-04-01,2021,4,80.8,809.0
2021-05-01,2021,5,83.0,809.0
2021-06-01,2021,6,87.3,809.0
2021-07-01,2021,7,89.8,834.5
2021-08-01,2021,8,89.6,846.6
2021-09-01,2021,9,88.8,884.5
2021-10-01,2021,10,94.1,897.1
2021-11-01,2021,11,87.9,899.5
2021-12-01,2021,12,86.7,899.5
2022-01-01,2022,1,86.7,899.5
2022-02-01,2022,2,86.7,899.5
2022-03-01,2022,3,87.9,915.6
2022-04-01,2022,4,96.3,949.5
2022-05-01,2022,5,94.3,991.3
2022-06-01,2022,6,89.7,1003.0
2022-07-01,2022,7,89.7,1044.9
2022-08-01,2022,8,89.7,1053.0
2022-09-01,2022,9,89.7,1053.0
2022-10-01,2022,10,89.7,1053.0
2022-11-01,2022,11,89.7,1053.0
2022-12-01,2022,12,89.7,1053.0
2023-01-01,2023,1,89.7,1053.0
2023-02-01,2023,2,89.7,1053.0
2023-03-01,2023,3,89.7,1103.0
2023-04-01,2023,4,89.7,1103.0
2023-05-01,2023,5,89.7,1103.0
2023-06-01,2023,6,89.7,1103.0
2023-07-01,2023,7,89.7,1103.0
2023-08-01,2023,8,89.7,1090.1
2023-09-01,2023,9,89.7,903.0
2023-10-01,2023,10,89.7,903.0
2023-11-01,2023,11,89.7,903.0
2023-12-01,2023,12,89.7,903.0
2024-01-01,2024,1,89.7,903.0
2024-02-01,2024,2,89.7,903.0
2024-03-01,2024,3,88.6,828.8
2024-04-01,2024,4,87.7,803.0
2024-05-01,2024,5,87.7,803.0
2024-06-01,2024,6,87.7,803.0
2024-07-01,2024,7,87.7,803.0
2024-08-01,2024,8,87.7,803.0
2024-09-01,2024,9,87.7,803.0
2024-10-01,2024,10,87.7,803.0
2024-11-01,2024,11,87.7,803.0
2024-12-01,2024,12,87.7,803.0
