date,year,month,diesel_4city_rs_litre,lpg_nonsub_4city_rs_cyl,diesel_delhi_per_L,lpg_nonsub_delhi_per14kg
2017-01-31,2017,1,61.075,593.375,58.4,585.0
2017-02-28,2017,2,61.925,660.125,59.0,651.5
2017-03-31,2017,3,61.925,746.5,59.0,737.5
2017-04-30,2017,4,59.025,731.5,56.2,723.0
2017-05-31,2017,5,58.925,638.625,56.1,631.0
2017-06-30,2017,6,57.6,559.125,54.9,552.5
2017-07-31,2017,7,57.0,567.1,54.6,564.0
2017-08-31,2017,8,59.175,525.625,56.9,524.0
2017-09-30,2017,9,60.725,599.275,58.4,597.5
2017-10-31,2017,10,59.425,649.0,57.3,649.0
2017-11-30,2017,11,60.35,741.825,58.3,742.0
2017-12-31,2017,12,60.95,747.0,58.7,747.0
2018-01-31,2018,1,64.42500000000001,741.375,61.9,741.0
2018-02-28,2018,2,65.775,736.75,63.2,736.0
2018-03-31,2018,3,65.65,690.25,63.1,689.0
2018-04-30,2018,4,67.92500000000001,654.5,65.3,653.5
2018-05-31,2018,5,69.825,652.625,67.1,650.5
2018-06-30,2018,6,70.69999999999999,701.5,68.0,698.5
2018-07-31,2018,7,70.625,758.625,68.0,754.0
2018-08-31,2018,8,71.6,794.375,68.9,789.5
2018-09-30,2018,9,75.825,825.625,73.1,820.0
2018-10-31,2018,10,77.19999999999999,883.25,74.7,879.0
2018-11-30,2018,11,73.85,946.425,71.5,941.8
2018-12-31,2018,12,66.8,813.375,64.7,809.5
2019-01-31,2019,1,66.375,691.875,64.3,689.0
2019-02-28,2019,2,68.15,661.25,66.0,659.0
2019-03-31,2019,3,69.2,704.875,67.0,701.5
2019-04-30,2019,4,68.44999999999999,709.875,66.3,706.5
2019-05-31,2019,5,68.55000000000001,715.875,66.4,712.5
2019-06-30,2019,6,66.625,740.875,64.4,737.5
2019-07-31,2019,7,68.2,640.125,66.0,637.0
2019-08-31,2019,8,67.8,578.125,65.5,574.5
2019-09-30,2019,9,68.275,593.75,65.9,590.0
2019-10-31,2019,10,68.8,607.375,66.5,605.0
2019-11-30,2019,11,68.125,683.625,65.8,681.5
2019-12-31,2019,12,68.775,699.875,66.4,695.0
2020-01-31,2020,1,70.525,719.875,68.1,714.0
2020-02-29,2020,2,67.35,810.725,65.1,803.7
2020-03-31,2020,3,65.02499999999999,811.875,62.9,805.5
2020-04-30,2020,4,64.85,748.625,62.3,744.0
2020-05-31,2020,5,67.05,578.625,68.5,581.5
2020-06-30,2020,6,73.0,601.5,74.9,593.0
2020-07-31,2020,7,78.80000000000001,604.75,81.0,594.0
2020-08-31,2020,8,77.45,604.875,73.6,594.0
2020-09-30,2020,9,76.15,604.625,72.3,594.0
2020-10-31,2020,10,74.35,604.625,70.5,594.0
2020-11-30,2020,11,74.75,604.625,70.9,594.0
2020-12-31,2020,12,77.55,682.025,73.7,671.4
2021-01-31,2021,1,78.975,704.625,75.1,694.0
2021-02-28,2021,2,83.0,726.925,79.2,716.3
2021-03-31,2021,3,85.1,729.625,81.4,719.0
2021-04-30,2021,4,84.55,819.625,80.8,809.0
2021-05-31,2021,5,86.75,819.625,83.0,809.0
2021-06-30,2021,6,91.075,819.625,87.3,809.0
2021-07-31,2021,7,93.575,845.125,89.8,834.5
2021-08-31,2021,8,93.375,857.225,89.6,846.6
2021-09-30,2021,9,92.625,895.125,88.8,884.5
2021-10-31,2021,10,97.875,907.725,94.1,897.1
2021-11-30,2021,11,91.7,910.125,87.9,899.5
2021-12-31,2021,12,90.5,910.125,86.7,899.5
2022-01-31,2022,1,90.5,910.125,86.7,899.5
2022-02-28,2022,2,90.5,910.125,86.7,899.5
2022-03-31,2022,3,91.65,926.225,87.9,915.6
2022-04-30,2022,4,100.17499999999998,960.125,96.3,949.5
2022-05-31,2022,5,98.125,1001.775,94.3,991.3
2022-06-30,2022,6,93.475,1013.25,89.7,1003.0
2022-07-31,2022,7,93.05,1055.15,89.7,1044.9
2022-08-31,2022,8,92.725,1063.25,89.7,1053.0
2022-09-30,2022,9,92.725,1063.25,89.7,1053.0
2022-10-31,2022,10,92.725,1063.25,89.7,1053.0
2022-11-30,2022,11,92.725,1063.25,89.7,1053.0
2022-12-31,2022,12,92.725,1063.25,89.7,1053.0
2023-01-31,2023,1,92.725,1063.25,89.7,1053.0
2023-02-28,2023,2,92.725,1063.25,89.7,1053.0
2023-03-31,2023,3,92.725,1113.25,89.7,1103.0
2023-04-30,2023,4,92.725,1113.25,89.7,1103.0
2023-05-31,2023,5,92.725,1113.25,89.7,1103.0
2023-06-30,2023,6,92.725,1113.25,89.7,1103.0
2023-07-31,2023,7,92.725,1113.25,89.7,1103.0
2023-08-31,2023,8,92.725,1100.35,89.7,1090.1
2023-09-30,2023,9,92.725,913.25,89.7,903.0
2023-10-31,2023,10,92.725,913.25,89.7,903.0
2023-11-30,2023,11,92.725,913.25,89.7,903.0
2023-12-31,2023,12,92.725,913.25,89.7,903.0
2024-01-31,2024,1,92.725,913.25,89.7,903.0
2024-02-29,2024,2,92.725,913.25,89.7,903.0
2024-03-31,2024,3,91.65,839.05,88.6,828.8
2024-04-30,2024,4,90.7,813.25,87.7,803.0
2024-05-31,2024,5,90.7,813.25,87.7,803.0
2024-06-30,2024,6,90.675,813.25,87.7,803.0
2024-07-31,2024,7,90.4,813.25,87.7,803.0
2024-08-31,2024,8,90.7,813.25,87.7,803.0
2024-09-30,2024,9,90.7,813.25,87.7,803.0
