date,year,month,diesel_4city_rs_litre,lpg_nonsub_4city_rs_cyl,diesel_delhi_per_L,lpg_nonsub_delhi_per14kg
2002-06-30,2002,6,19.85,,18.1,
2002-07-31,2002,7,20.025,,18.2,
2002-08-31,2002,8,19.875,,18.1,
2002-09-30,2002,9,20.575,,18.5,
2002-10-31,2002,10,21.225,,19.1,
2002-11-30,2002,11,21.049999999999997,,18.9,
2002-12-31,2002,12,20.225,,18.1,
2003-01-31,2003,1,21.124999999999996,,19.2,
2003-02-28,2003,2,21.924999999999997,,19.8,
2003-03-31,2003,3,23.674999999999997,,21.7,
2003-04-30,2003,4,23.599999999999998,,21.1,
2003-05-31,2003,5,21.4,,19.2,
2003-06-30,2003,6,21.3,,19.1,
2003-07-31,2003,7,21.3,,19.1,
2003-08-31,2003,8,22.825,,20.3,
2003-09-30,2003,9,22.825,,20.3,
2003-10-31,2003,10,22.15,,19.7,
2003-11-30,2003,11,22.15,,19.7,
2003-12-31,2003,12,23.8,,21.2,
2004-01-31,2004,1,24.325,,21.7,
2004-02-29,2004,2,24.325,,21.7,
2004-03-31,2004,3,24.325,,21.7,
2004-04-30,2004,4,24.325,,21.7,
2004-05-31,2004,5,24.325,,21.7,
2004-06-30,2004,6,25.424999999999997,,22.7,
2004-07-31,2004,7,26.975,,24.2,
2004-08-31,2004,8,26.975,,24.2,
2004-09-30,2004,9,26.975,,24.2,
2004-10-31,2004,10,26.975,,24.2,
2004-11-30,2004,11,29.275,,26.3,
2004-12-31,2004,12,29.275,,26.3,
2005-01-31,2005,1,29.275,,26.3,
2005-02-28,2005,2,29.275,,26.3,
2005-03-31,2005,3,29.275,,26.3,
2005-04-30,2005,4,29.525,,27.3,
2005-05-31,2005,5,29.325,,26.5,
2005-06-30,2005,6,31.5,,28.5,
2005-07-31,2005,7,31.5,,28.5,
2005-08-31,2005,8,31.5,,28.5,
2005-09-30,2005,9,33.675,,30.5,
2005-10-31,2005,10,33.675,,30.5,
2005-11-30,2005,11,33.675,,30.5,
2005-12-31,2005,12,33.675,,30.5,
2006-01-31,2006,1,33.675,,30.5,
2006-02-28,2006,2,33.675,,30.5,
2006-03-31,2006,3,33.675,,30.5,
2006-04-30,2006,4,33.675,,30.5,
2006-05-31,2006,5,33.675,,30.5,
2006-06-30,2006,6,35.75,,32.4,
2006-07-31,2006,7,35.625,,32.3,
2006-08-31,2006,8,35.625,,32.3,
2006-09-30,2006,9,33.675,,30.5,
2006-10-31,2006,10,33.675,,30.5,
2006-11-30,2006,11,34.525,,31.3,
2006-12-31,2006,12,33.925000000000004,,31.3,
2007-01-31,2007,1,33.925000000000004,,31.3,
