date,year,month,repo_rate_pct,reverse_repo_pct
2017-01-01,2017,1,6.25,5.75
2017-02-01,2017,2,6.25,5.75
2017-03-01,2017,3,6.25,5.75
2017-04-01,2017,4,6.25,6.0
2017-05-01,2017,5,6.25,6.0
2017-06-01,2017,6,6.25,6.0
2017-07-01,2017,7,6.25,6.0
2017-08-01,2017,8,6.0,5.75
2017-09-01,2017,9,6.0,5.75
2017-10-01,2017,10,6.0,5.75
2017-11-01,2017,11,6.0,5.75
2017-12-01,2017,12,6.0,5.75
2018-01-01,2018,1,6.0,5.75
2018-02-01,2018,2,6.0,5.75
2018-03-01,2018,3,6.0,5.75
2018-04-01,2018,4,6.0,5.75
2018-05-01,2018,5,6.0,5.75
2018-06-01,2018,6,6.25,6.0
2018-07-01,2018,7,6.25,6.0
2018-08-01,2018,8,6.5,6.25
2018-09-01,2018,9,6.5,6.25
2018-10-01,2018,10,6.5,6.25
2018-11-01,2018,11,6.5,6.25
2018-12-01,2018,12,6.5,6.25
2019-01-01,2019,1,6.5,6.25
2019-02-01,2019,2,6.25,6.0
2019-03-01,2019,3,6.25,6.0
2019-04-01,2019,4,6.0,5.75
2019-05-01,2019,5,6.0,5.75
2019-06-01,2019,6,5.75,5.5
2019-07-01,2019,7,5.75,5.5
2019-08-01,2019,8,5.4,5.15
2019-09-01,2019,9,5.4,5.15
2019-10-01,2019,10,5.15,4.9
2019-11-01,2019,11,5.15,4.9
2019-12-01,2019,12,5.15,4.9
2020-01-01,2020,1,5.15,4.9
2020-02-01,2020,2,5.15,4.9
2020-03-01,2020,3,4.4,4.0
2020-04-01,2020,4,4.4,3.75
2020-05-01,2020,5,4.0,3.35
2020-06-01,2020,6,4.0,3.35
2020-07-01,2020,7,4.0,3.35
2020-08-01,2020,8,4.0,3.35
2020-09-01,2020,9,4.0,3.35
2020-10-01,2020,10,4.0,3.35
2020-11-01,2020,11,4.0,3.35
2020-12-01,2020,12,4.0,3.35
2021-01-01,2021,1,4.0,3.35
2021-02-01,2021,2,4.0,3.35
2021-03-01,2021,3,4.0,3.35
2021-04-01,2021,4,4.0,3.35
2021-05-01,2021,5,4.0,3.35
2021-06-01,2021,6,4.0,3.35
2021-07-01,2021,7,4.0,3.35
2021-08-01,2021,8,4.0,3.35
2021-09-01,2021,9,4.0,3.35
2021-10-01,2021,10,4.0,3.35
2021-11-01,2021,11,4.0,3.35
2021-12-01,2021,12,4.0,3.35
2022-01-01,2022,1,4.0,3.35
2022-02-01,2022,2,4.0,3.35
2022-03-01,2022,3,4.0,3.35
2022-04-01,2022,4,4.0,3.35
2022-05-01,2022,5,4.4,3.35
2022-06-01,2022,6,4.9,3.35
2022-07-01,2022,7,4.9,3.35
2022-08-01,2022,8,5.4,3.35
2022-09-01,2022,9,5.9,3.35
2022-10-01,2022,10,5.9,3.35
2022-11-01,2022,11,5.9,3.35
2022-12-01,2022,12,6.25,3.35
2023-01-01,2023,1,6.25,3.35
2023-02-01,2023,2,6.5,3.35
2023-03-01,2023,3,6.5,3.35
2023-04-01,2023,4,6.5,3.35
2023-05-01,2023,5,6.5,3.35
2023-06-01,2023,6,6.5,3.35
2023-07-01,2023,7,6.5,3.35
2023-08-01,2023,8,6.5,3.35
2023-09-01,2023,9,6.5,3.35
2023-10-01,2023,10,6.5,3.35
2023-11-01,2023,11,6.5,3.35
2023-12-01,2023,12,6.5,3.35
2024-01-01,2024,1,6.5,3.35
2024-02-01,2024,2,6.5,3.35
2024-03-01,2024,3,6.5,3.35
2024-04-01,2024,4,6.5,3.35
2024-05-01,2024,5,6.5,3.35
2024-06-01,2024,6,6.5,3.35
2024-07-01,2024,7,6.5,3.35
2024-08-01,2024,8,6.5,3.35
2024-09-01,2024,9,6.5,3.35
2024-10-01,2024,10,6.5,3.35
2024-11-01,2024,11,6.5,3.35
2024-12-01,2024,12,6.5,3.35
