date,year,month,usdinr_monthly_avg
2017-01-01,2017,1,68.0804
2017-02-01,2017,2,67.0754
2017-03-01,2017,3,65.9286
2017-04-01,2017,4,64.5071
2017-05-01,2017,5,64.4248
2017-06-01,2017,6,64.443
2017-07-01,2017,7,64.4559
2017-08-01,2017,8,63.9684
2017-09-01,2017,9,64.4409
2017-10-01,2017,10,65.0813
2017-11-01,2017,11,64.8626
2017-12-01,2017,12,64.2598
2018-01-01,2018,1,63.6604
2018-02-01,2018,2,64.3738
2018-03-01,2018,3,65.0213
2018-04-01,2018,4,65.545
2018-05-01,2018,5,67.5394
2018-06-01,2018,6,67.7931
2018-07-01,2018,7,68.6934
2018-08-01,2018,8,69.5465
2018-09-01,2018,9,72.2153
2018-10-01,2018,10,73.6323
2018-11-01,2018,11,71.8542
2018-12-01,2018,12,70.7311
2019-01-01,2019,1,70.7192
2019-02-01,2019,2,71.2218
2019-03-01,2019,3,69.4957
2019-04-01,2019,4,69.4033
2019-05-01,2019,5,69.7716
2019-06-01,2019,6,69.4389
2019-07-01,2019,7,68.8083
2019-08-01,2019,8,71.1457
2019-09-01,2019,9,71.3337
2019-10-01,2019,10,71.047
2019-11-01,2019,11,71.4482
2019-12-01,2019,12,71.1926
2020-01-01,2020,1,71.3138
2020-02-01,2020,2,71.4885
2020-03-01,2020,3,74.3507
2020-04-01,2020,4,76.1892
2020-05-01,2020,5,75.6599
2020-06-01,2020,6,75.7268
2020-07-01,2020,7,74.9934
2020-08-01,2020,8,74.652
2020-09-01,2020,9,73.4774
2020-10-01,2020,10,73.4581
2020-11-01,2020,11,74.2198
2020-12-01,2020,12,73.5936
2021-01-01,2021,1,73.1094
2021-02-01,2021,2,72.7565
2021-03-01,2021,3,72.7928
2021-04-01,2021,4,74.4185
2021-05-01,2021,5,73.2677
2021-06-01,2021,6,73.5583
2021-07-01,2021,7,74.527
2021-08-01,2021,8,74.1846
2021-09-01,2021,9,73.5634
2021-10-01,2021,10,74.9153
2021-11-01,2021,11,74.4965
2021-12-01,2021,12,75.3725
2022-01-01,2022,1,74.4416
2022-02-01,2022,2,75.0031
2022-03-01,2022,3,76.2445
2022-04-01,2022,4,76.1488
2022-05-01,2022,5,77.3193
2022-06-01,2022,6,78.0746
2022-07-01,2022,7,79.6016
2022-08-01,2022,8,79.555
2022-09-01,2022,9,80.2316
2022-10-01,2022,10,82.3401
2022-11-01,2022,11,81.8105
2022-12-01,2022,12,82.4642
2023-01-01,2023,1,81.8996
2023-02-01,2023,2,82.6085
2023-03-01,2023,3,82.2886
2023-04-01,2023,4,82.0208
2023-05-01,2023,5,82.3433
2023-06-01,2023,6,82.2337
2023-07-01,2023,7,82.1519
2023-08-01,2023,8,82.7854
2023-09-01,2023,9,83.0469
2023-10-01,2023,10,83.2353
2023-11-01,2023,11,83.298
2023-12-01,2023,12,83.2787
2024-01-01,2024,1,83.121
2024-02-01,2024,2,82.9636
2024-03-01,2024,3,82.9976
2024-04-01,2024,4,83.4043
2024-05-01,2024,5,83.3929
2024-06-01,2024,6,83.4709
2024-07-01,2024,7,83.5947
2024-08-01,2024,8,83.8963
2024-09-01,2024,9,83.8082
2024-10-01,2024,10,84.0295
2024-11-01,2024,11,84.3644
2024-12-01,2024,12,84.9862
