date,year,month,wpi_all_commodities,wpi_food_articles,wpi_fruits_vegetables
2017-01-01,2017,1,112.6,136.5,117.5
2017-02-01,2017,2,113.0,136.6,120.6
2017-03-01,2017,3,113.2,137.6,128.0
2017-04-01,2017,4,113.2,138.6,130.8
2017-05-01,2017,5,112.9,137.9,129.1
2017-06-01,2017,6,112.7,139.2,137.3
2017-07-01,2017,7,113.9,147.9,176.8
2017-08-01,2017,8,114.8,150.9,191.4
2017-09-01,2017,9,114.9,144.8,162.8
2017-10-01,2017,10,115.6,148.0,177.1
2017-11-01,2017,11,116.4,151.1,190.2
2017-12-01,2017,12,115.7,144.1,162.1
2018-01-01,2018,1,116.0,140.8,146.8
2018-02-01,2018,2,116.1,137.9,134.1
2018-03-01,2018,3,116.3,137.3,132.3
2018-04-01,2018,4,117.3,139.8,142.9
2018-05-01,2018,5,118.3,140.3,141.1
2018-06-01,2018,6,119.1,141.8,145.9
2018-07-01,2018,7,119.9,144.8,156.1
2018-08-01,2018,8,120.1,144.8,155.8
2018-09-01,2018,9,120.9,144.5,154.0
2018-10-01,2018,10,122.0,145.9,157.8
2018-11-01,2018,11,121.6,146.2,155.6
2018-12-01,2018,12,119.7,143.5,140.4
2019-01-01,2019,1,119.2,144.2,140.5
2019-02-01,2019,2,119.5,143.7,136.1
2019-03-01,2019,3,119.9,144.5,141.8
2019-04-01,2019,4,121.1,148.8,158.5
2019-05-01,2019,5,121.6,150.6,163.7
2019-06-01,2019,6,121.5,152.2,166.8
2019-07-01,2019,7,121.3,154.3,175.5
2019-08-01,2019,8,121.5,156.1,180.1
2019-09-01,2019,9,121.3,155.4,175.2
2019-10-01,2019,10,122.0,160.2,194.2
2019-11-01,2019,11,122.3,162.6,199.5
2019-12-01,2019,12,123.0,162.6,195.6
2020-01-01,2020,1,123.4,160.5,180.9
2020-02-01,2020,2,122.2,154.7,157.2
2020-03-01,2020,3,120.4,151.2,148.7
2020-04-01,2020,4,119.2,154.5,161.4
2020-05-01,2020,5,117.5,153.1,152.8
2020-06-01,2020,6,119.3,155.4,159.3
2020-07-01,2020,7,121.0,161.3,181.8
2020-08-01,2020,8,122.0,163.0,187.6
2020-09-01,2020,9,122.9,168.4,211.1
2020-10-01,2020,10,123.6,171.5,223.9
2020-11-01,2020,11,125.1,170.1,218.8
2020-12-01,2020,12,125.4,161.1,180.7
2021-01-01,2021,1,126.5,155.8,158.3
2021-02-01,2021,2,128.1,157.5,160.5
2021-03-01,2021,3,129.9,156.4,154.6
2021-04-01,2021,4,132.0,161.6,170.1
2021-05-01,2021,5,132.9,159.6,159.4
2021-06-01,2021,6,133.7,160.5,163.5
2021-07-01,2021,7,135.0,161.5,170.1
2021-08-01,2021,8,136.2,161.7,171.5
2021-09-01,2021,9,137.4,164.1,174.0
2021-10-01,2021,10,140.7,171.6,208.2
2021-11-01,2021,11,143.7,178.3,234.4
2021-12-01,2021,12,143.3,176.7,226.9
2022-01-01,2022,1,143.8,172.0,201.8
2022-02-01,2022,2,145.3,170.4,192.1
2022-03-01,2022,3,148.9,169.6,179.0
2022-04-01,2022,4,152.3,175.3,198.0
2022-05-01,2022,5,155.0,178.4,208.4
2022-06-01,2022,6,155.4,182.5,225.9
2022-07-01,2022,7,154.0,178.9,209.0
2022-08-01,2022,8,153.2,182.0,216.4
2022-09-01,2022,9,151.9,182.2,215.6
2022-10-01,2022,10,152.9,186.1,230.8
2022-11-01,2022,11,152.5,181.0,205.4
2022-12-01,2022,12,150.5,174.9,173.1
2023-01-01,2023,1,150.7,176.6,171.2
2023-02-01,2023,2,150.9,176.9,173.0
2023-03-01,2023,3,151.0,178.8,180.7
2023-04-01,2023,4,151.1,182.1,192.2
2023-05-01,2023,5,149.4,181.3,184.2
2023-06-01,2023,6,148.9,184.9,193.9
2023-07-01,2023,7,152.1,205.9,282.9
2023-08-01,2023,8,152.5,202.8,263.6
2023-09-01,2023,9,151.8,189.1,198.5
2023-10-01,2023,10,152.5,192.0,204.9
2023-11-01,2023,11,153.1,197.0,226.1
2023-12-01,2023,12,151.8,191.2,201.1
2024-01-01,2024,1,151.2,188.8,189.6
2024-02-01,2024,2,151.2,189.4,187.7
2024-03-01,2024,3,151.4,191.4,197.2
2024-04-01,2024,4,152.9,196.8,215.0
2024-05-01,2024,5,153.5,199.3,220.8
2024-06-01,2024,6,154.0,205.5,245.4
2024-07-01,2024,7,155.3,213.1,277.6
2024-08-01,2024,8,154.4,209.0,259.2
2024-09-01,2024,9,154.7,210.8,264.1
2024-10-01,2024,10,156.7,217.9,291.6
2024-11-01,2024,11,156.4,213.7,271.9
2024-12-01,2024,12,155.7,207.5,244.7
