date,year,month,repo_rate_pct,reverse_repo_pct,usdinr_monthly_avg,wpi_all_commodities,wpi_food_articles,wpi_fruits_vegetables
2017-01-01,2017,1,6.25,5.75,68.0804,112.6,136.5,117.5
2017-02-01,2017,2,6.25,5.75,67.0754,113.0,136.6,120.6
2017-03-01,2017,3,6.25,5.75,65.9286,113.2,137.6,128.0
2017-04-01,2017,4,6.25,6.0,64.5071,113.2,138.6,130.8
2017-05-01,2017,5,6.25,6.0,64.4248,112.9,137.9,129.1
2017-06-01,2017,6,6.25,6.0,64.443,112.7,139.2,137.3
2017-07-01,2017,7,6.25,6.0,64.4559,113.9,147.9,176.8
2017-08-01,2017,8,6.0,5.75,63.9684,114.8,150.9,191.4
2017-09-01,2017,9,6.0,5.75,64.4409,114.9,144.8,162.8
2017-10-01,2017,10,6.0,5.75,65.0813,115.6,148.0,177.1
2017-11-01,2017,11,6.0,5.75,64.8626,116.4,151.1,190.2
2017-12-01,2017,12,6.0,5.75,64.2598,115.7,144.1,162.1
2018-01-01,2018,1,6.0,5.75,63.6604,116.0,140.8,146.8
2018-02-01,2018,2,6.0,5.75,64.3738,116.1,137.9,134.1
2018-03-01,2018,3,6.0,5.75,65.0213,116.3,137.3,132.3
2018-04-01,2018,4,6.0,5.75,65.545,117.3,139.8,142.9
2018-05-01,2018,5,6.0,5.75,67.5394,118.3,140.3,141.1
2018-06-01,2018,6,6.25,6.0,67.7931,119.1,141.8,145.9
2018-07-01,2018,7,6.25,6.0,68.6934,119.9,144.8,156.1
2018-08-01,2018,8,6.5,6.25,69.5465,120.1,144.8,155.8
2018-09-01,2018,9,6.5,6.25,72.2153,120.9,144.5,154.0
2018-10-01,2018,10,6.5,6.25,73.6323,122.0,145.9,157.8
2018-11-01,2018,11,6.5,6.25,71.8542,121.6,146.2,155.6
2018-12-01,2018,12,6.5,6.25,70.7311,119.7,143.5,140.4
2019-01-01,2019,1,6.5,6.25,70.7192,119.2,144.2,140.5
2019-02-01,2019,2,6.25,6.0,71.2218,119.5,143.7,136.1
2019-03-01,2019,3,6.25,6.0,69.4957,119.9,144.5,141.8
2019-04-01,2019,4,6.0,5.75,69.4033,121.1,148.8,158.5
2019-05-01,2019,5,6.0,5.75,69.7716,121.6,150.6,163.7
2019-06-01,2019,6,5.75,5.5,69.4389,121.5,152.2,166.8
2019-07-01,2019,7,5.75,5.5,68.8083,121.3,154.3,175.5
2019-08-01,2019,8,5.4,5.15,71.1457,121.5,156.1,180.1
2019-09-01,2019,9,5.4,5.15,71.3337,121.3,155.4,175.2
2019-10-01,2019,10,5.15,4.9,71.047,122.0,160.2,194.2
2019-11-01,2019,11,5.15,4.9,71.4482,122.3,162.6,199.5
2019-12-01,2019,12,5.15,4.9,71.1926,123.0,162.6,195.6
2020-01-01,2020,1,5.15,4.9,71.3138,123.4,160.5,180.9
2020-02-01,2020,2,5.15,4.9,71.4885,122.2,154.7,157.2
2020-03-01,2020,3,4.4,4.0,74.3507,120.4,151.2,148.7
2020-04-01,2020,4,4.4,3.75,76.1892,119.2,154.5,161.4
2020-05-01,2020,5,4.0,3.35,75.6599,117.5,153.1,152.8
2020-06-01,2020,6,4.0,3.35,75.7268,119.3,155.4,159.3
2020-07-01,2020,7,4.0,3.35,74.9934,121.0,161.3,181.8
2020-08-01,2020,8,4.0,3.35,74.652,122.0,163.0,187.6
2020-09-01,2020,9,4.0,3.35,73.4774,122.9,168.4,211.1
2020-10-01,2020,10,4.0,3.35,73.4581,123.6,171.5,223.9
