year,month,repo_rate_pct,reverse_repo_pct,usdinr_monthly_avg,wpi_fruits_vegetables,wpi_vegetables_total,wpi_potato,wpi_onion,wpi_tomato
2017,1,6.25,5.75,68.08,117.5,106.2,102.5,117.8,91.4
2017,2,6.25,5.75,67.08,120.6,108.1,96.8,114.5,110.1
2017,3,6.25,5.75,65.92,128.0,118.4,91.1,110.6,126.1
2017,4,6.25,6.0,64.51,130.8,124.0,99.5,107.9,118.8
2017,5,6.25,6.0,64.42,129.1,123.5,109.0,102.3,98.6
2017,6,6.25,6.0,64.44,137.3,135.5,112.5,111.8,147.8
2017,7,6.25,6.0,64.46,176.8,201.8,132.6,117.2,456.6
2017,8,6.0,5.75,63.97,191.4,219.0,132.0,220.5,413.3
2017,9,6.0,5.75,64.44,162.8,167.0,122.3,193.8,219.3
2017,10,6.0,5.75,65.08,177.1,200.5,119.6,237.6,260.3
2017,11,6.0,5.75,64.86,190.2,229.1,119.6,335.5,422.6
2017,12,6.0,5.75,64.24,162.1,177.8,117.7,363.0,224.5
2018,1,6.0,5.75,63.64,146.8,149.5,111.4,346.2,119.7
2018,2,6.0,5.75,64.37,134.1,124.6,108.1,250.7,95.5
2018,3,6.0,5.75,65.02,132.3,115.2,130.5,157.3,92.7
2018,4,6.0,5.75,65.64,142.9,123.5,170.8,122.6,111.2
2018,5,6.0,5.75,67.54,141.1,127.9,205.5,115.8,104.6
2018,6,6.25,6.0,67.79,145.9,147.0,224.6,135.3,147.2
2018,7,6.25,6.0,68.69,156.1,174.4,232.3,169.0,232.3
2018,8,6.5,6.25,69.55,155.8,175.2,226.0,163.3,190.4
2018,9,6.5,6.25,72.22,154.0,160.1,220.0,147.8,140.2
2018,10,6.5,6.25,73.63,157.8,163.7,232.6,162.3,141.0
2018,11,6.5,6.25,71.85,155.6,167.9,225.5,175.8,144.1
2018,12,6.5,6.25,70.73,140.4,143.5,167.0,131.3,139.7
2019,1,6.5,6.25,70.73,140.5,143.4,141.4,119.1,167.5
2019,2,6.25,6.0,71.22,136.1,132.8,131.4,105.3,133.4
2019,3,6.25,6.0,69.48,141.8,142.9,133.8,108.0,161.8
2019,4,6.0,5.75,69.43,158.5,162.2,143.1,118.6,208.8
2019,5,6.0,5.75,69.77,163.7,174.7,157.9,134.2,287.2
2019,6,5.75,5.5,69.44,166.8,183.5,170.1,157.8,318.9
2019,7,5.75,5.5,68.81,175.5,192.7,176.2,181.9,326.3
2019,8,5.4,5.15,71.15,180.1,197.8,175.7,217.2,299.3
2019,9,5.4,5.15,71.33,175.2,191.0,170.4,328.7,217.8
2019,10,5.15,4.9,71.04,194.2,227.5,187.0,356.8,341.9
2019,11,5.15,4.9,71.45,199.5,244.3,206.3,478.7,302.7
2019,12,5.15,4.9,71.19,195.6,243.2,250.6,729.8,191.5
2020,1,5.15,4.9,71.31,180.9,216.1,262.3,468.5,200.0
2020,2,5.15,4.9,71.49,157.2,172.6,211.2,276.2,158.4
2020,3,4.4,4.0,74.35,148.7,158.1,215.9,229.3,135.7
2020,4,4.4,3.75,76.24,161.4,167.3,231.9,204.4,146.7
2020,5,4.0,3.35,75.66,152.8,153.3,240.9,142.0,125.8
2020,6,4.0,3.35,75.73,159.3,166.6,265.7,133.7,173.5
2020,7,4.0,3.35,74.99,181.8,208.5,297.9,135.4,388.4
2020,8,4.0,3.35,74.67,187.6,212.1,322.3,142.4,345.3
2020,9,4.0,3.35,73.48,211.1,263.8,372.6,224.7,434.0
2020,10,4.0,3.35,73.46,223.9,288.3,410.0,387.1,389.9
2020,11,4.0,3.35,74.22,218.8,281.6,491.1,442.3,339.6
2020,12,4.0,3.35,73.59,180.7,213.9,364.4,330.7,268.5
2021,1,4.0,3.35,73.11,158.3,170.6,200.7,316.0,175.7
2021,2,4.0,3.35,72.76,160.5,167.5,147.5,362.6,163.4
2021,3,4.0,3.35,72.79,154.6,149.9,143.8,241.1,142.1
2021,4,4.0,3.35,74.47,170.1,152.3,162.3,164.1,147.2
2021,5,4.0,3.35,73.27,159.4,142.3,178.0,175.0,132.2
2021,6,4.0,3.35,73.56,163.5,165.3,183.1,219.7,145.2
2021,7,4.0,3.35,74.53,170.1,191.2,188.6,232.9,228.5
2021,8,4.0,3.35,74.18,171.5,185.3,201.8,231.8,235.7
2021,9,4.0,3.35,73.56,174.0,178.5,190.2,220.4,214.3
2021,10,4.0,3.35,74.94,208.2,238.0,204.6,293.1,415.3
2021,11,4.0,3.35,74.51,234.4,291.3,254.5,290.2,560.9
2021,12,4.0,3.35,75.37,226.9,281.2,209.6,267.6,520.1
2022,1,4.0,3.35,74.44,201.8,236.0,171.7,265.5,272.8
2022,2,4.0,3.35,74.99,192.1,212.7,170.6,266.8,194.1
2022,3,4.0,3.35,76.24,179.0,180.0,181.7,218.6,162.1
2022,4,4.0,3.35,76.15,198.0,186.7,194.5,157.5,204.0
2022,5,4.4,3.35,77.32,208.4,224.2,232.0,139.3,421.9
2022,6,4.9,3.35,78.07,225.9,259.8,259.1,150.9,553.3
